rank	username	minecraft:picked_up/minecraft:rabbit_stew
1	chipklip	27
2	thewindmillman	21
3	xxPipperDipperxx	17
4	Werbe	12
4	CalebDHawk	12
6	beeperbeeper5	10
7	HellsSponge	8
8	starbits140	6
9	Historical_Sand	5
9	lordpipe	5
9	Soplight	5
12	Zythose	4
13	Mahoose	3
13	kekhon	3
13	Kynigito	3
16	naser_0_0_	2
16	PhantomsGhost_	2
16	Akoot_	2
16	EveryonesUncle	2
16	sebastiensaborio	2
21	pintsizedrogue	1
21	Merv__	1
21	rarrq	1
21	Blackberry1310	1
21	500am	1
21	egglapras	1
21	MyNameIsJobo	1
21	drompje	1
21	epiksk8erduck	1
21	JESS_THE_RERE	1
21	Frozil12	1
21	TheTommyGun63	1
21	SexcMf	1
21	Nagasaki_Riku	1
21	stahouo	1
21	Ezekson	1
21	Enderslayerxz3	1
21	TechnoNinja64	1
