rank	username	minecraft:picked_up/minecraft:nether_star
1	noam464	1149
2	Hyp3rion_	617
3	Frozil20	512
4	NomadicRobin_	453
5	Spacewardharpy7	350
6	HellsSponge	215
7	Blaiku	181
8	thescout7	130
9	Smoke____	87
10	PigDab	72
11	SvenskaHugo	64
12	joethahobo	61
12	thewindmillman	61
14	MineMaster0012	57
15	eitanzaki	54
16	Lez_	43
17	Di_infiri	40
18	r123moore	38
19	Fuad_R	37
20	Smashic	32
20	lordpipe	32
22	rarrq	30
23	EveryonesUncle	24
24	TheSecondLord	21
25	vandmanden	20
26	GlitchyPlate810	18
27	jnp_gaming	17
28	luseis	16
29	Tyrannosplart	15
30	gcaisawesome	14
30	Arceus1975	14
32	YungMaki	13
32	EcksD	13
34	MattieHD	12
34	PortlyPete69	12
36	gabriels543	11
36	Mythic1130	11
36	MilleGrug	11
39	Blackberry1310	10
39	kekhon	10
39	Jackattack53	10
39	NotMeowMix	10
39	Kowcio_	10
39	Skippeh	10
45	beeperbeeper5	9
46	xzvu	8
46	TechnoNinja64	8
48	wezzzi	7
48	FishisTTV	7
50	SaucyDark	6
50	mwrty	6
50	Chromary	6
50	Akoot_	6
50	Wowful	6
50	Blu3beast	6
50	Ezekson	6
57	Jindong	5
57	RebelAndroid	5
57	Mattesco	5
57	zToasty69z	5
57	Maenara	5
57	binman420	5
57	Kyrum2169	5
57	Jimb0nat0r	5
65	SmashingPump	4
65	xxPipperDipperxx	4
65	Zythose	4
65	Corbsman	4
65	TheShyPig	4
65	Rasmanden	4
65	claivin	4
65	Groundler	4
65	Cocoamallows	4
65	Soplight	4
65	xolstoi	4
76	Groovy_MoonBird	3
76	Merv__	3
76	Mahoose	3
76	nocturne78	3
76	Comma__	3
76	Fullut	3
76	set67	3
76	Touched_Bread	3
76	King_Pancake1	3
76	Bumpy419	3
76	ApophisNova	3
76	Onennon	3
76	lillips	3
76	MyNameIsDakar	3
76	pixelviolin	3
76	gusstationwerker	3
76	Steelynan	3
76	MyNamaSheff	3
76	Enderxz3	3
76	Legendosh	3
76	2bolx_	3
76	00000000-0000-0000-0009-01f532a65833	3
98	pintsizedrogue	2
98	Bandito_Roamer	2
98	Apollo_993	2
98	PhantomsGhost_	2
98	Iagoku	2
98	ImpavidArcher	2
98	TooManyDuck	2
98	tuckerdoodle	2
98	Huwulling	2
98	jushykins	2
98	Mewar	2
98	SellyZ	2
98	fr_ser	2
98	Rumpletaezer	2
98	MangoTheFish	2
98	RobotMinion101	2
98	AlphaWolfPlaysMC	2
98	audiocracked	2
98	YungWali	2
98	RoofTyler	2
98	GoofyBread	2
98	DarlaMeow	2
98	_Karmaa	2
98	NameGenerat0r	2
98	fluddd	2
98	iSammael	2
98	stavgod	2
98	Eraxa	2
98	RealGroot	2
98	_TCARREIRA_	2
98	Eczbek	2
98	Nicserso	2
98	Powowowow	2
131	JohnnyFyes	1
131	pZygh0st	1
131	jspwn	1
131	AuroraValkyrie	1
131	q_wq	1
131	I_Am_Mushkin	1
131	KarlKaek	1
131	ColeSnyder	1
131	Gundam_Steven	1
131	Incinere	1
131	Wooptey	1
131	jimintyy	1
131	SillyMelon	1
131	ShedJr_	1
131	ITDV	1
131	301851	1
131	Historical_Sand	1
131	gaziter10	1
131	SquadMonster	1
131	FirsTimeGamingTV	1
131	Euclidoris	1
131	titanlax	1
131	bloodbiter	1
131	Nicky_H225	1
131	Megarboh	1
131	_Nuf	1
131	Secret_Canary	1
131	SteveCraftBlocks	1
131	_Dean_123	1
131	boog4loo	1
131	IKeepDying	1
131	Kamflame10	1
131	Scathra	1
131	KGTV	1
131	Inchef	1
131	intropass	1
131	ROY4LE	1
131	__TheNorseMan__	1
131	XboxPanda	1
131	M_Patata	1
131	Zaridey	1
131	Ecplosive	1
131	shadowthemonkey	1
131	ImDisconnected_	1
131	mariominejedi	1
131	CollinMH06	1
131	MyNameIsJobo	1
131	SuperPooch06	1
131	RefluxRatio	1
131	_8man	1
131	Hiryu27	1
131	F_Uhre	1
131	J4ko8_	1
131	ougstur	1
131	Dan_Scha	1
131	Leyna3	1
131	xDraggin	1
131	Joestra	1
131	Deodorante	1
131	toelong	1
131	The_Quack_Dealer	1
131	drumine	1
131	Soap_Bender	1
131	The_slideV3	1
131	Quaintster	1
131	FreakGenius	1
131	El_Jalapeno	1
131	Nycteus_	1
131	Xclax101	1
131	MightyWertu	1
131	Racengan	1
131	SingedBread	1
131	Jahbouris	1
131	Hisiste	1
131	monky_irl	1
131	MasterNueve	1
131	MakeHistory157	1
131	33sudo	1
131	07shiny	1
131	AssFullaCum	1
131	djancak	1
131	__tomato	1
131	Heisenbberrg	1
131	alderban107	1
131	Kubeusz2010	1
131	MissCeleste7	1
131	tartanboy	1
131	ConnorDanky_	1
131	BreadBacon	1
131	FelixPSY375	1
131	PlasticOtari	1
131	Zoeyfortnite	1
131	WYFYoyo	1
131	trexgb	1
131	diggydog67	1
