rank	username	minecraft:picked_up/minecraft:chest
1	thewindmillman	353546
2	noam464	63776
3	Hyp3rion_	60731
4	EcksD	49507
5	Spacewardharpy7	19205
6	mihimihimihi	8805
7	HellsSponge	6243
8	joethahobo	5723
9	eitanzaki	4051
10	fffMike	3267
11	Di_infiri	2851
12	Ezekson	2706
13	pintsizedrogue	2523
14	Smoke____	2519
15	Jackattack53	2356
16	FreakGenius	2353
17	beeperbeeper5	2220
18	PigDab	2138
19	Werbe	1958
20	El_Jalapeno	1866
21	Blaiku	1843
22	EMC_	1691
23	thescout7	1575
24	Legendosh	1554
25	Kakolbus	1550
26	Snowflowe	1541
27	kekhon	1426
28	jnp_gaming	1386
29	ROY4LE	1343
30	TheShyPig	1309
30	Iamthejo	1309
32	Zythose	1259
33	Jimi7hits	1253
34	gusstationwerker	1148
35	xolstoi	1072
36	Enderxz3	1039
37	Mr_Byzantine	1038
38	MightyWertu	997
39	TechnoNinja64	991
40	Mahoose	979
40	lizardfightclub	979
42	lordpipe	975
43	Akoot_	963
44	ImpavidArcher	937
45	Awyrlas	933
46	YungMaki	866
47	teslawolf38	859
48	Huwulling	853
48	Lord_Jord	853
50	EveryonesUncle	841
51	MyNameIsJobo	838
52	Lez_	809
53	ApophisNova	800
53	MyNamaSheff	800
55	rarrq	758
56	Inbefour	755
57	obzii	753
58	Z3braYTIL	719
58	censorsheep	719
60	Frozil20	703
61	xzvu	689
62	mwrty	685
63	gcaisawesome	679
64	Steelynan	676
65	sp00ky_ghost977	670
66	Malorn_Aetherius	656
67	hcb238	654
68	Fullut	580
69	Historical_Sand	566
70	Racengan	553
71	TheSecondLord	540
72	ShedJr_	506
73	KarlKaek	500
74	m_be9	492
74	Chromary	492
76	Blackberry1310	476
77	luseis	475
78	Zaridey	474
78	masskedman	474
80	HyperCave	472
81	Jovaphobic	465
82	Eczbek	462
83	Eraxa	454
84	500am	447
85	eviltunix	443
86	Skippeh	440
87	PhantomsGhost_	438
88	Sheldor097	436
89	Alteriity	424
90	MilleGrug	416
91	Hisiste	401
92	Vorlice	397
93	PlasticOtari	396
94	Hermanni__	393
95	Comma__	392
96	Bumpy419	387
97	Hiryu27	386
98	ConnorDanky_	378
99	NatalieTW	372
100	AlphaWolfPlaysMC	369
101	MakeHistory157	361
102	Groundler	360
103	Skylord_Luke	358
104	ProfessorBee	348
105	Lutres_Torane	341
106	Paintz	332
107	NameGenerat0r	328
108	NoChumpChange	326
109	Soplight	323
110	Quotary	301
111	_Nuf	295
112	Mythic1130	287
113	12Magner05	284
114	Deathkob	282
114	wwwwinnebagoooo	282
116	Marbz_	281
117	Shogunite	280
117	fluddd	280
119	xxPipperDipperxx	279
120	h2p_emrld	277
121	tsitrawhy	276
122	Onennon	271
123	Rumpletaezer	265
124	r123moore	260
125	Kowcio_	259
126	_Virify_	258
126	Xclax101	258
128	Esme_1	251
129	Jackster03	248
130	MattieHD	246
131	Njensen7	245
132	Hoid_the_Roamer	236
133	set67	233
134	Euclidoris	232
134	fw3xywashere	232
136	Xalithia	231
137	H72l9w	230
137	himak1	230
137	Arceus1975	230
140	lcvezra	228
141	Maenara	227
142	IamCL4SSY	224
143	Merv__	222
144	MangoTheFish	220
144	__tomato	220
146	Tyrannosplart	214
147	Kyrum2169	213
148	cedric72	211
149	Groovy_MoonBird	210
150	Warlord324	208
151	Swexti	206
152	LeEricc	205
153	Airem_Core	202
154	ZA07	199
155	OfficerAnvil	198
156	Prodiginus	195
156	EngagedGrub41	195
158	Masssonnn	192
159	gabriels543	191
160	SmashingPump	190
161	diamondgolem35	189
162	_Dean_123	187
162	stuy9	187
164	BlancoFlaco	186
164	RatatJuice	186
164	4774	186
164	Kferno	186
168	WyngGoy	184
168	PlzNoBM	184
170	6king6colt6	182
171	The_slideV3	181
172	UrbanPlanningEx	180
173	Rasmanden	179
174	pixelviolin	178
175	IdeallyGrey	175
176	cheerytomato	173
176	vandmanden	173
178	RebelAndroid	172
179	RealGroot	169
180	CliffEmAll	168
181	AlexxO_o	166
182	legal_tax_evader	165
182	HesDemonPants	165
184	audiocracked	164
185	SammiWolfGirl	162
186	KingMatthew506	161
187	ayamefag	160
188	AuroraValkyrie	157
188	Mewar	157
188	XboxPanda	157
191	NotMeanttoChange	156
192	TheDankPlatypus	154
193	BobDeBouwer1337	151
193	GingerNeutron	151
193	PortlyPete69	151
196	lorpus	150
197	ZeroKraken	148
198	Ryker	147
199	eiC_	146
200	Bandito_Roamer	143
200	TooManyDuck	143
202	Donutt	141
203	diggydog67	139
204	lillips	138
205	ssleepless	137
205	Nicserso	137
207	Meatlaugh	134
207	_Karmaa	134
209	Sral7	133
210	Fuad_R	132
210	VentiHilton	132
212	Ssor69	130
212	SkateboardR6	130
214	wTXop	129
215	wezzzi	128
216	tuckerdoodle	127
216	Rebytre	127
216	groofles	127
219	Yatitay	126
220	soundad	125
220	RoofTyler	125
222	picardred	124
222	SpacesickPrism	124
224	Inchef	122
225	ITDV	121
225	Megarboh	121
225	LexMakesHistory	121
225	Fildyr	121
229	Zoeyfortnite	120
230	SlayerCrypto	119
230	Blu3beast	119
232	Hpdinosaur	117
232	FishyBoy3811	117
234	Mattesco	114
235	Kubelz	113
236	SvenskaHugo	109
237	T045RTY	108
238	Factoroni	107
239	emrekn	105
239	CollinMH06	105
239	burbankbuilder28	105
239	GoofySilly	105
243	Deerfoot	104
243	2bolx_	104
245	Creativebuilder2	102
245	Touched_Bread	102
245	Quincannon	102
245	00000000-0000-0000-0009-01ff0c3e5e4f	102
249	Sleepy_Time_	101
