rank	username	minecraft:picked_up/minecraft:white_stained_glass_pane
1	Spacewardharpy7	8530
2	Ezekson	2442
3	Tolhart	1662
4	Freak_Genius	1198
5	Eczbek	1088
6	eitanzaki	712
7	beeperbeeper5	645
8	EcksDofficial	632
9	jnp_gaming	542
10	Snowflowe	521
11	Masssonnn	512
12	rarrq	509
13	noam464	505
14	pintsizedrogue	504
15	Groundler	501
16	kekhon	486
17	HellsSponge	463
18	El_Jalapeno	406
19	joethahobo	401
20	burbankbuilder28	320
21	EMC_	310
22	Hyp3rion_	296
23	KartivGal	290
24	Mahoose	267
24	Babushka0430	267
26	Arceus1975	251
26	Eraxa	251
28	Akoot_	248
29	Blaiku	245
30	himak1	233
31	Legendosh	232
32	Racengan	209
33	Di_infiri	198
34	Sky_light_KING	191
35	lordpipe	182
36	_Karmaa	171
37	cog	164
38	YungMaki	162
39	NameGenerat0r	150
40	XboxPanda	143
41	Blackberry1310	139
42	Waffleman258	138
43	500am	134
44	mwrty	131
45	_stets	113
46	Sheldor097	103
47	Lord_Jord	100
48	thescout7	95
49	RobotMinion101	92
49	CattSoup	92
51	stahouo	91
52	Huwulling	86
53	Winston_Ingram	77
54	TheShyPig	76
55	Merv__	71
56	Hermanni__	69
57	Enderslayerxz3	68
58	Steelynan	67
59	PhantomsGhost_	66
59	NinjaKnifeKill	66
61	Alteriity	65
62	xxPipperDipperxx	64
63	TheSecondLord	61
64	Queen_Jalapeno	60
65	titanlax	59
66	Yatitay	57
67	ApophisNova	52
67	MyNamaSheff	52
69	lcvezra	50
70	mihimihimihi	48
71	RoskobiOne	46
72	ImpavidArcher	40
72	Kowcio_	40
72	Soplight	40
75	Inchef	39
75	PlasticOtari	39
77	Blu3beast	38
77	Dusk_95	38
79	Leyna3	36
80	Winklepicker279	35
81	r123moore	33
81	gabriels543	33
81	iHuntWeeaboos	33
84	groofles	32
85	NoxxxxiS	31
85	TechnoNinja64	31
87	m_be9	30
87	Mewar	30
87	ROY4LE	30
90	Smoke____	29
91	6king6colt6	27
91	drunkeeez	27
91	H_Biscuit	27
94	yaboo88	26
95	Natty	25
95	wTXop	25
97	Xalithia	24
98	diamondgolem35	22
98	microcrisp	22
100	CoffeeNoir	21
100	_naturell	21
100	Cocoamallows	21
100	__tomato	21
100	jcool7	21
105	ZigzagLily43042	20
105	Chromary	20
105	Parcc	20
108	Tommhh	19
108	Incinere	19
108	Prismyst	19
108	Deathkob	19
112	Nesquiczek	18
112	ShedJr_	18
112	Hoid_the_Roamer	18
112	MyNameIsDakar	18
116	_Virify_	16
116	Jorrdi	16
116	jimintyy	16
116	SokaOtaku	16
116	Inbefour	16
121	Rumpletaezer	14
121	HAIRYCLOUD626	14
121	Onennon	14
124	set67	13
124	KnightmareD	13
124	lillips	13
124	FelixPSY375	13
128	LotusProject	12
128	Truckoss	12
130	AuroraValkyrie	9
130	Negriuke	9
130	Jiminie	9
130	CalebDHawk	9
134	PoofHairGuy	8
134	obzii	8
134	xorompole	8
137	Marbz_	7
137	Hiryu27	7
137	SSytex_X	7
140	Drlzyy	6
140	MakeHistory157	6
140	GlitchyPlate810	6
143	NotMeanttoChange	5
143	Mattesco	5
143	Eerini	5
143	K_a__a_n	5
143	Quotary	5
148	teslawolf38	4
148	Jackattack53	4
148	alderban107	4
151	Ailmast	3
151	Frozil20	3
151	KarlKaek	3
151	Stynxy	3
151	AlexxO_o	3
151	chipklip	3
151	GoofyBread	3
151	RadarHz	3
159	RebelAndroid	2
159	peach0s	2
159	fr0stss	2
159	Swexti	2
159	SquadMonster	2
159	Fullut	2
159	emrekn	2
159	NomadicRobin_	2
159	Smiguli_	2
159	KG1999	2
159	SammiWolfGirl	2
170	Iagoku	1
170	ColeSnyder	1
170	Isaac70096	1
170	NieToksikpl	1
170	prizm_	1
170	MangoTheFish	1
170	Skylord_Luke	1
170	Werbe	1
170	thechoosenone69	1
170	MightyWertu	1
170	MilleGrug	1
170	EcksD	1
170	HesDemonPants	1
