rank	username	minecraft:picked_up/minecraft:feather
1	TheShyPig	5976
2	beeperbeeper5	4311
3	Arceus1975	3613
4	Jackattack53	2435
5	FreakGenius	2213
6	starbits140	2191
7	luseis	2168
8	Lez_	2080
9	CarltheCuck	1916
10	HellsSponge	1710
11	kekhon	1570
12	Groovy_MoonBird	1431
13	Smashic	1325
14	MakeHistory157	1303
15	Legendosh	1127
16	claivin	1095
17	El_Jalapeno	1085
18	Rumpletaezer	1076
19	joethahobo	1062
20	pintsizedrogue	920
21	TechnoNinja64	914
22	UrbanPlanningEx	912
23	Kateesaur	873
24	GingerNeutron	831
25	Akoot_	790
26	Blaiku	771
27	thescout7	746
28	_Boipl_	664
29	YungMaki	599
30	Bumpy419	576
31	Kowcio_	565
32	Smoke____	560
33	Bandito_Roamer	555
34	KermitTheKripple	551
35	jnp_gaming	543
36	Blackberry1310	542
37	djancak	495
38	SteveCraftBlocks	492
39	eitanzaki	473
40	Groundler	467
41	bladeefan2009	466
42	lordpipe	436
43	Hyp3rion_	435
44	Mahoose	422
45	Spacewardharpy7	417
46	thewindmillman	406
47	Fullut	404
48	Di_infiri	395
49	6king6colt6	391
50	SammiWolfGirl	389
51	Soplight	388
52	Frozil20	384
53	Awyrlas	383
54	Ezekson	382
55	500am	380
56	Doom_melon	359
57	ediballbearings	346
58	Lord_Jord	340
59	ROY4LE	332
60	PlasticOtari	320
61	DanTheBuilderino	313
62	Esme_1	311
63	Snowflowe	310
64	Wooptey	307
64	Babushka0430	307
66	emrekn	306
67	smogfrog	303
68	lillips	300
69	_Dean_123	298
70	CoryJJ	296
71	Werbe	295
72	KingMatthew506	294
73	RebelAndroid	292
74	EMC_	287
75	CliffEmAll	286
75	Mythic1130	286
77	RealGroot	274
78	The11thDoctor	271
79	Enderxz3	269
80	Skylord_Luke	266
81	m_be9	263
82	fluddd	262
83	MattieHD	261
84	Joestra	256
84	CheifJumbo	256
86	WyngGoy	255
87	12Magner05	251
88	Blu3beast	248
88	mobunni	248
90	ImpavidArcher	240
91	KarlKaek	238
92	SUN_DREAM	237
93	Comma__	236
94	ReflexCode	234
95	_Cloverbelle_	233
96	stellarjay	231
97	Killercatty78	230
97	NormanFetus	230
99	noam464	229
100	Merv__	222
101	masskedman	220
102	lcvezra	218
103	SvenskaHugo	217
104	legal_tax_evader	214
105	audiocracked	208
106	censorsheep	198
107	SquadMonster	196
108	Meatlaugh	194
108	fffMike	194
110	SmashingPump	191
110	Fuad_R	191
112	Steelynan	190
112	ConnorDanky_	190
114	Huwulling	188
115	SPUDonSTEROIDS	187
116	Nicserso	178
117	Hiryu27	173
118	Windo_licker	172
119	Tolhart	171
119	Sheldor097	171
121	T045RTY	167
122	PigDab	164
123	fade_emerge78823	162
124	pZygh0st	161
124	SuperPooch06	161
126	valiSW	156
127	Incinere	152
128	EcksD	148
129	Zaridey	147
130	bloodbiter	145
131	NatalieTW	141
131	monky_irl	141
133	sp00ky_ghost977	139
134	dopplexd	132
135	Kiki_Majiki	131
136	malgosia14	130
137	Mohawkfalco	128
137	Frxnkz	128
139	Xclax101	127
140	iElijah	125
141	Powowowow	119
142	Moofyman	117
142	Inbefour	117
144	ApophisNova	116
144	MyNamaSheff	116
146	Onennon	111
147	EveryonesUncle	110
148	PlzNoBM	108
149	ShedJr_	107
149	GlitchyPlate810	107
151	_8man	106
152	rarrq	105
152	Russiancat1	105
154	AvaRosey	104
155	BlancoFlaco	103
155	jacxhadow	103
157	Iamthejo	102
158	himak1	100
159	ratglock	99
159	xxPipperDipperxx	99
159	brrh	99
162	Rebytre	98
162	TheWildMateo	98
162	RoofTyler	98
162	StinkyDiplomat	98
