rank	username	minecraft:picked_up/minecraft:light_blue_terracotta
1	thewindmillman	2065
2	XxCookiequeenxX	2054
3	noam464	1114
4	rarrq	903
5	YungMaki	888
6	kekhon	716
7	lordpipe	510
8	joethahobo	502
9	EMC_	495
10	Snowflowe	478
11	NameGenerat0r	425
12	TheShyPig	422
13	eitanzaki	396
14	Hyp3rion_	361
15	EveryonesUncle	338
16	KarlKaek	331
17	DarlaMeow	327
18	m_be9	306
19	sebastiensaborio	279
20	Natty	256
21	Merv__	239
22	__Auspicious	215
23	Blamphe	154
24	ProbablyNick	135
25	Mahoose	133
26	ooga47	126
27	Sral7	119
28	Bandito_Roamer	102
29	MakeHistory157	90
30	Rumpletaezer	88
31	Di_infiri	87
32	John6970	78
33	PlasticOtari	75
34	Lord_Jord	54
35	egglapras	48
36	xxPipperDipperxx	43
36	Kakolbus	43
38	claivin	41
39	ImpavidArcher	39
40	Fullut	38
40	Kouridragon	38
42	Akoot_	32
43	Hpdinosaur	30
44	Inbefour	27
44	RadarHz	27
46	Skippeh	25
47	mwrty	24
48	LexMakesHistory	18
48	Soplight	18
50	SellyZ	16
50	Smoke____	16
52	theonlymagikarp	13
52	TheEnderman548	13
54	Doom_melon	12
54	mobunni	12
56	Jiminbub	10
56	Frozil12	10
58	Wooptey	7
58	EcksDofficial	7
60	Nicserso	6
61	SuperPooch06	5
61	Blu3beast	5
63	Optiprimus	3
63	oxfordschool	3
63	EcksD	3
63	TechnoNinja64	3
63	The_SlideV5	3
68	pintsizedrogue	2
68	Groovy_MoonBird	2
68	Paint	2
68	dabloons	2
68	SaucyDark	2
68	Swalt	2
68	2Stout	2
68	loveseeker	2
68	AvaRosey	2
68	Eraxa	2
68	pixelviolin	2
68	Legendosh	2
80	beeperbeeper5	1
80	TheSecondLord	1
80	jacxhadow	1
80	beeleg	1
80	Motsaro	1
80	Marbz_	1
80	CarltheCuck	1
80	fkGrim	1
80	Steven1282598	1
80	Blaiku	1
80	Warlord324	1
80	Spacewardharpy7	1
80	starbits140	1
80	Spenduh	1
80	lcvezra	1
80	fffMike	1
80	Dreamdbr14	1
80	ZeroKraken	1
80	kinas45y5	1
