rank	username	minecraft:picked_up/minecraft:light_blue_terracotta
1	thewindmillman	2065
2	XxCookiequeenxX	2054
3	noam464	1114
4	rarrq	903
5	YungMaki	885
6	kekhon	716
7	lordpipe	510
8	joethahobo	502
9	Snowflowe	478
10	EMC_	449
11	NameGenerat0r	425
12	TheShyPig	422
13	eitanzaki	396
14	Hyp3rion_	353
15	EveryonesUncle	338
16	KarlKaek	331
17	DarlaMeow	327
18	m_be9	306
19	sebastiensaborio	279
20	Natty	256
21	Merv__	239
22	__Auspicious	215
23	Blamphe	154
24	ProbablyNick	135
25	ooga47	126
26	Sral7	119
27	Bandito_Roamer	102
28	MakeHistory157	90
29	Rumpletaezer	88
30	Di_infiri	87
31	John6970	78
32	OtariCharlie	65
33	Lord_Jord	54
34	egglapras	48
35	xxPipperDipperxx	43
35	Kakolbus	43
37	claivin	41
38	ImpavidArcher	39
39	Fullut	38
39	Kouridragon	38
41	Akoot_	32
42	Hpdinosaur	30
43	Inbefour	27
43	RadarHz	27
45	Skippeh	25
46	mwrty	24
47	Mahoose	21
48	LexMakesHistory	18
48	Soplight	18
50	SellyZ	16
50	Smoke____	16
52	theonlymagikarp	13
52	TheEnderman548	13
54	Doom_melon	12
54	mobunni	12
56	Jiminbub	10
56	Frozil12	10
58	Wooptey	7
58	EcksDofficial	7
60	Nicserso	6
61	SuperPooch06	5
61	Blu3beast	5
63	Optiprimus	3
63	oxfordschool	3
63	EcksD	3
63	TechnoNinja64	3
63	The_SlideV5	3
68	pintsizedrogue	2
68	Groovy_MoonBird	2
68	Paint	2
68	dabloons	2
68	SaucyDark	2
68	Swalt	2
68	2Stout	2
68	loveseeker	2
68	AvaRosey	2
68	Eraxa	2
78	TheSecondLord	1
78	jacxhadow	1
78	beeleg	1
78	Motsaro	1
78	CarltheCuck	1
78	fkGrim	1
78	Steven1282598	1
78	Blaiku	1
78	Warlord324	1
78	Spacewardharpy7	1
78	starbits140	1
78	Spenduh	1
78	lcvezra	1
78	fffMike	1
78	Dreamdbr14	1
78	ZeroKraken	1
78	kinas45y5	1
