rank	username	minecraft:picked_up/minecraft:iron_bars
1	Hyp3rion_	38140
2	Smoke____	12494
3	luseis	7947
4	beeperbeeper5	6117
5	FreakGenius	3457
6	Spacewardharpy7	3132
7	HellsSponge	2864
8	thewindmillman	1903
9	eitanzaki	1882
10	mwrty	1752
11	pintsizedrogue	1679
12	joethahobo	1532
13	Di_infiri	1502
14	Kowcio_	1313
15	PhantomsGhost_	1195
16	SteveCraftBlocks	1180
17	Mr_Byzantine	1072
18	burbankbuilder28	1050
19	TheShyPig	908
20	kekhon	784
21	xzvu	783
22	Huwulling	775
23	Mahoose	731
24	xxPipperDipperxx	688
25	TheSecondLord	652
26	Jackattack53	620
27	thescout7	614
28	noam464	590
29	Blu3beast	573
30	fffMike	567
31	EcksD	554
32	Werbe	550
33	Mattesco	542
34	Blackberry1310	510
35	El_Jalapeno	494
36	PlasticOtari	477
37	00000000-0000-0000-0009-01ff0c3e5e4f	426
38	Frozil20	412
39	EveryonesUncle	402
40	Alteriity	399
41	T045RTY	396
42	ShedJr_	381
43	Legendosh	360
44	Historical_Sand	353
45	lordpipe	339
45	cichy096	339
47	claivin	337
48	Xclax101	334
49	xolstoi	323
50	Skippeh	319
51	Blaiku	316
52	Hermanni__	312
53	m_be9	296
54	kyouma777	285
55	Lord_Jord	281
56	mihimihimihi	275
57	500am	269
58	jnp_gaming	267
59	Merv__	265
59	himak1	265
61	Touched_Bread	264
61	Steelynan	264
63	bloodbiter	246
64	EMC_	238
65	lcvezra	237
66	Chromary	235
67	Eraxa	229
68	Lez_	228
68	ROY4LE	228
70	1442	226
71	TechnoNinja64	211
72	Enderxz3	203
73	Akoot_	202
74	Ezekson	181
75	TheWildMateo	175
76	SquadMonster	171
76	rarrq	171
78	Comma__	166
79	ImpavidArcher	165
80	RoofTyler	164
81	Soplight	163
82	obzii	160
83	NameGenerat0r	153
84	calamariclam_I	148
85	MrKrabOnCoke	147
86	Stiar	142
86	Tyrannosplart	142
86	33sudo	142
89	StinkyDiplomat	140
90	Luminad3	138
91	Jimi7hits	135
92	ConnorDanky_	130
93	Fullut	128
93	Sral7	128
95	Onennon	126
96	PigDab	125
97	titanlax	118
98	MyNameIsJobo	115
99	Smussa	114
100	Dusk_95	111
101	ApophisNova	110
101	MyNamaSheff	110
103	Inchef	109
104	sp00ky_ghost977	106
105	Rebytre	105
105	MilleGrug	105
107	weabis	102
107	Kubeusz2010	102
109	Ryker	100
110	NotMeanttoChange	97
111	Skylord_Luke	96
112	IamCL4SSY	95
112	EngagedGrub41	95
114	RoskobiOne	94
115	ThiccExotic	93
116	Kakolbus	92
117	binman420	90
118	Nycteus_	87
118	tsitrawhy	87
120	Cocoamallows	86
121	Incinere	84
122	_Bguette_	83
123	MyNameIsDakar	80
123	Fuad_R	80
123	fluddd	80
123	YungMaki	80
127	MousePlays	79
127	Jimb0nat0r	79
129	Winklepicker279	77
130	jewbacaman	76
131	r123moore	74
132	Factoroni	73
132	UCP_TheKingK	73
134	MightyWertu	72
134	__tomato	72
136	jessewegottacook	71
136	ZeroAbyssTTV	71
136	Billious	71
136	Luigipunch989	71
140	AlexxO_o	70
140	pixelviolin	70
142	MattieHD	68
142	SuperPooch06	68
144	Esme_1	67
144	Mythic1130	67
146	The_slideV3	66
147	12Magner05	65
148	_Huge_Male_	64
149	KingMatthew506	63
150	AlphaWolfPlaysMC	62
151	Eraza	61
151	Maenara	61
153	Jeteight	60
153	Elastiq	60
153	fkGrim	60
156	SaucyDark	59
156	stavgod	59
158	HoltGrim	58
158	DermeinUser	58
160	GreedyFern8581	55
160	Nicserso	55
162	xXTheWolfmanXx	53
162	RealGroot	53
164	diamondgolem35	52
165	cedric72	51
165	Eczbek	51
167	BobDeBouwer1337	50
167	Cambo5000	50
167	lorpus	50
167	Fildyr	50
171	Snowflowe	49
171	pappaberg	49
171	Groundler	49
171	GlitchyPlate810	49
175	Racengan	48
176	CadenSteele	47
176	ZoomieZoomie	47
178	Jovaphobic	46
178	Ardennes	46
180	NomadicRobin_	45
180	TheEnderMan548	45
180	Quotary	45
183	KarlKaek	43
183	Bumpy419	43
185	Tolhart	42
185	Arceus1975	42
187	Crowman1	40
188	teslawolf38	39
188	LeauVox4921	39
188	Zythose	39
188	AssFullaCum	39
192	zorin123	38
192	Meatlaugh	38
194	iSammael	37
194	tonyth3tiger	37
196	MineMaster0012	36
197	Zaridey	35
197	plato2066	35
197	Sheldor097	35
197	Iamthejo	35
201	q_wq	34
201	Wooptey	34
201	RobotMinion101	34
204	SvenskaHugo	33
204	VentiHilton	33
206	set67	32
206	Muffindrake	32
206	Austinizzle	32
206	Vorlice	32
206	bruh072	32
211	brofrickcheaters	31
212	NoChumpChange	30
212	07shiny	30
212	IdeallyGrey	30
215	crying_wolf_13	29
215	dartwaffle	29
215	wwwwinnebagoooo	29
215	alderban107	29
219	Killercatty78	28
219	Cryptacity	28
221	SkateboardR6	27
222	FirsTimeGamingTV	26
222	Secret_Canary	26
222	eviltunix	26
222	impossibleteapot	26
226	Donutt	25
226	MakeHistory157	25
226	BlankityMcBlank	25
226	561cool	25
230	HesDemonPants	24
231	MuffinManzz	23
231	6king6colt6	23
231	Hpdinosaur	23
231	prizm_	23
231	sxc_	23
236	Kamflame10	22
236	audiocracked	22
236	PortlyPete69	22
239	fr0stss	21
239	theofiel	21
239	KliBeast21	21
239	Wowful	21
239	THEKINGLyric10	21
239	SSytex_X	21
245	Apollo_993	20
245	Sleek_Storm_721	20
245	gabriels543	20
245	Rumpletaezer	20
245	ougstur	20
245	_Karmaa	20
245	Nekomin0	20
252	slkiey	19
253	Swexti	18
253	2Stout	18
253	Shogunite	18
253	SingedBread	18
253	Dreamdbr14	18
253	MirielThePastor	18
259	Hanselhoof	17
259	benediktine1	17
259	Hoid_the_Roamer	17
259	DemTechAlpha	17
259	djancak	17
259	non089	17
259	Powowowow	17
266	tramizu	16
266	Smashic	16
266	hcb238	16
266	Kubelz	16
266	lizardfightclub	16
271	shineh10	15
271	jacxhadow	15
271	valkam13	15
271	DarkS0L	15
271	Lifedy	15
276	Groovy_MoonBird	14
276	AuroraValkyrie	14
276	Xalithia	14
276	DSYisDizzy	14
276	selectrix	14
276	ooga47	14
276	Shiirazu	14
276	PuFY	14
276	_KuruKuru	14
276	UrbanPlanningEx	14
286	bigstankyy	13
286	SyntheticSurgeon	13
286	CharlieButt	13
286	kars0n	13
286	ElectricDragon81	13
286	ProbsNotNova	13
292	chipklip	12
292	RebelAndroid	12
292	MangoTheFish	12
292	Inbefour	12
292	JESS_THE_RERE	12
297	Cowison	11
297	Saltymart	11
297	TooManyDuck	11
297	InfernalMound	11
