rank	username	minecraft:picked_up/minecraft:iron_bars
1	Hyp3rion_	38156
2	Smoke____	12494
3	luseis	7947
4	beeperbeeper5	6117
5	FreakGenius	3457
6	Spacewardharpy7	3132
7	HellsSponge	2864
8	thewindmillman	1903
9	eitanzaki	1882
10	mwrty	1752
11	pintsizedrogue	1679
12	joethahobo	1532
13	Di_infiri	1502
14	Kowcio_	1313
15	PhantomsGhost_	1195
16	SteveCraftBlocks	1180
17	Mr_Byzantine	1072
18	burbankbuilder28	1050
19	TheShyPig	908
20	kekhon	784
21	xzvu	783
22	Huwulling	776
23	Mahoose	731
24	xxPipperDipperxx	688
25	TheSecondLord	652
26	Jackattack53	620
27	thescout7	614
28	noam464	590
29	Blu3beast	573
30	fffMike	567
31	EcksD	554
32	Werbe	550
33	Mattesco	542
34	Blackberry1310	510
35	El_Jalapeno	494
36	PlasticOtari	477
37	00000000-0000-0000-0009-01ff0c3e5e4f	426
38	Frozil20	412
39	EveryonesUncle	402
40	Alteriity	399
41	T045RTY	396
42	ShedJr_	381
43	Legendosh	360
44	Historical_Sand	353
45	lordpipe	339
45	cichy096	339
47	claivin	337
48	Xclax101	334
49	xolstoi	323
50	Skippeh	319
51	Blaiku	316
52	Hermanni__	312
53	m_be9	296
54	kyouma777	285
55	Lord_Jord	281
56	mihimihimihi	275
57	500am	269
58	jnp_gaming	267
59	Merv__	265
59	himak1	265
61	Touched_Bread	264
61	Steelynan	264
63	bloodbiter	246
64	EMC_	238
65	lcvezra	237
66	Chromary	235
67	Eraxa	229
68	Lez_	228
68	ROY4LE	228
70	1442	226
71	TechnoNinja64	211
72	Enderxz3	203
73	Akoot_	202
74	Ezekson	181
75	TheWildMateo	175
76	SquadMonster	171
76	rarrq	171
78	Comma__	166
79	ImpavidArcher	165
79	RoofTyler	165
81	Soplight	163
82	obzii	160
83	NameGenerat0r	153
84	Crowman1	152
85	calamariclam_I	148
86	MrKrabOnCoke	147
87	Stiar	142
87	Tyrannosplart	142
87	33sudo	142
90	StinkyDiplomat	140
91	Luminad3	138
92	Jimi7hits	135
93	ConnorDanky_	130
94	Fullut	128
94	Sral7	128
96	Onennon	126
97	PigDab	125
98	Jimb0nat0r	124
99	titanlax	118
100	MyNameIsJobo	115
101	Smussa	114
102	Dusk_95	111
103	ApophisNova	110
103	MyNamaSheff	110
105	Inchef	109
106	sp00ky_ghost977	106
107	Rebytre	105
107	MilleGrug	105
109	Kakolbus	103
110	weabis	102
110	Kubeusz2010	102
112	Ryker	100
113	NotMeanttoChange	97
114	Skylord_Luke	96
115	IamCL4SSY	95
115	EngagedGrub41	95
117	RoskobiOne	94
118	ThiccExotic	93
119	binman420	90
120	Nycteus_	87
120	tsitrawhy	87
122	Cocoamallows	86
123	Incinere	84
124	_Bguette_	83
125	MyNameIsDakar	82
126	Fuad_R	80
126	fluddd	80
126	YungMaki	80
129	MousePlays	79
130	Winklepicker279	77
131	jewbacaman	76
132	r123moore	74
133	Factoroni	73
133	UCP_TheKingK	73
135	MightyWertu	72
135	__tomato	72
137	jessewegottacook	71
137	ZeroAbyssTTV	71
137	Billious	71
137	Luigipunch989	71
141	AlexxO_o	70
141	pixelviolin	70
143	MattieHD	68
143	SuperPooch06	68
145	Esme_1	67
145	Mythic1130	67
147	The_slideV3	66
148	12Magner05	65
149	_Huge_Male_	64
150	KingMatthew506	63
151	AlphaWolfPlaysMC	62
152	Eraza	61
152	Maenara	61
154	Jeteight	60
154	Elastiq	60
154	fkGrim	60
157	SaucyDark	59
157	stavgod	59
159	HoltGrim	58
159	DermeinUser	58
161	GreedyFern8581	55
161	Nicserso	55
163	xXTheWolfmanXx	53
163	RealGroot	53
165	diamondgolem35	52
166	cedric72	51
166	Eczbek	51
168	BobDeBouwer1337	50
168	Cambo5000	50
168	lorpus	50
168	Fildyr	50
172	Snowflowe	49
172	pappaberg	49
172	Groundler	49
172	GlitchyPlate810	49
176	Racengan	48
177	CadenSteele	47
177	ZoomieZoomie	47
179	Jovaphobic	46
179	Ardennes	46
181	NomadicRobin_	45
181	TheEnderMan548	45
181	Quotary	45
184	KarlKaek	43
184	Bumpy419	43
186	Tolhart	42
186	Arceus1975	42
188	teslawolf38	39
188	LeauVox4921	39
188	Zythose	39
188	AssFullaCum	39
192	zorin123	38
192	Meatlaugh	38
194	iSammael	37
194	tonyth3tiger	37
196	MineMaster0012	36
197	Zaridey	35
197	plato2066	35
197	Sheldor097	35
197	Iamthejo	35
201	q_wq	34
201	Wooptey	34
201	RobotMinion101	34
204	SvenskaHugo	33
204	VentiHilton	33
206	set67	32
206	Muffindrake	32
206	Austinizzle	32
206	Vorlice	32
206	bruh072	32
211	brofrickcheaters	31
212	NoChumpChange	30
212	07shiny	30
212	IdeallyGrey	30
215	crying_wolf_13	29
215	dartwaffle	29
215	wwwwinnebagoooo	29
215	alderban107	29
219	Killercatty78	28
219	Cryptacity	28
221	SkateboardR6	27
221	non089	27
223	FirsTimeGamingTV	26
223	Secret_Canary	26
223	eviltunix	26
223	impossibleteapot	26
227	Donutt	25
227	MakeHistory157	25
227	BlankityMcBlank	25
227	561cool	25
231	HesDemonPants	24
232	MuffinManzz	23
232	6king6colt6	23
232	Hpdinosaur	23
232	prizm_	23
232	sxc_	23
237	Kamflame10	22
237	audiocracked	22
237	PortlyPete69	22
240	fr0stss	21
240	Btabtab	21
240	theofiel	21
240	KliBeast21	21
240	Wowful	21
240	THEKINGLyric10	21
240	SSytex_X	21
247	Apollo_993	20
247	Sleek_Storm_721	20
247	gabriels543	20
247	Rumpletaezer	20
247	ougstur	20
247	_Karmaa	20
247	Nekomin0	20
254	slkiey	19
255	Swexti	18
255	2Stout	18
255	Shogunite	18
255	SingedBread	18
255	Dreamdbr14	18
255	MirielThePastor	18
261	Hanselhoof	17
261	benediktine1	17
261	Hoid_the_Roamer	17
261	DemTechAlpha	17
261	djancak	17
261	Powowowow	17
267	tramizu	16
267	Smashic	16
267	hcb238	16
267	Kubelz	16
267	lizardfightclub	16
272	shineh10	15
272	jacxhadow	15
272	valkam13	15
272	DarkS0L	15
272	Lifedy	15
277	Groovy_MoonBird	14
277	AuroraValkyrie	14
277	Xalithia	14
277	DSYisDizzy	14
277	selectrix	14
277	ooga47	14
277	Shiirazu	14
277	PuFY	14
277	_KuruKuru	14
277	UrbanPlanningEx	14
287	bigstankyy	13
287	SyntheticSurgeon	13
287	CharlieButt	13
287	kars0n	13
287	ElectricDragon81	13
287	ProbsNotNova	13
293	chipklip	12
293	RebelAndroid	12
293	MangoTheFish	12
293	Inbefour	12
293	JESS_THE_RERE	12
298	Cowison	11
298	Saltymart	11
298	TooManyDuck	11
