rank	username	minecraft:picked_up/minecraft:polished_blackstone_pressure_plate
1	thewindmillman	37
2	Jackattack53	32
3	pintsizedrogue	30
4	TheSecondLord	22
5	PlasticOtari	18
6	Ze_BaronKrigler	16
7	CliffEmAll	12
8	beeperbeeper5	10
9	gcaisawesome	8
10	Smashic	6
11	Lez_	5
11	XboxPanda	5
11	Enderxz3	5
14	Cowison	4
14	noam464	4
14	Shogunite	4
14	Eczbek	4
18	joethahobo	3
18	EcksD	3
18	Smoke____	3
21	ConnorDanky_	2
22	Mahoose	1
22	ShedJr_	1
22	Whiterooster001	1
22	kekhon	1
22	500am	1
22	fade_emerge78823	1
22	Hyp3rion_	1
22	EveryonesUncle	1
22	FreakGenius	1
22	Soplight	1
