rank	username	minecraft:picked_up/minecraft:filled_map
1	joethahobo	2362
2	YungMaki	1525
3	EcksD	1307
4	Jackattack53	1214
5	HellsSponge	1183
6	Legendosh	1109
7	beeperbeeper5	1027
8	xolstoi	954
9	kekhon	940
10	Enderxz3	916
11	Mahoose	822
12	Ezekson	638
13	Spacewardharpy7	637
14	eitanzaki	566
15	Merv__	561
16	Kowcio_	541
17	claivin	489
18	PlasticOtari	487
19	rarrq	480
20	Blaiku	476
21	Werbe	402
22	ShedJr_	391
23	mwrty	362
23	TheShyPig	362
25	Smussa	348
26	seanitoo	326
27	EMC_	323
28	pintsizedrogue	319
29	thewindmillman	301
30	noam464	300
31	ApophisNova	299
31	MyNamaSheff	299
33	Soplight	298
34	Onennon	290
35	Blackberry1310	280
36	NameGenerat0r	279
37	Lez_	278
38	Zythose	277
39	Kakolbus	266
40	Chromary	257
41	Blu3beast	256
42	Akoot_	253
43	lordpipe	251
44	luseis	250
45	Mr_Byzantine	238
46	Skylord_Luke	233
47	Smoke____	229
48	Huwulling	225
49	Mattesco	221
50	Steelynan	218
51	fluddd	211
52	TheSecondLord	207
53	_Dean_123	194
54	Rumpletaezer	187
54	EveryonesUncle	187
54	TechnoNinja64	187
57	SuperPooch06	184
58	ConnorDanky_	183
59	FreakGenius	180
60	_Bguette_	174
61	diamondgolem35	170
61	Sral7	170
63	MattieHD	163
63	Smashic	163
63	jnp_gaming	163
66	Euclidoris	159
67	youhjjhhhjj	156
68	Marbz_	154
69	Hyp3rion_	152
70	SmashingPump	148
71	Jimb0nat0r	144
72	Hermanni__	143
73	PortlyPete69	142
74	Incinere	139
75	mihimihimihi	138
76	xzvu	134
77	Frozil20	133
78	ThiccExotic	129
79	Di_infiri	122
80	jessewegottacook	116
81	CalebDHawk	112
82	XboxPanda	110
83	lcvezra	109
84	500am	107
85	SteveCraftBlocks	105
86	ROY4LE	102
87	Fullut	101
88	El_Jalapeno	90
89	ITDV	85
90	12Magner05	84
91	xxPipperDipperxx	82
92	PhantomsGhost_	81
92	thescout7	81
92	jcool7	81
92	MirielThePastor	81
96	MAns_44	80
97	Motsaro	79
98	r123moore	77
99	jacxhadow	76
100	RoofTyler	73
100	Xclax101	73
102	TooManyDuck	71
103	FazeObama69	70
104	KarlKaek	69
105	Inchef	68
105	lillips	68
105	bladeefan2009	68
108	m_be9	65
109	Groundler	64
110	RealGroot	62
111	MakeHistory157	58
111	Eraxa	58
111	SSytex_X	58
114	OfficerAnvil	55
115	Tyrannosplart	54
116	_Boipl_	53
117	Quaintster	52
118	SaucyDark	49
118	Malorn_Aetherius	49
118	Awyrlas	49
118	Kubeusz2010	49
122	H72l9w	48
123	Historical_Sand	47
123	UCP_TheKingK	47
125	bloodbiter	46
125	SingedBread	46
125	__tomato	46
128	Arceus1975	45
129	mariominejedi	44
130	MinttyFressh	43
131	Fuhrer_Teemo	42
132	teslawolf38	38
132	bigstankyy	38
132	SvenskaHugo	38
135	sammidk	37
135	Dusk_95	37
135	Shin69	37
138	elicobnoah	36
139	Hpdinosaur	35
139	TheTommyGun63	35
141	Creativebuilder2	34
141	Crowman1	34
141	Kynigito	34
141	fffMike	34
145	Esme_1	30
145	Touched_Bread	30
145	DarlaMeow	30
148	PazinGaming	29
148	gustarlep	29
150	Donutt	28
151	Hoid_the_Roamer	27
151	Fildyr	27
153	Luminad3	26
153	Warlord324	26
153	pixelviolin	26
156	Jovaphobic	25
156	6king6colt6	25
156	hanaryheatwave	25
159	pappaberg	24
159	djancak	24
161	Groovy_MoonBird	23
161	epiksk8erduck	23
161	sp00ky_ghost977	23
164	ImpavidArcher	22
164	KliBeast21	22
164	binman420	22
164	LexMakesHistory	22
168	Sleek_Storm_721	21
169	CoffeeNoir	20
169	zToasty69z	20
169	Maenara	20
169	Fuad_R	20
169	Mythic1130	20
174	NotKaden_	19
174	Solar_Power	19
174	Racengan	19
174	rejenita	19
174	Quotary	19
179	WET_WET_WET	18
179	AlexxO_o	18
179	Rasmanden	18
179	SexcMf	18
183	TheDiamondCG	17
183	lorpus	17
183	Lil_Breadboy	17
183	NomadicRobin_	17
183	Tap2304	17
183	monky_irl	17
183	SammiWolfGirl	17
183	camando92	17
191	RatatJuice	16
191	Pofen	16
191	Darkgon	16
194	dabloons	15
194	I_Am_Mushkin	15
194	LoboTheLobster	15
194	Kondzik2008	15
194	XxCookiequeenxX	15
194	BlankityMcBlank	15
194	Eczbek	15
201	shneed	14
201	whoaluv	14
201	Bumpy419	14
201	PigDab	14
201	__Auspicious	14
201	LetsDoItLive	14
201	WyngGoy	14
201	gusstationwerker	14
201	KingMatthew506	14
201	cichy096	14
201	Zoeyfortnite	14
201	Faart	14
213	ExtraDumb	13
213	Gundam_Steven	13
213	nocturne78	13
213	DemTechAlpha	13
213	Coolbou0427	13
213	SlinkyPinky	13
213	ReyTheLegend	13
213	00000000-0000-0000-0009-01f6557d802a	13
221	WavyGravy_	12
221	Kkanot	12
221	RobotMinion101	12
221	Moofyman	12
221	Swiffin	12
221	guccipucci_	12
221	diggydog67	12
228	livingdaydreams	11
228	T045RTY	11
228	Ssor69	11
228	2Stout	11
228	Huic_ostiarius	11
228	Lord_Jord	11
228	censorsheep	11
228	CattSoup	11
228	Weepingbiel	11
237	_Huge_Male_	10
237	jimbo61101jr	10
237	Swexti	10
237	Frxnkz	10
237	Lumien_	10
237	LAVA129	10
237	Drewen24	10
237	AlphaWolfPlaysMC	10
237	Babushka0430	10
237	jacobsoy	10
237	QueenShuvi	10
237	3_Solar_3	10
249	JohnnyFyes	9
249	Lukeee33	9
249	_Razaria	9
249	_Nuf	9
249	Xalithia	9
249	King_Pancake1	9
249	MrQuanQuan	9
249	The_slideV3	9
249	iSammael	9
249	_TCARREIRA_	9
249	Njensen7	9
249	Nicserso	9
261	JuckFuan	8
261	Rx5	8
261	Sabby65	8
261	prizm_	8
261	shadowthemonkey	8
261	gabriels543	8
261	gotes	8
261	Nycteus_	8
261	jaimshae	8
261	little_dUki	8
261	HesDemonPants	8
261	h2p_emrld	8
273	shineh10	7
273	MOSS000	7
273	Chickenchaser2	7
273	ProfessorBee	7
273	Kelloogs	7
273	CollinMH06	7
273	legal_tax_evader	7
273	Snowflowe	7
273	shockdocta	7
273	TheWildMateo	7
273	Leyna3	7
273	IamCL4SSY	7
273	parodypatient	7
273	audiocracked	7
273	Powowowow	7
288	Bandito_Roamer	6
288	chipklip	6
288	soundad	6
288	LovelyDane	6
288	Tommhh	6
288	Sna_Ke	6
288	ZaneABrain	6
288	Luna_Rosie	6
288	ConcretePirate	6
288	fade_emerge78823	6
288	Zorin_Blitz	6
288	Winklepicker279	6
288	SamZombie	6
