rank	username	minecraft:picked_up/minecraft:lapis_lazuli
1	Frozil20	208264
2	thewindmillman	32942
3	joethahobo	30030
4	pintsizedrogue	26934
5	Hyp3rion_	25650
6	lordpipe	22703
7	TheShyPig	21568
8	livingdaydreams	16902
9	Enderxz3	16291
10	Spacewardharpy7	14982
11	ROY4LE	12728
12	gcaisawesome	12396
13	MrKrabOnCoke	12175
14	Snowflowe	11411
15	500am	11355
16	beeperbeeper5	10626
17	luseis	10215
18	EMC_	10039
19	EveryonesUncle	8951
20	YungMaki	8078
21	Iamthejo	8071
22	12Magner05	7975
23	PhantomsGhost_	7932
24	Blaiku	7888
25	rarrq	7639
26	Airem_Core	7182
27	The11thDoctor	7175
28	NameGenerat0r	7080
29	sp00ky_ghost977	6849
30	vandmanden	6482
31	mwrty	6308
32	ApophisNova	5941
32	MyNamaSheff	5941
34	Cocoamallows	5786
35	T045RTY	5648
36	Kowcio_	5593
37	Njensen7	5572
38	Corbsman	5509
39	Smoke____	5401
40	Rumpletaezer	5394
41	Jackster03	5388
42	FreakGenius	5380
43	Kakolbus	5378
44	kekhon	5272
45	PigDab	5234
46	ThiccExotic	5176
47	Ezekson	5163
48	Steelynan	5107
49	MyNameIsJobo	5059
50	PlasticOtari	5051
51	Ecplosive	4956
52	GoofySilly	4942
53	Werbe	4906
54	Esme_1	4854
55	6king6colt6	4827
56	wezzzi	4692
57	TheDankPlatypus	4654
58	Fullut	4511
59	ayamefag	4396
60	NatalieTW	4190
61	Zaridey	4171
62	RealGroot	4118
63	censorsheep	4081
64	cedric72	4041
65	Legendosh	4031
66	SaucyDark	3903
67	ConnorDanky_	3895
68	Inbefour	3892
69	Xclax101	3759
70	set67	3627
71	diamondgolem35	3607
72	PlzNoBM	3589
73	FallenCorps	3558
74	Blackberry1310	3556
75	GoofyBread	3427
76	Akoot_	3409
77	TheSecondLord	3407
78	gusstationwerker	3388
79	fffMike	3324
80	Smashic	3291
81	lotarp	3289
82	m_be9	3207
82	Awyrlas	3207
84	RebelAndroid	3206
85	Di_infiri	3142
86	Kyrum2169	3103
87	XboxPanda	3058
88	HellsSponge	3033
89	Mewar	3016
90	TechnoNinja64	2936
91	Skippeh	2915
92	PeteO1995	2899
93	alderban107	2750
94	G1ldor	2749
95	yulgur1	2724
96	Vetral1	2710
97	EfficientC52	2643
98	SmashingPump	2639
99	anbbang	2638
100	Windo_licker	2633
101	TheThomas69	2629
102	BreadBacon	2628
103	Arceus1975	2598
104	geekbird	2591
105	Franco093	2575
106	El_Jalapeno	2573
107	Toriankel	2550
108	Soap_Bender	2532
109	Marbz_	2459
110	Bandito_Roamer	2458
111	UncreativeArtist	2429
112	__Fanda__	2405
113	LeauVox4921	2403
114	corvidpartyfor6	2391
114	h2p_emrld	2391
116	_Nuf	2389
117	Huwulling	2370
118	Vizzoid	2354
119	djancak	2353
120	gabriels543	2347
121	Merv__	2333
122	calamariclam_I	2329
123	xolstoi	2324
124	WyngGoy	2315
125	Myszoaz	2314
126	xPixelRainx	2311
