rank	username	minecraft:picked_up/minecraft:light_blue_dye
1	thewindmillman	577946
2	noam464	35336
3	TechnoNinja64	843
4	Ezekson	600
5	HellsSponge	398
6	Mahoose	256
7	beeperbeeper5	201
8	PhantomsGhost_	188
9	YungMaki	130
10	Drlzyy	128
11	set67	127
12	6king6colt6	122
13	2Stout	120
14	Chromary	119
15	Groovy_MoonBird	106
16	pintsizedrogue	102
17	BlancoFlaco	99
18	lordpipe	90
19	Arceus1975	82
20	ssleepless	81
21	rarrq	77
22	NameGenerat0r	71
23	Mr_Byzantine	68
24	jnp_gaming	66
25	emrekn	64
25	Njensen7	64
27	Zaridey	63
27	Kokeech	63
27	DarlaMeow	63
30	SammiWolfGirl	62
31	kekhon	59
32	oxfordschool	55
33	joethahobo	53
34	_Dean_123	50
35	Paintz	41
35	QueenShuvi	41
37	Franco093	39
37	NotMeanttoChange	39
39	epiksk8erduck	38
39	fffMike	38
41	Lord_Jord	36
41	The_slideV3	36
43	xxPipperDipperxx	34
44	Smoke____	33
45	GLLogan2	32
45	WET_WET_WET	32
47	Akoot_	31
48	Legendosh	29
49	Inbefour	24
50	diamondgolem35	23
51	EMC_	22
51	eclipseboi	22
51	Maenara	22
54	Hyp3rion_	21
54	KingMatthew506	21
56	Di_infiri	20
56	El_Jalapeno	20
58	eitanzaki	19
59	Freak_Genius	18
60	Eraxa	17
60	EcksD	17
62	XxCookiequeenxX	16
62	Optiprimus	16
64	Werbe	15
65	titanlax	12
65	Xclax101	12
67	Blu3beast	11
67	Enderslayerxz3	11
69	Leyna3	10
70	mwrty	9
71	TheBiggestFeller	8
71	Fullut	8
73	fluddd	7
74	extralargenose	6
74	sadvavilloso	6
76	AJplaysMC_	5
76	Kowcio_	5
78	_Virify_	4
78	Rumpletaezer	4
78	Queen_Jalapeno	4
78	RodSerlingCringe	4
78	GlitchyPlate810	4
83	SaucyDark	3
83	Wooptey	3
83	12Magner05	3
83	TheThomas69	3
83	Hiryu27	3
83	Onennon	3
83	TheShyPig	3
83	lcvezra	3
83	PlasticOtari	3
83	The_SlideV5	3
93	ImpavidArcher	2
93	CoffeeNoir	2
93	SquadMonster	2
93	Ardennes	2
93	TheDiamondCG	2
93	PeteO1995	2
93	Donutt	2
93	TheTrueClipse	2
93	SingedBread	2
93	Vellu21	2
93	laron58	2
93	kinas45y5	2
105	Hpdinosaur	1
105	Ryker	1
105	livingdaydreams	1
105	awesomeoneme	1
105	TheFlfthHorseman	1
105	Blackberry1310	1
105	CliffEmAll	1
105	thescout7	1
105	Motsaro	1
105	Ecplosive	1
105	Winklepicker279	1
105	gabriels543	1
105	Doom_melon	1
105	Rebytre	1
105	ApophisNova	1
105	Skomo	1
105	TheSeismicDuck	1
105	Jiminie	1
105	marumochis	1
105	Spacewardharpy7	1
105	Dusk_95	1
105	sp00ky_ghost977	1
105	Nekomin0	1
105	MyNamaSheff	1
105	Sral7	1
