rank	username	minecraft:picked_up/minecraft:cauldron
1	thewindmillman	9375
2	noam464	1406
3	Enderslayerxz3	434
4	beeperbeeper5	361
5	PlasticOtari	337
6	pintsizedrogue	298
7	EveryonesUncle	277
8	Jackattack53	131
9	non089	112
10	HellsSponge	95
11	12Magner05	88
12	Lord_Jord	86
13	Hyp3rion_	82
14	Freak_Genius	70
15	Smoke____	65
16	Racengan	60
17	Mahoose	57
18	prizm_	56
19	Eczbek	52
20	MangoTheFish	51
20	Eraxa	51
22	Spacewardharpy7	49
23	kekhon	43
24	500am	41
24	Fuad_R	41
26	Historical_Sand	36
26	EcksDofficial	36
28	Drlzyy	35
29	SammiWolfGirl	31
29	calamariclam_I	31
31	SvenskaHugo	30
32	Merv__	29
32	Ezekson	29
32	Legendosh	29
35	EMC_	28
35	ImpavidArcher	28
35	Soplight	28
38	TheSecondLord	27
39	groofles	26
40	Hpdinosaur	24
40	StinkyDiplomat	24
42	KingEgg1	23
42	pixelviolin	23
44	sp00ky_ghost977	21
45	m_be9	20
45	fffMike	20
47	eitanzaki	19
47	T045RTY	19
49	Arceus1975	18
49	Deathkob	18
49	kinas45y5	18
52	jushykins	17
52	LeauVox4921	17
54	KarlKaek	16
54	jacxhadow	16
54	Jiminie	16
54	FlashMigma	16
54	WYFYoyo	16
59	Fullut	15
59	Di_infiri	15
59	TheShyPig	15
62	Kakolbus	13
62	SuperPooch06	13
62	Solar_Power	13
62	Blu3beast	13
66	titanlax	12
66	Kokeech	12
68	Prismyst	11
68	Crowman1	11
68	Kkanot	11
68	Awyrlas	11
68	Akoot_	11
68	MyNameIsDakar	11
68	El_Jalapeno	11
68	YungMaki	11
76	RatatJuice	10
76	Lez_	10
76	MattieHD	10
76	_Bguette_	10
76	djancak	10
76	00000000-0000-0000-0009-01ff0c3e5e4f	10
82	Groovy_MoonBird	9
82	Incinere	9
82	bloodbiter	9
82	Megarboh	9
82	set67	9
82	SHAOBADMAN	9
82	JitteryJared2	9
82	HolyVenom	9
82	iHuntWeeaboos	9
82	Sral7	9
92	ewsophie	8
92	thescout7	8
92	eiC_	8
92	Rumpletaezer	8
92	_Boipl_	8
