rank	username	minecraft:picked_up/minecraft:coal_block
1	Spacewardharpy7	45373
2	thewindmillman	41753
3	jcool7	26278
4	EcksD	8728
5	Nicserso	4129
6	Blaiku	3181
7	Freak_Genius	1628
8	kekhon	1595
9	pintsizedrogue	1194
10	Rasmanden	1049
11	YungMaki	970
12	Akoot_	850
13	MattieHD	768
14	gcaisawesome	763
15	Blu3beast	737
16	HellsSponge	706
17	jnp_gaming	675
18	WyngGoy	669
19	Cocoamallows	650
20	_Nuf	649
21	El_Jalapeno	586
22	PhantomsGhost_	579
23	sxc_	576
23	MineMaster0012	576
25	Mewar	552
26	lillips	548
27	Legendosh	533
28	Flores991	520
29	Smoke____	440
30	eitanzaki	430
31	Comma__	426
32	King_Pancake1	396
33	Historical_Sand	390
33	ROY4LE	390
35	MyNameIsJobo	388
36	CyrusIsTired	383
37	Mahoose	382
38	fred870d	380
39	censorsheep	375
40	LotusProject	365
41	joethahobo	357
42	oxfordschool	352
43	Werbe	349
43	AssEatrAndLicker	349
45	PigDab	335
46	Kakolbus	324
47	ProfessorBee	318
48	mwrty	316
49	ooga47	315
50	Di_infiri	304
51	SkateboardR6	298
52	Snowflowe	296
53	MilleGrug	295
54	Frozil12	289
55	The_Dark_One_00	287
56	anbbang	271
57	NoChumpChange	270
58	lordpipe	253
59	CueMix	250
59	rarrq	250
61	sebastiensaborio	237
62	Xclax101	236
63	lcvezra	228
64	Blackberry1310	226
64	Powowowow	226
66	surfinggiraffejp	225
67	Valoth	217
67	OfficerAnvil	217
69	Typadopoulos	216
70	noam464	212
71	ExtraDumb	204
72	ImpavidArcher	192
73	beeperbeeper5	169
73	Awyrlas	169
75	Ze1ig	164
75	Soplight	164
77	EMC_	163
77	obzii	163
79	jewbacaman	162
79	fffMike	162
81	Fullut	153
82	starbits140	151
83	vandmanden	145
84	eviltunix	141
85	Stiar	139
86	Miko_Fullbuster	137
87	EveryonesUncle	130
88	AltnumberF4	129
89	_NieToksikpl_	127
90	Inchef	126
91	Cryptacity	123
91	GlitchyPlate810	123
93	livingdaydreams	122
94	set67	121
95	AvaRosey	120
96	TheShyPig	114
97	Decaying_Lotus	111
97	CalebDHawk	111
99	Hyp3rion_	109
100	TheBiggestFeller	104
100	TooManyDuck	104
102	FallenCorps	103
103	Prodiginus	101
104	CliffEmAll	99
104	kinas45y5	99
104	EcksDofficial	99
107	fluddd	95
108	CoryJJ	92
109	12Magner05	89
109	k1ngGilgamesh	89
109	SvenskaHugo	89
112	m_be9	87
113	Airem_Core	80
114	Spenduh	79
115	Inbefour	77
116	SSytex_X	75
117	LilyNova	72
118	NomadicRobin_	70
119	Eraxa	67
120	Euclidoris	66
120	hcb238	66
120	Chromary	66
120	Lord_Jord	66
124	Dedalus36	65
124	Bumpy419	65
126	BodaciousCake	64
126	Reamdin	64
126	thescout7	64
126	r123moore	64
126	WET_WET_WET	64
126	regulator75	64
126	_naturell	64
126	Shogunite	64
126	Testificate_517	64
126	Soul_Atreus	64
136	TeenMomTom	62
136	Groundler	62
138	teslawolf38	61
139	KingMatthew506	59
140	T045RTY	58
140	titanlax	58
140	Voxin2K	58
143	adiccting01	57
144	TheThomas69	56
145	Wooptey	51
145	RadarHz	51
147	Ecplosive	50
148	h2p_emrld	48
149	G1ldor	46
150	THExMuffinx	45
150	TheMiddayMoon	45
152	Warlord324	44
153	Rumpletaezer	43
153	SingedBread	43
155	Kkanot	42
155	Racengan	42
155	Moetis	42
158	Vellu21	41
159	Mr_Byzantine	40
159	Aezekial	40
161	radioactv_jelly	38
161	IvarEXE	38
161	Enderslayerxz3	38
164	Incinere	36
164	trixterrx	36
166	yulgur1	35
167	Onennon	33
167	07shiny	33
169	TheSecondLord	32
169	theonlymagikarp	32
169	_TCARREIRA_	32
172	TAKrules	31
173	theofiel	30
174	o0z	29
