rank	username	minecraft:picked_up/minecraft:red_nether_brick_stairs
1	k_ce	1358
2	Legendosh	500
3	kekhon	344
4	m_be9	209
5	FreakGenius	119
6	himak1	67
7	ooga47	61
8	TheShyPig	32
9	Yamdalorian	28
10	YungMaki	27
11	beeperbeeper5	18
11	Kowcio_	18
13	Eraxa	17
14	noam464	14
14	Marbz_	14
14	thewindmillman	14
14	skitzxo	14
18	ApophisNova	13
18	MyNamaSheff	13
18	jnp_gaming	13
21	rarrq	12
22	_Dean_123	10
22	master9067	10
22	Blu3beast	10
25	Sral7	9
26	Snowflowe	7
27	Lez_	6
27	stavgod	6
29	livingdaydreams	5
29	Lord_Jord	5
31	Mr_Byzantine	4
31	lizardfightclub	4
31	Vorlice	4
31	Soplight	4
35	pintsizedrogue	3
35	shineh10	3
35	The_slideV3	3
38	Bandito_Roamer	2
38	heckface	2
38	2Stout	2
38	Manaateee	2
38	annebolyn	2
43	Merv__	1
43	KarlKaek	1
43	Comma__	1
43	Fullut	1
43	SammiWolfGirl	1
43	Steelynan	1
