rank	username	minecraft:picked_up/minecraft:diorite_wall
1	Kakolbus	1489
2	Legendosh	991
3	HellsSponge	651
4	himak1	649
5	Mahoose	384
6	Mr_Byzantine	381
7	Meatlaugh	350
8	PlasticOtari	330
9	Ezekson	221
10	Marbz_	208
11	Lord_Jord	205
12	skitzxo	195
13	Stiar	183
14	FreakGenius	180
15	Doom_melon	172
16	joethahobo	142
17	KarlKaek	124
18	Werbe	123
19	Di_infiri	117
20	Merv__	102
21	ImpavidArcher	91
21	eviltunix	91
23	TheShyPig	90
24	Froste131	80
25	Xalithia	76
26	RedcatVII	57
27	Jackattack53	56
28	Arceus1975	55
29	Huwulling	46
30	Lez_	45
30	HUNTERmaun	45
32	Winston_Ingram	43
33	Crowman1	36
34	Mikael_Kuningas	35
35	pixelviolin	34
35	Kowcio_	34
35	Soplight	34
38	_i_ERROR_i_	33
39	Inbefour	31
40	beeperbeeper5	29
41	Cryptacity	28
42	pintsizedrogue	27
43	SquadMonster	26
44	MrExplorer	25
44	orxngejuice	25
46	ApophisNova	22
46	MyNamaSheff	22
48	Guillemet	21
48	DkansK	21
50	SteveCraftBlocks	19
51	ShedJr_	18
51	Fuhrer_Teemo	18
53	Spacewardharpy7	17
54	Olib3ar	16
54	ReflexCode	16
56	bloodbiter	14
57	Krowuss	13
58	pretty_pink_reno	12
58	TheWickedBird	12
60	noam464	11
60	Zythose	11
62	eitanzaki	10
62	Dakar_	10
64	Napoleonpancake	9
64	Studyhallsaver	9
64	DemTechAlpha	9
64	JESS_THE_RERE	9
68	NotMeanttoChange	8
69	EMC_	7
69	Pumpkin_P_Patch	7
71	Groovy_MoonBird	6
71	shineh10	6
71	Frozil20	6
71	Snowflowe	6
71	Deathkob	6
71	Barlycorn	6
71	CattSoup	6
78	The_slideV3	5
78	Yamdalorian	5
80	PazinGaming	4
80	AuroraValkyrie	4
80	Onennon	4
80	Blaiku	4
80	_Mythic____	4
80	mobunni	4
86	lorywithay	3
86	J4k__	3
86	FreeMoCo2009	3
86	Manaateee	3
86	Enderxz3	3
91	Cowison	2
91	titanlax	2
91	poopybh	2
91	500am	2
91	benediktine1	2
91	U_Mos_	2
91	Skylord_Luke	2
91	Mattesco	2
91	Maenara	2
91	luseis	2
91	Darkgon	2
91	Deerfoot	2
91	SpacesickPrism	2
91	Eczbek	2
105	Lukeee33	1
105	Alteriity	1
105	QuiCreans	1
105	NieToksikpl	1
105	kekhon	1
105	Fullut	1
105	GLLogan2	1
105	Inchef	1
105	Gzrdy	1
105	Hyp3rion_	1
105	Kim_Jong_eel	1
105	Fuad_R	1
105	MAns_44	1
105	mihimihimihi	1
105	Optiprimus	1
105	07shiny	1
105	jnp_gaming	1
