rank	username	minecraft:picked_up/minecraft:chiseled_sandstone
1	2Stout	494
2	NameGenerat0r	328
3	Frozil20	230
4	500am	203
5	ImpavidArcher	185
6	FreakGenius	184
7	SteveCraftBlocks	165
8	Euclidoris	160
9	Steelynan	154
10	TheShyPig	144
11	beeperbeeper5	132
11	Soplight	132
13	ROY4LE	110
14	joethahobo	100
15	_stets	96
16	Merv__	95
17	Groovy_MoonBird	90
18	ooga47	87
19	xXTheWolfmanXx	86
20	Deodorante	65
21	Akoot_	59
22	Saucepeh	53
23	Creativebuilder2	49
24	Elastiq	46
25	Diavri	45
26	potato292	41
27	Enderxz3	38
28	TheMilkerOfCats	37
29	MustardDrinker	36
30	Bumpy419	34
30	IamCL4SSY	34
32	YungMaki	33
33	wobn	32
33	WyngGoy	32
35	TheDumbHuman	31
36	Parcc	29
37	Mahoose	28
38	striker90333	25
39	Kubelz	23
39	Ajax6	23
39	xDraggin	23
39	xolstoi	23
43	kekhon	21
44	Zaridey	20
44	stellarjay	20
46	Notta	19
46	thewindmillman	19
48	NomadicRobin_	18
49	Werbe	17
49	Tyrannosplart	17
51	KarlKaek	16
51	Celestikka	16
51	Di_infiri	16
54	Malorn_Aetherius	15
55	KingFaenor	14
55	SwooshBoi	14
57	MrMeisterProper	13
58	peach0s	12
58	DarlaMeow	12
58	cum_chalice	12
61	John6970	11
61	burbankbuilder28	11
61	MAns_44	11
61	jnp_gaming	11
65	himak1	10
65	Arceus1975	10
65	censorsheep	10
65	sp00ky_ghost977	10
65	Legendosh	10
65	MadmanRaven	10
71	pintsizedrogue	9
71	Kim_Jong_eel	9
71	MightyWertu	9
74	Huwulling	8
74	aikabot	8
74	Inbefour	8
77	PhantomsGhost_	7
77	diamondgolem35	7
77	G1ldor	7
77	TheDankPlatypus	7
77	Felenov	7
77	wezzzi	7
77	Crumbls	7
77	Nicserso	7
85	NatalieTW	6
85	Mowelan	6
85	RebelAndroid	6
85	eviltunix	6
85	shadowthemonkey	6
85	Voxin2K	6
85	lizardfightclub	6
85	Skippeh	6
93	SmashingPump	5
93	Incinere	5
93	noam464	5
93	Purplehere	5
93	AnnieBathory	5
93	Kouridragon	5
93	Mattesco	5
93	Xclax101	5
93	fluddd	5
93	IdeallyGrey	5
93	BlankityMcBlank	5
93	Segotep999	5
93	Ezekson	5
93	Quotary	5
93	Calbo_	5
93	diggydog67	5
109	NatrixxddxYT	4
109	youhjjhhhjj	4
109	m_be9	4
109	Mobstr	4
109	Maenara	4
109	FreddyFart	4
109	luseis	4
109	C0oOK13M0N5T3R	4
109	wwwwinnebagoooo	4
109	Druid95	4
109	lilguppy	4
109	ZeroKraken	4
121	ECstardust	3
121	SaucyDark	3
121	planc_	3
121	H72l9w	3
121	Koffeeinz	3
121	Blackberry1310	3
121	Jakobo1337	3
121	Tmb1	3
121	Doom_melon	3
121	MisterKanister	3
121	Onennon	3
121	natajimi	3
121	Meatlaugh	3
121	HellsSponge	3
121	vandmanden	3
136	SugarMyNuggets	2
136	Lotheburgh	2
136	Sleek_Storm_721	2
136	tuckerdoodle	2
136	ActualPatbaf	2
136	SpaceGrenadier	2
136	rarrq	2
136	SDMNAEK	2
136	MinttyFressh	2
136	eclipseboi	2
136	Fullut	2
136	CrookedKaptain	2
136	Mewar	2
136	Cellcorgi649	2
136	xxPipperDipperxx	2
136	Karetoko	2
136	yheece	2
136	Hyp3rion_	2
136	Reneedium	2
136	andy_rex	2
136	Rebytre	2
136	jewbacaman	2
136	aec9	2
136	CarryLine	2
136	sufjanlover	2
136	_Bguette_	2
136	SkateboardR6	2
136	Hisiste	2
136	ElectricDragon81	2
136	MineMaster0012	2
136	ediballbearings	2
136	UltraZombie	2
136	SpaceTurtleOX	2
136	smogfrog	2
136	Powowowow	2
136	AdmiralSmoke	2
172	Jovaphobic	1
172	Mr_Byzantine	1
172	Apollo_993	1
172	abramgray	1
172	PizzaJake	1
172	AuroraValkyrie	1
172	6king6colt6	1
172	Hyugo	1
172	ExtraDumb	1
172	Hpdinosaur	1
172	Flores991	1
172	livingdaydreams	1
172	ITDV	1
172	IWorkAtIkea	1
172	Rorrofighter	1
172	Tiberonus	1
172	Leksanda	1
172	zorin123	1
172	thebest_daniela	1
172	Awyrlas	1
172	fade_emerge78823	1
172	emrekn	1
172	PegLegPete93	1
172	SPUDonSTEROIDS	1
172	Kakolbus	1
172	ImDisconnected_	1
172	Chromary	1
172	Rumpletaezer	1
172	WET_WET_WET	1
172	Zythose	1
172	wTXop	1
172	_8man	1
172	Unjike	1
172	oscminus	1
172	Chuvacevedo	1
172	epiksk8erduck	1
172	MousePlays	1
172	ougstur	1
172	thgrocks	1
172	Luminad3	1
172	kubinek69	1
172	Romeom175	1
172	ReSynced	1
172	_Crimson_Legate	1
172	TheSeismicDuck	1
172	DTwenty	1
172	_Hayt	1
172	XxCookiequeenxX	1
172	fkGrim	1
172	MinuteMira	1
172	JESS_THE_RERE	1
172	Manaateee	1
172	Dakar_	1
172	JureJurko	1
172	claivin	1
172	ReflexCode	1
172	Blu3beast	1
172	Nycteus_	1
172	Typadopoulos	1
172	ItsDeltaMC	1
172	SexcMf	1
172	StarCookiees_	1
172	Eraxa	1
172	CACTUSLAD	1
172	starbits140	1
172	Spenduh	1
172	xzvu	1
172	lcvezra	1
172	_TCARREIRA_	1
172	Luigipunch989	1
172	Logain42	1
172	DennyKai	1
172	jcool7	1
172	Kferno	1
172	Hermanni__	1
172	Kubeusz2010	1
172	EcksD	1
172	little_dUki	1
172	FGamerJ	1
172	TechnoNinja64	1
172	Jimb0nat0r	1
