rank	username	minecraft:picked_up/minecraft:chorus_fruit
1	lordpipe	25098
2	Smoke____	15769
3	m_be9	8741
4	MilleGrug	8084
5	thewindmillman	7277
6	PigDab	5723
7	ToastedGamingYT	3542
8	6king6colt6	3018
9	xxPipperDipperxx	2747
10	UrbanPlanner1978	2729
11	beeperbeeper5	2459
12	TheEnderman548	2146
13	ProbsNotNova	1931
14	BlancoFlaco	1873
15	TheShyPig	1659
16	PhantomsGhost_	1599
17	Blaiku	1598
18	Hyp3rion_	1403
19	HellsSponge	1334
20	vandmanden	1266
21	LexMakesHistory	1163
22	Freak_Genius	1156
23	brofrickcheaters	1109
24	ProfessorBee	1014
25	Spacewardharpy7	951
26	sp00ky_ghost977	843
27	noam464	789
28	MakeHistory157	770
29	ZaneABrain	692
30	El_Jalapeno	661
31	fanofbands101	652
32	Jiminie	619
33	ProbablyNick	601
34	501g	562
35	Fullut	551
35	PlzNoBM	551
37	masskedman	530
37	chipklip	530
39	eitanzaki	528
40	pintsizedrogue	508
41	claivin	454
42	Frozil12	426
43	Arceus1975	425
44	Alteriity	415
45	Katthaj	398
46	bloodbiter	396
47	TechnoNinja64	379
48	Kubeusz2010	375
49	diggydog67	373
50	Ezekson	351
51	SellyZ	337
52	pixelviolin	323
53	loveseeker	314
54	Kowcio_	295
55	SaucyDark	280
56	Nicserso	275
57	YungMaki	272
58	Blu3beast	269
59	Marbz_	265
60	LilLizardWizard	261
61	Kijiki	260
62	Ailmast	259
63	titanlax	258
64	surfinggiraffejp	257
65	jimintyy	249
66	Hermanni__	243
67	Blackberry1310	242
68	kekhon	234
69	12Magner05	226
69	Zoeyfortnite	226
71	Mahoose	225
72	awesomeoneme	210
73	gabriels543	208
74	AlphaWolfPlaysMC	199
75	MyNameIsJobo	198
75	Jackattack53	198
77	__TheNorseMan__	189
78	seramalen	183
78	EcksD	183
80	crying_wolf_13	182
81	_Bguette_	178
82	striker90333	172
83	lcvezra	169
84	Historical_Sand	168
85	Xclax101	167
86	set67	164
86	Groundler	164
88	Legendosh	161
89	_k2x	160
90	T045RTY	158
90	Prodiginus	158
92	Euclidoris	152
93	Eczbek	149
94	SuperPooch06	147
94	ElectricDragon81	147
96	Eraxa	143
97	Airem_Core	142
98	Di_infiri	141
99	Mewar	136
99	RobotMinion101	136
101	bigstankyy	135
102	BodaciousCake	134
103	Dedalus36	133
104	2blox	132
105	_Karmaa	131
106	KG1999	127
107	AltnumberF4	124
108	AlexxO_o	123
109	UncreativeArtist	122
110	Wowful	121
111	ooga47	117
112	Paintz	110
113	Hisiste	109
114	Kakolbus	108
115	Windo_licker	105
115	_naturell	105
117	Werbe	104
118	TheBiggestFeller	102
118	Shogunite	102
118	Spenduh	102
121	SingedBread	100
122	PlasticOtari	97
123	Jij0	94
124	JuuustYeet	93
124	__tomato	93
126	Bobby808	92
127	Akoot_	91
128	Nagasaki_Riku	90
128	kinas45y5	90
130	MattieHD	89
130	Ender_Souls	89
130	geekbird	89
133	NameGenerat0r	86
134	Iagoku	85
135	TheTrueClipse	84
136	Groovy_MoonBird	83
137	_Yonk_	82
138	rarrq	81
138	Inbefour	81
140	Merv__	79
140	Ecplosive	79
142	Incinere	78
142	xPixelRainx	78
142	JayToe	78
145	Dogcorn69420	77
146	shyshyannne	76
147	Rasmanden	75
148	fluddd	74
149	whoaluv	73
149	The11thDoctor	73
151	KarlKaek	72
151	zorin123	72
151	fkGrim	72
154	dabloons	71
154	Skippeh	71
156	4774	70
156	XxCookiequeenxX	70
156	Dusk_95	70
159	redikul	69
159	Xalithia	69
159	ItsJWolff	69
162	500am	68
162	SammiWolfGirl	68
162	Winston_Ingram	68
165	Motsaro	66
165	DTwenty	66
165	Chuglyfe	66
168	thescout7	65
169	Wooptey	64
169	djancak	64
171	lillips	63
172	peach0s	62
172	NotMeowMix	62
172	_TCARREIRA_	62
175	MovingFish7	61
176	Fuhrer_Teemo	60
176	PortlyPete69	60
178	wezzzi	57
179	ehunt54	56
