rank	username	minecraft:picked_up/minecraft:oak_sign
1	EveryonesUncle	1742
2	HellsSponge	1298
3	TheShyPig	1127
4	Freak_Genius	844
5	kekhon	807
6	Legendosh	653
7	beeperbeeper5	642
8	thescout7	572
9	Di_infiri	474
10	joethahobo	473
11	Mahoose	455
12	CrateOfBoxes	432
13	eitanzaki	407
14	PlasticOtari	404
15	El_Jalapeno	381
16	_Dean_123	362
17	Blaiku	353
18	Hermanni__	348
19	Onennon	347
20	noam464	345
21	MattieHD	335
22	pintsizedrogue	324
23	Lez_	315
24	Marbz_	300
25	Xclax101	292
26	PhantomsGhost_	291
27	Blackberry1310	289
28	TechnoNinja64	285
29	Frozil12	282
30	lcvezra	266
31	Akoot_	259
32	ShedJr_	257
32	lordpipe	257
34	ROY4LE	245
35	SlayerCrypto	243
36	YungMaki	231
37	Historical_Sand	226
38	Groundler	224
39	Smoke____	214
40	SteveCraftBlocks	191
41	Snowflowe	187
42	ApophisNova	183
42	MyNamaSheff	183
44	MovingFish7	181
45	WyngGoy	180
46	Mr_Byzantine	176
47	xxPipperDipperxx	168
48	Fullut	165
48	Rumpletaezer	165
48	Truckoss	165
51	TheSecondLord	153
52	mwrty	150
52	Soplight	150
54	6king6colt6	149
55	EcksD	148
56	_k2x	146
57	Merv__	144
58	Blu3beast	140
59	Spacewardharpy7	133
60	Inbefour	132
60	__tomato	132
62	Njensen7	131
63	Werbe	130
63	Racengan	130
65	MightyWertu	128
66	Sheldor097	122
67	Arceus1975	121
68	EMC_	118
68	Rebytre	118
70	Lord_Jord	117
71	Kubeusz2010	116
72	cichy096	114
72	Enderslayerxz3	114
74	m_be9	113
74	CharlieButt	113
76	BumbleBeever	111
76	BlankityMcBlank	111
78	Hyp3rion_	110
79	500am	109
80	ImpavidArcher	104
80	Ssor69	104
80	Eraxa	104
83	_Nuf	101
84	bloodbiter	100
84	StinkyDiplomat	100
86	Strangemonkey71	99
87	Warlord324	97
88	_Karmaa	96
89	SkateboardR6	94
90	Jiminie	93
91	NomadicRobin_	91
92	Jackattack53	87
93	youhjjhhhjj	84
94	Bumpy419	81
94	The_slideV3	81
96	Segotep999	80
97	claivin	79
98	fffMike	77
99	Menthas	76
99	fluddd	76
101	BobDeBouwer1337	75
101	Awyrlas	75
101	jcool7	75
104	oreee	74
105	Nicky19	72
106	rarrq	71
106	Quotary	71
106	Zoeyfortnite	71
109	kinas45y5	68
110	Groovy_MoonBird	67
111	Guillemet	66
111	2Stout	66
111	Skylord_Luke	66
111	Vorlice	66
111	CSG_Haru	66
116	ivorico	65
116	MakeHistory157	65
118	Zaridey	64
118	Spenduh	64
120	alderban107	63
121	Smashic	62
122	p4lp	60
122	SammiWolfGirl	60
124	H72l9w	59
124	egglapras	59
124	Paintz	59
124	vandmanden	59
128	lizardfightclub	56
129	Incinere	55
129	ooga47	55
129	Ezekson	55
132	yaboo88	54
132	sxc_	54
134	Kyrum2169	53
135	Frxnkz	52
135	epiksk8erduck	52
135	AlphaWolfPlaysMC	52
135	stahouo	52
139	JoCoLi	51
139	Nicserso	51
139	00000000-0000-0000-0009-01f898304150	51
142	The11thDoctor	50
142	Nycteus_	50
144	Maenara	49
144	censorsheep	49
146	Alteriity	48
146	lillips	48
146	jnp_gaming	48
149	WET_WET_WET	47
149	calamariclam_I	47
151	DarlaMeow	46
152	teslawolf38	45
152	NotMeanttoChange	45
152	loveseeker	45
152	wezzzi	45
152	MilleGrug	45
152	xorompole	45
158	ewsophie	44
158	Z3braYTIL	44
160	h2p_emrld	43
161	TheDankPlatypus	42
161	Steven1282598	42
161	sadvavilloso	42
164	Quincannon	41
164	iHuntWeeaboos	41
164	UrbanPlanner1978	41
164	The_SlideV5	41
168	chipklip	40
169	G1ldor	39
169	RobotMinion101	39
169	CruncyIsTaken	39
169	CalebDHawk	39
173	Sleek_Storm_721	38
173	Malorn_Aetherius	38
173	gcaisawesome	38
173	Luigipunch989	38
173	oxfordschool	38
178	T045RTY	37
178	PigDab	37
180	_Buffo	36
181	Zythose	35
181	Sral7	35
183	Dedalus36	34
183	titanlax	34
183	Covalents	34
183	fred870d	34
183	Sky_light_KING	34
183	_Bguette_	34
183	Th6masss	34
183	Skippeh	34
191	himak1	33
191	prizm_	33
191	NameGenerat0r	33
191	Jij0	33
191	Shin69	33
196	Zippyzam	32
196	eiC_	32
196	SuperPooch06	32
196	bpmm	32
196	Fuad_R	32
201	_naturell	31
202	weezygator	30
202	Huwulling	30
202	awesomeoneme	30
202	Kowcio_	30
206	livingdaydreams	29
206	MSK__	29
206	burbankbuilder28	29
206	audiocracked	29
206	Steelynan	29
206	RoboTramp7865	29
212	slkiey	28
212	ayamefag	28
212	Kferno	28
212	Vellu21	28
212	EcksDofficial	28
217	_Virify_	27
217	bigstankyy	27
217	CoffeeNoir	27
217	AvaRosey	27
217	PortlyPete69	27
217	PlzNoBM	27
223	Drlzyy	26
223	Ilinca_Io	26
223	TooManyDuck	26
223	FirsTimeGamingTV	26
223	emrekn	26
223	Xalithia	26
223	Karetoko	26
223	AJplaysMC_	26
223	tyraxxx	26
223	Lord_Zacler	26
223	Gryglu583	26
223	IAmTheWalrus910	26
235	Myszoaz	25
235	purpolepickle	25
235	Corbsman	25
235	GoofyBread	25
239	RatatJuice	24
239	Swexti	24
239	ProfessorBee	24
239	seramalen	24
239	iElijah	24
239	mawileite	24
239	anbbang	24
246	TableTim	23
246	Skomo	23
246	yulgur1	23
246	DarkS0L	23
250	SpaceGrenadier	22
250	MrExplorer	22
250	Tmb1	22
250	XboxPanda	22
250	gabriels543	22
250	Rasmanden	22
250	Fuhrer_Teemo	22
250	Deerfoot	22
250	LordSpeed37	22
250	_TCARREIRA_	22
250	laron58	22
250	diggydog67	22
262	eclipseboi	21
262	redikul	21
262	r123moore	21
262	ILoveCarrot	21
262	natajimi	21
262	ChocolatePepsi	21
262	Cocoamallows	21
262	hdtpm	21
262	yatsuta	21
262	Eczbek	21
262	Powowowow	21
273	jimbo61101jr	20
273	dongli	20
273	Auseawesome	20
273	Stiar	20
273	gustarbite	20
273	cog	20
273	33sudo	20
280	Hyugo	19
280	thewindmillman	19
280	stickwhiskers	19
280	TTNG	19
280	Leyna3	19
280	LexMakesHistory	19
280	Fildyr	19
287	Bad_At_Names_Guy	18
287	MrMattyPatt	18
287	Comma__	18
287	AdvertisingMerc	18
287	ItzYaBoiPicard	18
287	DermeinUser	18
287	CarltheCuck	18
287	CaptainDeadBread	18
287	Kouridragon	18
287	Soap_Bender	18
287	EtherealEspresso	18
287	gaming4Naming	18
287	KingMatthew506	18
287	BreadBacon	18
