rank	username	minecraft:picked_up/minecraft:smooth_stone
1	thewindmillman	237864
2	noam464	69812
3	Hyp3rion_	54357
4	AdmiralSmoke	13262
5	Spacewardharpy7	12621
6	EveryonesUncle	9292
7	Frozil20	8747
8	Kakolbus	7885
9	Lutres_	7559
10	Ze1ig	6332
11	Ezekson	6228
12	thescout7	5660
13	TheMiddayMoon	5225
14	rarrq	3631
15	MilleGrug	3581
16	HellsSponge	3366
17	eitanzaki	3316
18	Historical_Sand	2925
19	Quotary	2702
20	T045RTY	2619
21	m_be9	2429
22	sp00ky_ghost977	2162
23	EngagedGrub41	1887
24	ConnorDanky_	1858
25	KingMatthew506	1708
26	EcksD	1665
27	Mr_Byzantine	1654
28	fffMike	1648
29	anbbang	1578
30	PlasticOtari	1571
31	MyNameIsJobo	1547
32	Jovaphobic	1513
33	YungMaki	1507
34	Truckoss	1436
35	Stiar	1419
36	Winklepicker279	1325
37	fanofbands101	1293
38	RebelAndroid	1289
39	Cowison	1219
40	Snowflowe	1212
41	_3Stump_	1192
42	500am	1191
43	TheShyPig	1167
43	mihimihimihi	1167
45	TheSecondLord	1070
46	Steelynan	1022
47	xolstoi	996
48	titanlax	983
49	Kowcio_	961
50	set67	900
51	joethahobo	886
52	Njensen7	856
53	Inbefour	809
54	IamCL4SSY	793
55	El_Jalapeno	787
56	_Bguette_	771
57	Dreamdbr14	768
58	Kferno	717
59	FreakGenius	694
60	StinkyDiplomat	688
61	Comma__	678
61	Lord_Jord	678
63	Lez_	675
64	Megarboh	644
65	Blaiku	639
66	ShedJr_	614
66	VentiHilton	614
68	mariominejedi	606
69	Darkgon	590
70	Jimi7hits	581
71	Manaateee	573
72	ImpavidArcher	570
73	Skylord_Luke	566
74	Bandito_Roamer	555
75	Natty	554
76	DanTheBuilderino	553
77	Racengan	530
78	Airem_Core	514
79	Nicserso	509
80	weabis	502
81	MightyWertu	497
82	Blu3beast	495
83	Shogunite	488
84	Strangemonkey71	479
85	Mahoose	477
86	tlustyCZARNY	476
87	jnp_gaming	474
88	Fuhrer_Teemo	461
89	ApophisNova	437
89	MyNamaSheff	437
91	Xclax101	417
92	Jackattack53	411
93	Groovy_MoonBird	391
94	Blackberry1310	387
95	Sral7	383
96	lorpus	382
97	Enderxz3	379
98	Kynigito	377
99	FishyBoy3811	374
100	Groundler	367
101	kekhon	362
102	NameGenerat0r	357
102	lordpipe	357
104	Neps1	354
105	pixelviolin	352
106	Crowman1	349
107	F_Uhre	341
108	WyngGoy	340
109	Spenduh	335
110	Onennon	334
111	Legendosh	331
112	ZeroKraken	327
113	EMC_	318
114	_Karmaa	308
115	CalebDHawk	306
116	himak1	305
117	Marbz_	291
118	xzvu	275
119	Zythose	274
120	MovingFish7	272
121	PigDab	269
122	Ailmast	265
122	ROY4LE	265
124	Ze_BaronKrigler	264
125	__tomato	263
125	Sheldor097	263
127	Di_infiri	256
128	paranoid_plant	254
128	Quincannon	254
