rank	username	minecraft:picked_up/minecraft:white_carpet
1	noam464	82257
2	EcksD	41071
3	HellsSponge	7191
4	Di_infiri	5072
5	Lez_	4530
6	Bumpy419	4264
7	thewindmillman	3468
8	joethahobo	3384
9	eitanzaki	3059
10	YungMaki	2742
11	FreakGenius	2607
12	fffMike	2304
13	jnp_gaming	2170
14	beeperbeeper5	2044
15	SoosAmongus	1888
16	TheShyPig	1313
17	Kowcio_	1304
18	Snowflowe	1236
19	Swexti	1126
20	thescout7	1037
21	kekhon	994
22	Njensen7	955
23	Huwulling	824
24	m_be9	822
25	Mahoose	764
26	Legendosh	747
27	Kubeusz2010	725
28	Hermanni__	686
29	Frozil20	623
30	Eczbek	610
31	Ezekson	606
32	Werbe	581
33	ProfessorBee	540
34	Blaiku	535
35	ayamefag	533
36	lillips	444
37	PlasticOtari	408
38	Kakolbus	395
38	PigDab	395
40	livingdaydreams	384
41	_Mythic____	361
42	AdmiralSmoke	358
43	MightyWertu	357
44	lordpipe	340
45	Blackberry1310	313
46	IamCL4SSY	311
47	M_Patata	305
47	Manaateee	305
49	MasterNueve	304
50	CattSoup	300
51	anbbang	282
52	luseis	275
53	MaGro2010	273
54	Crowman1	266
55	Creativebuilder2	243
56	Spacewardharpy7	239
57	pintsizedrogue	234
58	ApophisNova	214
58	MyNamaSheff	214
60	Quotary	212
61	whoaluv	206
62	Merv__	193
63	Lord_Jord	188
63	NameGenerat0r	188
65	Spenduh	178
66	Smashic	171
66	Groundler	171
68	Hyp3rion_	163
69	rarrq	147
69	Nicky19	147
71	BlankityMcBlank	143
72	xxPipperDipperxx	142
72	Enderxz3	142
74	Akoot_	131
74	NoChumpChange	131
76	titanlax	125
76	bloodbiter	125
78	xolstoi	122
79	diamondgolem35	121
80	r123moore	117
81	Steelynan	115
82	ImpavidArcher	113
83	Prismyst	109
84	Leyna3	104
84	diggydog67	104
86	TheDankPlatypus	103
86	Jackattack53	103
88	mwrty	102
88	AlexxO_o	102
90	ROY4LE	101
91	The11thDoctor	97
92	legal_tax_evader	96
93	fr0stss	95
93	500am	95
95	Warlord324	93
96	_Bguette_	92
97	TechnoNinja64	90
98	__tomato	82
99	Kubelz	78
100	Eraxa	73
101	Mattesco	72
101	cedric72	72
103	MAns_44	70
104	fluddd	69
105	TheSecondLord	67
105	ScootOfBoot	67
105	Onennon	67
108	420BreadLizard	66
109	NotMeanttoChange	65
110	sp00ky_ghost977	64
110	stavgod	64
112	NomadicRobin_	61
113	Rumpletaezer	60
113	Fildyr	60
115	SingedBread	58
116	hm947	56
116	Segotep999	56
118	Touched_Bread	55
118	MovingFish7	55
120	EveryonesUncle	54
120	lcvezra	54
122	AstreaTSS	51
123	Hpdinosaur	50
124	Groovy_MoonBird	48
124	DolphinLaugh	48
126	SmashingPump	47
126	AJplaysMC_	47
128	CLG_Kata	45
129	MinttyFressh	44
129	_Dean_123	44
129	Fullut	44
129	Gryglu583	44
133	Xalithia	43
133	Quaintster	43
135	CoffeeNoir	42
135	MattieHD	42
135	MustaLoordi	42
135	Soplight	42
135	FormulaNewt3627	42
140	Meme25327	41
140	yheece	41
142	ougstur	40
142	Dakar_	40
144	Nycteus_	38
144	Jimb0nat0r	38
146	FirsTimeGamingTV	37
147	Swalt	36
147	dopplexd	36
149	jimintyy	35
149	Kyrum2169	35
151	Reamdin	34
151	himak1	34
151	killmeiamtraitor	34
151	cichy096	34
155	Inchef	31
155	ConnorDanky_	31
157	Natty	30
157	impossibleteapot	30
159	RoskobiOne	29
159	El_Jalapeno	29
161	Da_Boss_Rani	28
161	xorompole	28
163	Lord_Zacler	27
163	Dogcorn69420	27
163	Sral7	27
163	00000000-0000-0000-0009-01ff0c3e5e4f	27
167	ITDV	25
168	RebelAndroid	24
168	12Magner05	24
168	The_slideV3	24
171	PlzNoBM	23
171	AltnumberF4	23
173	Jakobo1337	22
173	PlasmaElk	22
173	lorpus	22
176	PhantomsGhost_	21
176	Alteriity	21
176	oscminus	21
176	RobotMinion101	21
176	OfficerAnvil	21
181	AuroraValkyrie	20
181	6king6colt6	20
181	KarlKaek	20
181	elmer1234	20
181	eiC_	20
181	_Boipl_	20
181	claivin	20
181	Blu3beast	20
189	Bandito_Roamer	19
189	Krowuss	19
189	Skylord_Luke	19
189	Celeste_121	19
189	jcool7	19
194	Harotio	18
194	ECstardust	18
