rank	username	minecraft:picked_up/minecraft:stripped_spruce_log
1	Blackberry1310	2629
2	Inchef	2127
3	PlasticOtari	1654
4	EcksDofficial	1416
5	EMC_	1400
6	kekhon	1313
7	joethahobo	1251
8	Touched_Bread	1214
9	rarrq	1206
10	Historical_Sand	1169
11	Mahoose	1155
12	pintsizedrogue	1113
13	MyNameIsJobo	933
14	Eraxa	829
15	Slapface522	730
16	KarlKaek	714
17	BlancoFlaco	712
18	Kowcio_	706
19	Malorn_Aetherius	621
20	Merv__	617
21	set67	551
22	xxPipperDipperxx	537
23	500am	522
24	fkGrim	506
25	__Fanda__	497
26	Kakolbus	492
27	_Virify_	445
28	JESS_THE_RERE	427
29	TheShyPig	411
30	Soplight	395
31	beeperbeeper5	386
32	EveryonesUncle	365
33	WYFYoyo	355
34	AlexxO_o	349
35	ImpavidArcher	342
36	Akoot_	327
36	Groundler	327
38	Enderslayerxz3	326
39	HollieDaNugget	320
40	Deathkob	302
41	cowgirlkasia	296
42	Natty	276
43	G1ldor	260
44	Lutres_Torane	252
45	Werbe	249
46	Ze_BaronKrigler	241
47	Ezekson	236
48	Legendosh	228
49	Fullut	210
50	Sleek_Storm_721	203
50	brofrickcheaters	203
52	NieToksikpl	197
53	Sky_light_KING	188
54	NotKaden_	180
54	CheifJumbo	180
56	Frozil12	166
57	Inbefour	163
58	Nicserso	155
59	XxCookiequeenxX	154
59	CalebDHawk	154
61	Sleepy_Time_	150
61	Jiminie	150
63	Harotio	146
64	ApophisNova	144
64	MyNamaSheff	144
66	SvenskaHugo	143
67	Smashic	142
68	q_wq	137
69	Steelynan	136
70	Rebytre	134
71	AltnumberF4	128
72	Kkanot	126
73	orxngejuice	124
73	fw3xywashere	124
75	EcksD	118
76	noam464	114
76	Chromary	114
78	Jonte0599	113
79	John6970	111
80	Segotep999	109
81	M_Patata	107
82	diamondgolem35	106
83	lordpipe	103
84	Di_infiri	101
85	thescout7	98
85	Fuad_R	98
87	anbbang	96
88	Shiirazuku	92
89	Drlzyy	91
89	ogoa	91
91	Dusk_95	89
92	MasterNueve	87
93	Meatlaugh	86
94	JingleLizi	85
95	_Dean_123	82
96	m_be9	80
97	CaptainSteve345	79
98	HyperCave	78
98	Lord_Jord	78
100	MyNameIsDakar	74
100	Quotary	74
102	privatemeekly	73
103	eitanzaki	72
104	Zythose	69
105	groofles	67
106	claivin	65
107	DinoDoctor_	64
108	LexMakesHistory	62
109	Felenov	56
110	_Karmaa	54
111	prizm_	52
112	Jackattack53	51
112	NameGenerat0r	51
112	Smoke____	51
115	PegLegPete93	49
115	lcvezra	49
117	SammiWolfGirl	47
118	RodSerlingCringe	46
118	Spacewardharpy7	46
120	rachcl	44
120	Zlatovlas	44
122	TheSecondLord	43
122	Soap_Bender	43
124	12Magner05	41
124	valkam13	41
126	Racengan	40
126	halfbakedlasagna	40
128	Poppy235	39
129	SlayerCrypto	38
129	oxfordschool	38
131	CoffeeNoir	36
131	BlueZabu	36
131	Freak_Genius	36
134	Alteriity	35
134	Rumpletaezer	35
136	sp00ky_ghost977	34
136	__tomato	34
138	Onennon	33
138	H_Biscuit	33
138	2blox	33
141	Mattesco	32
142	07shiny	31
143	Arceus1975	29
