rank	username	minecraft:picked_up/minecraft:spruce_button
1	noam464	5449
2	Kyrum2169	609
3	Onennon	537
4	Di_infiri	394
5	Groovy_MoonBird	381
6	xzvu	343
7	EcksD	329
8	Ezekson	265
9	Kakolbus	235
10	Soplight	209
11	Legendosh	166
12	Mahoose	153
13	TheSecondLord	142
14	HellsSponge	134
15	FreakGenius	103
16	eitanzaki	99
17	Snowflowe	86
18	Blaiku	85
19	Malorn_Aetherius	76
20	WET_WET_WET	67
21	KingFaenor	66
21	Hyp3rion_	66
23	kekhon	64
24	mwrty	62
24	EveryonesUncle	62
26	beeperbeeper5	58
27	luseis	53
28	claivin	52
29	Arceus1975	51
30	Cowison	47
31	pintsizedrogue	45
32	Smoke____	42
33	ApophisNova	39
33	MyNamaSheff	39
35	diamondgolem35	38
35	MyNameIsDakar	38
37	RatatJuice	37
37	Fullut	37
39	Winklepicker279	36
40	Cryptacity	34
41	EMC_	33
41	thescout7	33
43	Merv__	30
43	xolstoi	30
45	Rebytre	29
45	IamCL4SSY	29
45	EngagedGrub41	29
48	Kynigito	28
49	xxPipperDipperxx	27
50	Comma__	26
51	_Boipl_	25
52	Meatlaugh	23
53	mihimihimihi	22
53	Lord_Doob	22
55	500am	20
55	Biites	20
57	T045RTY	19
57	Blackberry1310	19
57	m_be9	19
57	Chromary	19
61	Eraxa	18
62	KarlKaek	17
62	Jackattack53	17
62	Warlord324	17
65	Frozil20	16
65	Drewen24	16
65	valkam13	16
68	fkGrim	15
69	Akoot_	14
69	UCP_TheKingK	14
69	SammiWolfGirl	14
72	PhantomsGhost_	12
72	rarrq	12
72	NebulousBadger	12
72	Skippeh	12
76	H72l9w	11
77	Crowman1	10
77	Adlair	10
77	Deathkob	10
77	wwwwinnebagoooo	10
81	ImpavidArcher	9
81	Stiar	9
81	mimbo1211	9
81	AuroraSkies	9
81	ese_wn_po	9
81	jnp_gaming	9
81	PlasticOtari	9
88	Inbefour	8
88	Kowcio_	8
90	squigglybones	7
90	SquadMonster	7
90	Inchef	7
90	M_Patata	7
90	Mattesco	7
90	MasterNueve	7
90	obzii	7
90	fffMike	7
90	ConnorDanky_	7
90	CattSoup	7
90	Jimb0nat0r	7
101	H0UNDFRMH3LL	6
101	bloodbiter	6
101	Ardennes	6
101	TheShyPig	6
101	Xclax101	6
101	Luigipunch989	6
101	Enderxz3	6
108	MunkaKris	5
108	MuffinManzz	5
108	jessewegottacook	5
108	olliebollie48	5
108	MyNameIsJobo	5
108	grislgrobl	5
108	Voxin2K	5
108	Smussa	5
108	AlphaWolfPlaysMC	5
108	El_Jalapeno	5
108	MakeHistory157	5
108	YungMaki	5
120	Jovaphobic	4
120	Esme_1	4
120	Historical_Sand	4
120	Swexti	4
120	Enigma0251	4
120	Jokerman369	4
120	BlueZabu	4
120	Werbe	4
120	Jimi7hits	4
120	The_Quack_Dealer	4
120	RoofTyler	4
120	Fuad_R	4
120	lordpipe	4
120	Soul_Atreus	4
120	SvenskaHugo	4
120	KujikawaRisechi	4
120	ProbsNotNova	4
120	Soffbord	4
120	erkada	4
120	Lord_Lollo	4
120	HesDemonPants	4
141	Mr_Byzantine	3
141	PazinGaming	3
141	SmashingPump	3
141	TooManyDuck	3
141	Ssor69	3
141	shyshyannne	3
141	_Dean_123	3
141	slkiey	3
141	John6970	3
141	burbankbuilder28	3
141	PigDab	3
141	thgrocks	3
141	starbits140	3
141	lcvezra	3
141	MilleGrug	3
141	Nicserso	3
141	TechnoNinja64	3
158	Ailmast	2
158	teslawolf38	2
158	6king6colt6	2
158	I_Am_Mushkin	2
158	Tolhart	2
158	Flores991	2
158	Smashic	2
158	NotMeanttoChange	2
158	stickymonkeyboy	2
158	Noah_Bez	2
158	legal_tax_evader	2
158	Azmodan_246	2
158	Truckoss	2
158	wobn	2
158	Karbl	2
158	The_slideV3	2
158	Blu3beast	2
158	Racengan	2
158	SkateboardR6	2
158	NotMeowMix	2
158	somegirl12_	2
158	Fizznut909	2
158	ThisUserIsStump	2
158	Steelynan	2
158	anbbang	2
158	Quotary	2
158	The_SlideV5	2
158	Jordan_R	2
158	Umbreon900	2
187	AikoShayz	1
187	jspwn	1
187	SlowMoNinja1994	1
187	Tommhh	1
187	Sleek_Storm_721	1
187	AverageGorg	1
187	hm947	1
187	_themselves	1
187	NieToksikpl	1
187	I_Moose	1
187	SteveCraftBlocks	1
187	Kkanot	1
187	lorpus	1
187	Motsaro	1
187	Patwannabegamer	1
187	VanJosh	1
187	Covalents	1
187	NotoriousNina	1
187	PeteO1995	1
187	SuperPooch06	1
187	Rumpletaezer	1
187	corpsecity	1
187	Donutt	1
187	RobotMinion101	1
187	DeeDeeThonk	1
187	epiksk8erduck	1
187	Shavrin	1
187	DC_XII	1
187	Ender_Souls	1
187	Cattoh	1
187	Maenara	1
187	NomadicRobin_	1
187	JoeSaysBingBong	1
187	XxCookiequeenxX	1
187	Shogunite	1
187	weabis	1
187	EfficientC52	1
187	fluddd	1
187	Spacewardharpy7	1
187	yatsuta	1
187	BlankityMcBlank	1
187	gusstationwerker	1
187	Sheldor097	1
187	Hermanni__	1
187	AltnumberF4	1
187	bladeefan2009	1
187	Zoeyfortnite	1
187	Teebone15	1
