rank	username	minecraft:picked_up/minecraft:iron_helmet
1	masskedman	61
2	Freak_Genius	60
3	Di_infiri	50
4	thescout7	43
5	Blaiku	34
6	Spacewardharpy7	33
7	TheSecondLord	31
8	cichy096	30
8	PlasticOtari	30
10	diamondgolem35	28
11	jnp_gaming	27
11	Smoke____	27
13	pintsizedrogue	26
14	Frozil20	23
14	Hyp3rion_	23
14	Akoot_	23
17	Mahoose	22
17	beeperbeeper5	22
17	noam464	22
20	kekhon	21
20	Legendosh	21
22	Fullut	18
22	thewindmillman	18
24	rarrq	17
24	Werbe	17
26	EveryonesUncle	16
26	Eraxa	16
26	oxfordschool	16
29	joethahobo	15
29	Rebytre	15
31	Prismyst	14
31	ShedJr_	14
31	Chromary	14
31	TheShyPig	14
35	Drlzyy	13
35	eitanzaki	13
35	Blackberry1310	13
35	Kakolbus	13
35	mariominejedi	13
35	El_Jalapeno	13
35	YungMaki	13
35	Enderslayerxz3	13
43	Groundler	12
43	lcvezra	12
43	Sral7	12
46	PhantomsGhost_	11
46	Inbefour	11
46	lillips	11
46	DemTechAlpha	11
46	HellsSponge	11
46	fffMike	11
46	Kubeusz2010	11
53	Jovaphobic	10
53	MattieHD	10
53	_Dean_123	10
53	set67	10
53	MonitorLizards	10
53	chipklip	10
59	6king6colt6	9
59	emrekn	9
59	Bumpy419	9
59	Soplight	9
59	Lowjinx	9
64	EMC_	8
64	picardred	8
64	MyNameIsJobo	8
64	TheTrueClipse	8
64	MightyWertu	8
64	PortlyPete69	8
64	laron58	8
64	Powowowow	8
64	TechnoNinja64	8
73	ImpavidArcher	7
73	jacxhadow	7
73	Mewar	7
73	ROY4LE	7
73	Lord_Jord	7
73	DanTheBuilderino	7
73	Blu3beast	7
73	Racengan	7
73	Hisiste	7
73	Spenduh	7
73	stahouo	7
73	ProbsNotNova	7
73	Ezekson	7
86	tramizu	6
86	Euclidoris	6
86	mwrty	6
86	xxPipperDipperxx	6
86	burbankbuilder28	6
86	Solar_Power	6
86	Skylord_Luke	6
86	ClemenPine	6
86	lizardfightclub	6
86	yulgur1	6
86	GravitySaint	6
86	monky_irl	6
86	AssFullaCum	6
86	__tomato	6
86	obzii	6
86	Skippeh	6
86	vandmanden	6
86	kinas45y5	6
86	Zoeyfortnite	6
86	EcksDofficial	6
106	Mr_Byzantine	5
106	Cowison	5
106	I_Am_Mushkin	5
106	12Magner05	5
106	_Nuf	5
106	Smashic	5
106	himak1	5
106	Xalithia	5
106	platinumzero	5
106	Jackattack53	5
106	Arceus1975	5
106	GreedyFern8581	5
106	wezzzi	5
106	Jiminie	5
106	Deodorante	5
106	sufjanlover	5
106	NameGenerat0r	5
106	_czarny	5
106	Ze_BaronKrigler	5
106	hdtpm	5
106	djancak	5
106	EcksD	5
106	00000000-0000-0000-0009-01f898304150	5
129	Bandito_Roamer	4
129	nataliecool	4
129	teslawolf38	4
129	bigstankyy	4
129	Myszoaz	4
129	H72l9w	4
129	bloodbiter	4
129	m_be9	4
129	MinttyFressh	4
129	DAD_1996	4
129	_Bguette_	4
129	Karbl	4
129	Xclax101	4
129	Toriankel	4
129	SkateboardR6	4
129	MovingFish7	4
129	Airem_Core	4
129	Leithz6	4
129	SexcMf	4
129	Kyrum2169	4
129	starbits140	4
129	tsitrawhy	4
129	CalebDHawk	4
129	Steelynan	4
129	Wolverine4302	4
129	HesDemonPants	4
155	JohnnyFyes	3
155	fanofbands101	3
155	strongman951753	3
155	dimondking777	3
155	Merv__	3
155	_Razar	3
155	T045RTY	3
155	KomputerDude	3
155	awesomeoneme	3
155	Jackster03	3
155	Michaelelelelele	3
155	Stynxy	3
155	Rich_Kat	3
155	Kkanot	3
155	Scathra	3
155	IforgotCS_Source	3
155	LotusProject	3
155	breadbowlgamer	3
155	WET_WET_WET	3
155	NarwhalTaco	3
155	Corbsman	3
