rank	username	minecraft:picked_up/minecraft:light_blue_concrete
1	lordpipe	5067
2	RoboTramp7865	4069
3	Groovy_MoonBird	1895
4	TheSecondLord	1789
5	500am	1589
6	beeperbeeper5	1328
7	Merv__	1300
8	MattieHD	1152
9	YungMaki	1133
10	lcvezra	830
11	pintsizedrogue	770
12	Frozil20	705
13	Onennon	674
14	Hoid_the_Roamer	641
15	Blackberry1310	613
16	Enderxz3	604
17	noam464	586
18	Legendosh	584
19	Kowcio_	431
20	6king6colt6	425
21	EMC_	405
22	ssleepless	402
23	Spacewardharpy7	381
24	TheShyPig	368
25	thewindmillman	337
26	Winston_Ingram	322
27	NieToksikpl	307
28	kekhon	270
29	ImpavidArcher	233
30	ConnorDanky_	228
30	Nicserso	228
32	MightyWertu	208
33	iSammael	199
34	fluddd	190
35	Notta	166
36	MakeHistory157	151
37	AuroraValkyrie	146
38	Iagoku	142
39	PlasticOtari	130
40	Mahoose	129
41	joethahobo	100
42	Maenara	93
43	Di_infiri	86
44	Rumpletaezer	77
45	fkGrim	75
46	Steelynan	74
47	diamondgolem35	67
47	TechnoNinja64	67
49	xxPipperDipperxx	66
50	Bumpy419	64
51	TheBiggestFeller	63
52	Smoke____	57
53	Dusk_95	50
54	Akoot_	47
55	Arceus1975	41
56	Ezekson	40
57	Deathkob	34
58	HellsSponge	30
59	gcaisawesome	29
60	LexMakesHistory	26
61	jnp_gaming	21
62	eitanzaki	19
62	SammiWolfGirl	19
64	Blaiku	16
64	WyngGoy	16
66	Rebytre	13
67	LeauVox4921	12
67	ROY4LE	12
67	sp00ky_ghost977	12
70	xzvu	11
71	UCP_TheKingK	10
72	RobotMinion101	8
72	BlankityMcBlank	8
74	Fullut	5
74	Soplight	5
76	ColeSnyder	4
76	BodaciousCake	4
76	MinttyFressh	4
76	pr33tu	4
76	Scathra	4
76	_Bguette_	4
82	PhantomsGhost_	3
82	youhjjhhhjj	3
82	WarHammer3	3
82	heckface	3
82	mwrty	3
82	Ahketen	3
82	Smussa	3
82	RoofTyler	3
82	aidanwest	3
82	Eraxa	3
92	Sabby65	2
92	Hiimdeath	2
92	Groundler	2
92	Goldiethebear03	2
96	ShedJr_	1
96	Marbz_	1
96	MousePlays	1
96	Jimi7hits	1
96	ThatMan_Dave	1
96	wwwwinnebagoooo	1
96	RealGroot	1
96	gusstationwerker	1
96	KingMatthew506	1
