rank	username	minecraft:picked_up/minecraft:blackstone_wall
1	500am	705
2	thewindmillman	574
3	Legendosh	273
4	joethahobo	238
5	PlasticOtari	116
6	Deathkob	98
7	weabis	96
8	eitanzaki	95
8	set67	95
10	Mahoose	94
11	CuzIm2Kev	83
12	Xalithia	76
13	fffMike	66
14	noam464	58
15	Spenduh	55
16	Jackattack53	53
17	Billious	39
18	KarlKaek	38
18	AdmiralSmoke	38
20	pintsizedrogue	27
21	lizardfightclub	21
22	ogoa	19
23	TheWildMateo	17
24	Manaateee	16
25	EveryonesUncle	14
26	k_ce	13
27	Mr_Byzantine	12
28	ShedJr_	11
28	TheSecondLord	11
28	Nicserso	11
31	Di_infiri	9
31	luseis	9
33	chipklip	8
33	jessewegottacook	8
33	Blackberry1310	8
33	Werbe	8
33	Enderxz3	8
38	rarrq	7
38	mwrty	7
38	Mattesco	7
38	Shogunite	7
42	T045RTY	6
42	beeperbeeper5	6
44	soundad	5
45	CattSoup	3
46	Lez_	2
46	Myszoaz	2
46	titanlax	2
46	benediktine1	2
46	gustarlep	2
46	FreakGenius	2
46	wwwwinnebagoooo	2
46	UCP_TheKingK	2
46	TheOuterCore	2
55	EMC_	1
55	Gundam_Steven	1
55	SuperPooch06	1
55	hanaryheatwave	1
55	Quinasin	1
55	Nycteus_	1
55	Spacewardharpy7	1
55	Druid95	1
