rank	username	minecraft:picked_up/minecraft:polished_diorite
1	burbankbuilder28	3061
2	El_Jalapeno	2723
3	sp00ky_ghost977	2433
4	Smoke____	2027
5	TheShyPig	1337
6	kekhon	1243
7	bpmm	1025
8	Werbe	1023
8	AssEatrAndLicker	1023
10	himak1	1005
11	Freak_Genius	999
12	Lord_Jord	974
13	Froste131	962
14	KarlKaek	924
15	OfficerAnvil	912
16	Akoot_	791
17	noam464	768
18	joethahobo	730
19	Inbefour	717
20	Xclax101	681
21	Lukeee33	659
22	beeperbeeper5	598
23	_TCARREIRA_	591
24	WyngGoy	546
25	SkateboardR6	541
26	Hyp3rion_	539
27	Onennon	532
28	brycepants	530
29	Hoid_the_Roamer	520
30	m_be9	476
31	Kowcio_	460
32	MightyWertu	454
33	Kakolbus	431
34	ApophisNova	408
34	MyNamaSheff	408
36	Cowison	394
37	ImpavidArcher	389
38	Deathkob	386
39	Maenara	385
40	12Magner05	380
41	Legendosh	377
42	MattieHD	371
43	Yahrto	362
44	Meatlaugh	361
45	Powowowow	349
46	rarrq	337
47	Blu3beast	336
48	teslawolf38	332
49	Optiprimus	329
50	ooga47	314
51	RedcatVII	309
52	Toriankel	308
53	Ezekson	301
54	fffMike	293
55	LittleBug562	282
56	OG_Songsee	256
56	FlagsAreBad	256
58	jacxhadow	255
59	Winklepicker279	251
60	alderban107	244
61	Merv__	243
61	RoyalDorrr	243
63	brofrickcheaters	227
64	ROY4LE	226
64	Doom_melon	226
66	Blackberry1310	221
66	KingMatthew506	221
68	Malorn_Aetherius	217
69	Darkgon	206
70	bruh072	204
71	AuroraValkyrie	201
71	Enderslayerxz3	201
73	fluddd	200
74	Western_1	193
75	kars0n	192
76	ProfessorBee	186
77	DanTheBuilderino	185
78	Prodiginus	184
79	Mahoose	180
80	ShedJr_	179
81	eviltunix	176
81	Frozil12	176
83	MrExplorer	169
83	killmeiamtraitor	169
85	Soplight	165
86	FirsTimeGamingTV	164
87	Airem_Core	163
88	seanitoo	162
89	HellsSponge	154
90	Natty	151
91	Fuhrer_Teemo	150
92	JayToe	148
93	seramalen	147
94	Skylord_Luke	141
95	chipklip	139
96	07shiny	137
97	Comma__	133
97	JESS_THE_RERE	133
99	OtariCharlie	132
100	Teebone15	131
101	lcvezra	129
102	The_Dark_One_00	126
103	Ssor69	123
104	Donutt	122
104	ProbsNotNova	122
106	cedric72	119
107	_Karmaa	118
108	oxfordschool	114
109	lillips	110
110	Matorz	109
111	NotMeanttoChange	107
112	MinerDec	104
112	DarlaMeow	104
114	jedi_george	99
115	Tjhodskins19	98
116	EveryonesUncle	92
117	Kubelz	82
117	Spenduh	82
119	The_slideV3	80
119	Deerfoot	80
121	jcool7	78
122	Wolverine4302	77
123	Dogcorn69420	75
124	Rebytre	72
125	aec9	70
125	TechnoNinja64	70
127	Spacewardharpy7	69
128	lordpipe	67
129	eitanzaki	66
129	Xalithia	66
131	Nicserso	65
132	hm947	64
132	BronkerBrum	64
132	thgrocks	64
132	Groundler	64
132	Quotary	64
137	benediktine1	63
137	ProfessorDiaper	63
139	Natofthese	62
139	audiocracked	62
141	dongli	60
141	xof_on_microwave	60
143	PortlyPete69	57
144	sebastiensaborio	55
145	bigstankyy	52
145	EcksD	52
147	Zythose	51
148	tramizu	50
149	wiqor	48
149	Arceus1975	48
151	awesomeoneme	44
152	Eraxa	43
153	set67	42
153	Snowflowe	42
153	CaptainDeadBread	42
156	SyK7	41
156	BilboBaggins23	41
158	Groovy_MoonBird	40
159	dnlksl	39
159	GravitySaint	39
161	HAIRYCLOUD626	38
162	_Boipl_	37
162	Ajax6	37
164	jushykins	36
164	Mariopreeet	36
166	Bandito_Roamer	35
167	sufjanlover	33
167	NameGenerat0r	33
169	silverpopcorn	32
170	Njensen7	31
171	Jaka_Saurus_715	30
171	Haadrada	30
