rank	username	minecraft:picked_up/minecraft:cyan_stained_glass
1	Ezekson	4170
2	Jackattack53	1479
3	Frozil20	817
4	ImpavidArcher	757
5	beeperbeeper5	661
6	joethahobo	648
7	EngagedGrub41	512
8	NameGenerat0r	357
9	lordpipe	282
10	Fullut	277
11	Mahoose	272
12	Smoke____	270
13	Quotary	259
14	TheSecondLord	233
15	thescout7	220
16	Hyp3rion_	211
17	PhantomsGhost_	206
18	mihimihimihi	187
19	Enderslayerxz3	164
20	Inbefour	162
21	pintsizedrogue	158
22	r123moore	154
23	Diavri	147
24	KingMatthew506	135
25	eitanzaki	131
26	Jiminie	122
27	rarrq	120
28	jnp_gaming	110
29	DC_XII	96
30	Blackberry1310	92
31	oxfordschool	84
32	ROY4LE	62
33	Iagoku	56
34	fw3xywashere	55
35	Zythose	49
36	TechnoNinja64	42
37	fluddd	35
38	Natty	26
39	Ssor69	24
40	eclipseboi	22
40	Eraxa	22
42	Di_infiri	20
42	Rumpletaezer	20
44	El_Jalapeno	18
45	kekhon	15
45	King_Pancake1	15
47	Werbe	14
48	Legendosh	13
49	6king6colt6	12
49	noam464	12
51	Xalithia	10
51	Groundler	10
53	AuroraValkyrie	9
53	heckface	9
53	WyngGoy	9
56	CoffeeNoir	8
56	ApophisNova	8
56	Sky_light_KING	8
56	The_slideV3	8
56	stahouo	8
56	MyNamaSheff	8
62	HellsSponge	7
63	TheShyPig	6
63	RodSerlingCringe	6
65	mwrty	5
65	Arceus1975	5
67	abramgray	4
67	Merv__	4
67	Jiminbub	4
67	Blaiku	4
71	H72l9w	2
71	m_be9	2
71	SteveCraftBlocks	2
71	Marbz_	2
71	Skylord_Luke	2
71	XxCookiequeenxX	2
71	Blu3beast	2
71	Xclax101	2
71	jcool7	2
71	Hermanni__	2
71	FelixPSY375	2
82	Hyugo	1
82	T045RTY	1
82	MrKrabOnCoke	1
82	RobotMinion101	1
82	binman420	1
82	claivin	1
82	Warlord324	1
82	Spacewardharpy7	1
82	alderban107	1
82	Miko_Fullbuster	1
82	kinas45y5	1
82	The_SlideV5	1
