rank	username	minecraft:picked_up/minecraft:fishing_rod
1	thewindmillman	224
2	rarrq	98
3	Myszoaz	94
4	kekhon	92
5	Racengan	89
6	LordSpeed37	82
7	TheShyPig	77
8	Jackattack53	64
9	MyNameIsJobo	63
10	Akoot_	57
11	Fildyr	50
12	ApophisNova	48
12	wezzzi	48
12	ayamefag	48
12	MyNamaSheff	48
16	Bandito_Roamer	47
17	Bumpy419	46
18	TheSecondLord	44
19	censorsheep	42
20	WyngGoy	39
20	JayToe	39
22	pintsizedrogue	37
22	Fullut	37
22	Werbe	37
25	Nyxiom_	35
26	HellsSponge	34
27	lillips	31
28	Rumpletaezer	28
28	Blu3beast	28
28	Kyrum2169	28
31	Eraxa	27
32	Minimize501	26
32	_TCARREIRA_	26
34	Froste131	24
35	Hyp3rion_	23
35	Freak_Genius	23
37	masskedman	22
38	ooga47	21
39	eitanzaki	20
39	slkiey	20
39	Kkanot	20
39	PlasticOtari	20
39	Smoke____	20
44	Mahoose	19
44	MovingFish7	19
46	ImpavidArcher	18
46	Blackberry1310	18
46	500am	18
49	xxPipperDipperxx	17
49	EveryonesUncle	17
51	mimbo1211	16
52	livingdaydreams	15
52	_Nuf	15
52	mwrty	15
52	El_Jalapeno	15
52	ediballbearings	15
57	Ecplosive	14
57	loveseeker	14
57	chipklip	14
57	Powowowow	14
61	beeperbeeper5	13
61	Ardennes	13
61	TheSeismicDuck	13
61	Skippeh	13
61	Ezekson	13
66	Kouridragon	12
66	__tomato	12
66	SammiWolfGirl	12
66	jcool7	12
66	TechnoNinja64	12
71	awesomeoneme	11
71	Euclidoris	11
71	m_be9	11
71	Legendosh	11
75	Hiryu27	10
75	selectrix	10
77	GingerNeutron	9
77	gabriels543	9
77	Di_infiri	9
77	EcksDofficial	9
81	KarlKaek	8
81	tramizu	8
81	jacxhadow	8
81	himak1	8
81	Xalithia	8
81	Paintz	8
81	lizardfightclub	8
81	Fuhrer_Teemo	8
81	Blaiku	8
81	YungMaki	8
81	adiccting01	8
92	seanitoo	7
92	pZygh0st	7
92	Firecracker320	7
92	joethahobo	7
92	cowgirlkasia	7
92	Zaridey	7
92	WET_WET_WET	7
92	Snowflowe	7
92	LilyNova	7
92	RodSerlingCringe	7
92	claivin	7
92	LetsDoItLive	7
92	EcksD	7
105	SaucyDark	6
105	T045RTY	6
105	heckface	6
105	Cambo5000	6
105	thescout7	6
105	intropass	6
105	NotKaden_	6
105	Stephenpoling	6
105	Russiancat1	6
105	Xclax101	6
105	fluddd	6
105	Soplight	6
105	lcvezra	6
105	Steelynan	6
105	_AAZAR	6
120	Ailmast	5
120	numbra	5
120	ssleepless	5
120	TableTim	5
120	Arceus1975	5
120	AnnieBathory	5
120	Donutt	5
120	jambvds	5
120	Nycteus_	5
120	monky_irl	5
120	stavgod	5
120	Kowcio_	5
120	Spenduh	5
120	fffMike	5
120	mawileite	5
120	oxfordschool	5
136	dabloons	4
136	Drlzyy	4
136	KingFaenor	4
136	6king6colt6	4
136	Paleshield	4
136	Wooptey	4
136	youhjjhhhjj	4
136	Batman922	4
136	Historical_Sand	4
