rank	username	minecraft:picked_up/minecraft:clay_ball
1	thewindmillman	508447
2	Legendosh	46083
3	Di_infiri	22044
4	PlasticOtari	21822
5	TheShyPig	21481
6	EveryonesUncle	16708
7	SingedBread	15041
8	RodSerlingCringe	14527
9	El_Jalapeno	11144
10	MinttyFressh	10780
11	h2p_emrld	8129
12	PhantomsGhost_	7144
13	pintsizedrogue	6935
14	iHuntWeeaboos	6776
15	LeauVox4921	6676
16	SSytex_X	6157
17	Merv__	5934
18	Bandito_Roamer	5844
19	burbankbuilder28	5024
20	Akoot_	4870
21	ImDisconnected_	4688
22	m_be9	4512
23	ProfessorBee	4276
24	joethahobo	4093
25	Xclax101	4088
26	coobert42	3814
27	shdesolt	3764
28	Miko_Fullbuster	3760
29	SaucyDark	3720
30	500am	3553
31	Spacewardharpy7	3503
32	Rebytre	3368
33	Njensen7	2992
34	lcvezra	2974
35	HellsSponge	2923
36	fred870d	2916
37	Nicserso	2871
38	drunkeeez	2860
39	MakeHistory157	2836
40	thescout7	2745
41	wobn	2696
42	Freak_Genius	2644
43	kekhon	2638
44	KarlKaek	2623
45	thgrocks	2555
46	Tommhh	2536
47	vandmanden	2527
48	Jiminie	2518
49	cowgirlkasia	2388
50	00000000-0000-0000-0009-01ff0c3e5e4f	2359
51	groofles	2350
52	xxPipperDipperxx	2310
53	Kakolbus	2292
54	Onennon	2272
55	Enderslayerxz3	2228
56	Deathkob	2224
57	eiC_	2196
58	12Magner05	2125
59	Zythose	2096
60	Mattesco	2056
61	livingdaydreams	1972
62	Mahoose	1923
63	Deerfoot	1904
64	MyNameIsJobo	1892
65	Kowcio_	1877
66	Rasmanden	1840
67	Inchef	1822
68	GlitchyPlate810	1814
69	Spaghettatron	1772
70	_Bguette_	1765
71	Tobinator_007	1732
72	dopplexd	1716
73	Mr_Byzantine	1708
74	MyNameIsDakar	1689
75	CalebDHawk	1676
76	SvenskaHugo	1660
77	beeperbeeper5	1639
78	Ryker	1632
79	Inbefour	1626
80	NinjaKnifeKill	1612
81	Foof13	1548
82	master9067	1536
82	JohnPrice	1536
84	Sheldor097	1532
85	PigDab	1529
86	Smoke____	1502
87	fkGrim	1492
88	_naturell	1396
89	OfficerAnvil	1384
90	ApophisNova	1380
90	MyNamaSheff	1380
92	SLASHZEERA	1372
93	anbbang	1308
94	Fuhrer_Teemo	1300
95	Skylord_Luke	1297
96	Toriankel	1293
97	Invisie	1256
98	gcaisawesome	1232
99	binman420	1224
100	Malorn_Aetherius	1223
101	dedgt	1216
102	RohnJosin	1203
103	Blamphe	1180
104	NieToksikpl	1168
105	2Stout	1131
106	Skippeh	1124
107	dartwaffle	1112
108	Barlycorn	1108
109	CoffeeNoir	1100
110	Stynxy	1076
111	RadarHz	1060
112	corvidpartyfor6	1054
113	Felenov	1040
114	KermitTheKripple	1027
115	Blackberry1310	1017
116	CharlieButt	1012
117	teslawolf38	1008
118	BumbleBeever	1004
118	TheEnderman548	1004
120	MrExplorer	984
121	301851	980
122	DTwenty	976
123	monolu	972
124	BilboBaggins23	956
125	Jiminbub	936
126	ozekigod	932
126	the__Reaper4999	932
128	NebulousBadger	902
129	annoyingenderman	888
130	Groovy_MoonBird	883
131	Corbsman	880
132	PortlyPete69	877
133	Wowful	876
133	Lowjinx	876
135	CarryLine	872
136	stuy9	863
137	whoaluv	857
138	EcksDofficial	849
139	hcb238	832
140	ImpavidArcher	826
