rank	username	minecraft:picked_up/minecraft:deepslate_gold_ore
1	500am	685
2	hanaryheatwave	435
3	Segotep999	426
4	excelsionprime	374
5	EMC_	368
6	corvidpartyfor6	359
7	LeauVox4921	321
8	lordpipe	296
9	Kowcio_	288
10	luseis	280
11	PlasticOtari	243
12	Apollo_993	230
13	Hyp3rion_	165
13	Jimb0nat0r	165
15	poopybh	163
16	SpacesickPrism	149
17	pintsizedrogue	138
18	Kakolbus	134
19	H0UNDFRMH3LL	128
20	SvenskaHugo	127
21	gcaisawesome	121
22	GooseWithin	103
23	dartwaffle	101
23	Jimi7hits	101
25	Enderxz3	97
26	Iamthejo	93
27	ARandomHedge	91
27	SingedBread	91
29	Ryker	89
30	calamariclam_I	86
31	beeperbeeper5	84
32	Secret_Canary	79
33	Marbz_	77
33	Soplight	77
35	pixelviolin	76
36	groofles	75
37	Mahoose	74
37	MinttyFressh	74
37	mihimihimihi	74
40	Megarboh	70
40	masskedman	70
42	YungMaki	67
43	jessewegottacook	65
44	RoskobiOne	64
44	ITDV	64
44	thewindmillman	64
44	Snowflowe	64
44	Meeerkat	64
49	Lutres_	63
50	Crowman1	59
51	Pofen	55
51	MAns_44	55
53	SkinnyBois	53
54	q_wq	51
54	shadowthemonkey	51
54	Nicserso	51
57	MattieHD	50
58	Smashic	47
59	EngagedGrub41	46
60	NoHaHeHa	45
60	Ezekson	45
62	wwwwinnebagoooo	43
63	RebelAndroid	41
63	Huwulling	41
63	fw3xy74	41
66	TheSecondLord	40
67	k_ce	39
67	joethahobo	39
69	Toriankel	38
69	MustardSquid	38
71	bearlystraight	34
72	Jackattack53	33
72	Manaateee	33
74	Lez_	32
75	PazinGaming	31
76	infiniteQuery	29
76	ZoomieZoomie	29
78	diamondgolem35	26
78	Mattesco	26
78	AdmiralSmoke	26
81	MineMaster0012	25
82	12Magner05	23
82	Steve897	23
84	Da_Boss_Rani	22
84	Blackberry1310	22
84	KGTV	22
84	LeonelSalamanca	22
88	Hermanni__	21
89	SyntheticSurgeon	20
90	T045RTY	19
91	RatatJuice	18
91	ShedJr_	18
91	Xalithia	18
91	Fuad_R	18
91	Steelynan	18
96	TheALV	17
97	dimondking777	15
97	KujikawaRisechi	15
97	AltnumberF4	15
100	ZeroKraken	14
101	noam464	13
101	Silvo614	13
101	TheEnderMan548	13
104	Jonafrog99	10
104	MilleGrug	10
106	_stets	9
106	BronkerBrum	9
108	Creativebuilder2	8
108	ZaneABrain	8
108	WYFYoyo	8
111	Flores991	7
112	eitanzaki	6
112	KingEgg1	6
112	Winklepicker279	6
112	Spacewardharpy7	6
112	RadarHz	6
117	Skylord_Luke	5
117	ApophisNova	5
117	NomadicRobin_	5
117	FreakGenius	5
117	verynothing	5
117	IdeallyGrey	5
117	EcksD	5
117	MyNamaSheff	5
125	SmashingPump	4
125	Elastiq	4
125	jcool7	4
128	Prismyst	3
128	mrnosetackle	3
128	Rebytre	3
128	AlexxO_o	3
128	ItsDeltaMC	3
133	Jindong	2
133	DinoDoctor_	2
133	Sleepy_Time_	2
133	SvenskaAlvar	2
133	lillips	2
133	Dakar_	2
133	fluddd	2
133	UCP_TheKingK	2
133	Legendosh	2
142	Mr_Byzantine	1
142	Merv__	1
142	_HoneySlime_	1
142	prizm_	1
142	_Boipl_	1
142	Krowuss	1
