rank	username	minecraft:picked_up/minecraft:brown_mushroom_block
1	Blaiku	7167
2	YungMaki	4215
3	Lez_	3510
4	joethahobo	3320
5	EMC_	2395
6	pintsizedrogue	2086
7	Di_infiri	1926
8	MightyWertu	1707
9	Werbe	1675
10	ApophisNova	1458
10	MyNamaSheff	1458
12	Hyp3rion_	1410
13	diggydog67	1170
14	Ezekson	985
15	lordpipe	881
16	Mahoose	791
17	Hoid_the_Roamer	754
18	Historical_Sand	704
19	EveryonesUncle	689
20	Kowcio_	637
21	Enderxz3	613
22	Smoke____	578
23	thewindmillman	562
24	Blackberry1310	456
25	Winston_Ingram	414
26	AuroraValkyrie	400
27	Hpdinosaur	380
28	claivin	378
29	Xclax101	374
30	Deathkob	360
31	PlasticOtari	355
32	kekhon	353
32	noam464	353
34	CarryLine	336
35	luseis	324
35	Soplight	324
37	H72l9w	289
38	beeperbeeper5	260
39	eitanzaki	226
40	groofles	221
41	ROY4LE	210
42	KarlKaek	191
43	Steelynan	186
44	500am	177
44	burbankbuilder28	177
46	Chromary	153
47	XxCookiequeenxX	142
48	LexMakesHistory	135
49	TheSecondLord	128
50	gcaisawesome	127
51	Akoot_	124
52	Marbz_	109
53	ImpavidArcher	108
54	DinoDoctor_	103
55	ConnorDanky_	98
56	Nicserso	95
57	djancak	90
57	Hermanni__	90
59	Maenara	83
60	Blazebit	79
61	TheSeismicDuck	78
62	Jackattack53	72
63	ShedJr_	68
64	Merv__	66
64	lcvezra	66
66	mihimihimihi	61
67	WyngGoy	60
68	KomputerDude	57
69	Frozil20	50
69	12Magner05	50
71	Spacewardharpy7	48
72	MuffinManzz	47
72	SyntheticSurgeon	47
72	Onennon	47
75	set67	45
75	Vetral1	45
75	Lord_Jord	45
75	LeEricc	45
79	Alteriity	41
80	Kyrum2169	40
81	SpaceGrenadier	39
82	MinttyFressh	38
83	trexgb	37
84	masskedman	34
85	nocturne78	21
86	HellsSponge	15
86	Wolverine4302	15
88	stellarjay	12
89	Tyrannosplart	11
90	Rumpletaezer	9
90	PortlyPete69	9
92	Killercatty78	7
92	eli_tschki	7
94	Warlord324	6
94	KingMatthew506	6
96	SingedBread	4
97	Comma__	3
97	eclipseboi	3
97	MovingFish7	3
97	__tomato	3
97	obzii	3
97	calamariclam_I	3
103	F_Uhre	2
103	Hisiste	2
105	6king6colt6	1
105	Scathra	1
105	thescout7	1
105	Lutres_Torane	1
105	JESS_THE_RERE	1
105	ItsDeltaMC	1
105	RealGroot	1
