rank	username	minecraft:picked_up/minecraft:dark_prismarine_stairs
1	skitzxo	2676
2	CliffEmAll	730
3	Fullut	458
4	PlasticOtari	277
5	EveryonesUncle	188
6	pintsizedrogue	169
6	TheShyPig	169
8	12Magner05	168
9	Ezekson	146
10	beeperbeeper5	135
11	rarrq	132
12	Spacewardharpy7	122
12	Eraxa	122
14	PazinGaming	121
14	eitanzaki	121
16	Steelynan	113
17	EcksD	110
18	SmashingPump	104
19	TheSecondLord	97
20	PigDab	87
20	Yamdalorian	87
22	joethahobo	86
22	Snowflowe	86
24	Mahoose	83
25	Frozil20	77
26	Manaateee	76
27	Barlycorn	73
28	Enderxz3	71
29	Mr_Byzantine	70
30	ImpavidArcher	59
30	Blaiku	59
32	lizardfightclub	52
33	gren_ben	51
34	Druid95	44
34	YungMaki	44
36	KarlKaek	42
36	Marbz_	42
36	Arceus1975	42
39	catandmoose	38
40	Kowcio_	35
41	LittleBug562	34
42	noam464	33
43	Lord_Jord	32
44	MakeHistory157	29
45	m_be9	26
46	Biites	24
47	Maenara	23
48	Bumpy419	21
49	DinoDoctor_	15
49	groofles	15
49	luseis	15
49	lordpipe	15
53	gcaisawesome	14
53	2blox_	14
55	Legendosh	13
56	Mattesco	12
56	EngagedGrub41	12
58	Winklepicker279	11
58	h2p_emrld	11
60	_Z3RIX_	10
60	Hyp3rion_	10
62	diamondgolem35	9
63	bl1ss0	6
63	Racengan	6
65	_Huge_Male_	5
65	Jackattack53	5
65	HellsSponge	5
68	Napoleonpancake	4
68	Merv__	4
68	Zythose	4
68	stavgod	4
72	CLG_Kata	3
72	Lez_	3
72	Soplight	3
75	RebelAndroid	2
75	Alteriity	2
75	Smashic	2
75	thewindmillman	2
75	Werbe	2
75	Huic_ostiarius	2
75	Skippeh	2
75	TheWickedBird	2
83	C0by3llis	1
83	Kkanot	1
83	gamerlord1324	1
83	Eczbox	1
83	Azmodan_246	1
83	Samificator	1
83	EdGalbraith	1
83	masskedman	1
83	Fuad_R	1
83	_Karmaa	1
83	MAns_44	1
83	SkateboardR6	1
83	SvenskaHugo	1
83	MrShojo	1
83	Eczbek	1
