rank	username	minecraft:picked_up/minecraft:magenta_stained_glass_pane
1	lordpipe	718
2	El_Jalapeno	213
3	YungMaki	170
4	noam464	150
5	Sky_light_KING	135
6	jnp_gaming	108
7	Smoke____	67
8	beeperbeeper5	45
9	6king6colt6	44
10	LexMakesHistory	36
11	SoftSix	22
12	ShedJr_	17
12	Winklepicker279	17
12	NomadicRobin_	17
15	EMC_	15
16	PigDab	14
17	TheEnderman548	12
18	UncreativeArtist	10
18	XboxPanda	10
20	TheSecondLord	9
21	MakeHistory157	8
21	Steelynan	8
23	livingdaydreams	4
23	HesDemonPants	4
25	Ezekson	3
26	Rumpletaezer	2
26	Spacewardharpy7	2
28	Nycteus_	1
28	Sral7	1
