rank	username	minecraft:picked_up/minecraft:jungle_planks
1	thewindmillman	323089
2	Spacewardharpy7	8726
3	noam464	8329
4	himak1	4761
5	Hyp3rion_	3330
6	EcksD	3293
7	Prodiginus	2996
8	EveryonesUncle	2095
9	mwrty	1872
10	Drawgirll	1871
11	cedric72	1304
12	_Virify_	1192
13	kekhon	1046
14	Enderslayerxz3	992
15	Airem_Core	970
16	Quaintster	949
17	Blu3beast	837
18	Onennon	746
19	Inbefour	733
20	fluddd	710
21	Hermanni__	658
22	eitanzaki	645
23	WET_WET_WET	576
24	oxfordschool	575
25	El_Jalapeno	554
26	TechnoNinja64	538
27	Windo_licker	525
28	bigstankyy	520
29	Akoot_	496
30	HellsSponge	480
31	Xalithia	464
32	Werbe	450
33	Smoke____	423
34	SvenskaHugo	422
35	thescout7	415
36	TheShyPig	386
37	Ecplosive	380
38	gabriels543	369
39	CookTheChef3	353
40	Factoroni	352
41	Winklepicker279	330
42	CoffeeNoir	329
43	WyngGoy	323
44	SvenskaAlvar	318
45	Freak_Genius	266
46	Toiton	261
47	Hpdinosaur	255
48	Kamflame10	252
49	Hoid_the_Roamer	247
50	ROY4LE	228
51	soundad	221
52	Quotary	219
53	kinas45y5	201
54	Kubelz	197
55	IWorkAtIkea	196
56	fffMike	195
57	titanlax	190
57	PlasticOtari	190
59	seramalen	186
60	ShedJr_	175
61	Blackberry1310	173
62	xxPipperDipperxx	167
62	BronkerBrum	167
64	beeperbeeper5	155
65	PigDab	149
66	joethahobo	147
67	T045RTY	130
67	ese_wn_po	130
69	Sleek_Storm_721	128
70	rarrq	126
71	Aangezet	122
72	AuroraValkyrie	120
72	KeruNatsema	120
72	OfficerAnvil	120
75	ItsColin11	114
75	ItsJunoIGuess	114
75	KingMatthew506	114
78	Awyrlas	111
78	Bumpy419	111
80	fred870d	107
81	KarlKaek	106
82	RobotMinion101	104
83	Blaiku	102
84	Reamdin	98
84	lordpipe	98
86	Steelynan	97
87	H72l9w	94
88	Lord_Jord	92
89	Racengan	91
90	Th6masss	89
91	Maenara	87
92	yulgur1	72
93	Soplight	71
94	Mahoose	70
94	MyNameIsJobo	70
96	Aezekial	68
97	Mowelan	66
97	SaucyDark	66
97	benediktine1	66
97	fkGrim	66
101	The_slideV3	64
102	Frozil12	63
103	MovingFish7	62
104	1442	58
105	tobinwilliams	56
105	RadarHz	56
107	LAVA129	55
107	sxc_	55
107	jcool7	55
110	breadbowlgamer	54
110	YungMaki	54
112	Merv__	53
112	Di_infiri	53
114	_Hayt	52
114	WhyTho_1	52
116	LilLizardWizard	51
117	FreddyFart	50
118	_Karmaa	49
119	Ssor69	48
120	MightyWertu	46
121	Kferno	45
121	The_SlideV5	45
123	TableTim	44
123	KASAN420	44
125	MyNameIsDakar	40
126	jessemgaming	38
126	JESS_THE_RERE	38
128	ItsDeltaMC	37
128	jnp_gaming	37
130	Groovy_MoonBird	36
130	MLG_Kirby69	36
132	Cryptacity	35
133	Incinere	34
133	Fullut	34
133	Dabatha	34
136	Zaridey	33
137	tsitrawhy	31
138	Leksanda	30
138	Eraxa	30
140	Deathkob	27
141	500am	25
141	Cocoamallows	25
141	SammiWolfGirl	25
144	wezzzi	24
144	Njensen7	24
144	Skippeh	24
147	Rainaldus	23
148	Mr_Byzantine	21
148	ImpavidArcher	21
148	CryoInferno_	21
148	Rebytre	21
148	Kynigito	21
148	Vorlice	21
148	sp00ky_ghost977	21
155	rats_life	20
155	pintsizedrogue	20
155	AnnieBathory	20
155	ooga47	20
159	loveseeker	19
159	Kowcio_	19
159	lcvezra	19
