rank	username	minecraft:picked_up/minecraft:warped_slab
1	Hyp3rion_	18160
2	gcaisawesome	1904
3	noam464	1386
4	rarrq	1167
5	thewindmillman	1054
6	Ezekson	835
7	Manaateee	691
8	EMC_	532
9	Segotep999	502
10	Apollo_993	447
11	Biites	353
12	Enderxz3	352
13	Blaiku	348
14	MSK__	330
15	kekhon	307
16	Lutres_	258
17	PigDab	205
18	pintsizedrogue	200
19	EcksD	194
20	beeperbeeper5	180
21	Cowison	162
22	_Razaria	141
23	HolyVenom	123
24	fffMike	120
25	Eraxa	117
25	SpacesickPrism	117
27	Steelynan	101
28	Marbz_	95
29	12Magner05	90
30	TheSecondLord	72
30	King_Pancake1	72
32	Mahoose	71
32	Tersea_	71
34	Jackattack53	70
35	Kowcio_	67
36	Jonafrog99	65
37	Alteriity	60
38	Mr_Byzantine	55
38	Dakar_	55
40	StarCookiees_	54
41	Fullut	53
42	Akoot_	48
42	Jimb0nat0r	48
44	doublemaki	47
45	PlasticOtari	45
46	CoffeeNoir	43
46	Huwulling	43
46	U_Mos_	43
49	Optiprimus	38
50	Lord_Jord	37
50	Decaying_Lotus	37
52	Legendosh	36
53	emreknugrlu	32
54	Xalithia	29
55	TheWickedBird	27
56	ZoomieZoomie	25
57	soundad	24
57	Werbe	24
59	Hpdinosaur	23
60	GreedyFern8581	21
61	Mattesco	19
62	Vetomo8000	17
63	diamondgolem35	15
64	TheDankPlatypus	14
65	r123moore	12
65	Kubeusz2010	12
67	MC_Skribble	11
68	pumpfonzo	10
69	eitanzaki	9
69	Awyrlas	9
71	luseis	8
71	mihimihimihi	8
73	eclipseboi	7
74	catandmoose	6
74	_witch_craft_	6
74	SuperPooch06	6
74	Spacewardharpy7	6
74	Soplight	6
79	bl1ss0	5
79	LuvLuvLove	5
79	diggydog67	5
82	Historical_Sand	4
82	IgnoredBee	4
82	Blackberry1310	4
82	Rebytre	4
86	_Huge_Male_	3
86	Frozil20	3
86	podduszenie	3
86	LexMakesHistory	3
86	Shogunite	3
86	Yamdalorian	3
92	Niklas20114552	2
92	mymayowasgone	2
92	Lez_	2
92	BobDeBouwer1337	2
92	CarltheCuck	2
92	Di_infiri	2
92	lunkuku	2
92	ZoharGoldMine	2
100	PazinGaming	1
100	KarlKaek	1
100	set67	1
100	trixterrx	1
100	Snowflowe	1
100	ooga47	1
100	Kokeech	1
100	FiguraDei	1
100	cichy096	1
