rank	username	minecraft:picked_up/minecraft:warped_slab
1	Hyp3rion_	18160
2	gcaisawesome	1904
3	noam464	1386
4	rarrq	1167
5	thewindmillman	1054
6	Ezekson	835
7	Manaateee	691
8	EMC_	532
9	Segotep999	502
10	Apollo_993	447
11	Biites	353
12	Enderxz3	352
13	Blaiku	348
14	MSK__	330
15	kekhon	307
16	Lutres_	258
17	PigDab	205
18	pintsizedrogue	200
19	EcksD	194
20	beeperbeeper5	180
21	Cowison	162
22	_Razaria	141
23	HolyVenom	123
24	fffMike	120
25	Eraxa	117
25	SpacesickPrism	117
27	Steelynan	101
28	Marbz_	95
29	12Magner05	90
30	TheSecondLord	72
30	King_Pancake1	72
32	Mahoose	71
32	Tersea_	71
34	Jackattack53	70
35	Kowcio_	67
36	Jonafrog99	65
37	Alteriity	60
38	Mr_Byzantine	55
38	Dakar_	55
40	StarCookiees_	54
41	Fullut	53
42	Akoot_	48
42	Jimb0nat0r	48
44	YungMaki	47
45	PlasticOtari	45
46	CoffeeNoir	43
46	Huwulling	43
46	U_Mos_	43
49	Optiprimus	38
50	Lord_Jord	37
50	Decaying_Lotus	37
52	Legendosh	36
53	emreknugrlu	32
54	Xalithia	29
55	TheWickedBird	27
56	ZoomieZoomie	25
57	soundad	24
57	Werbe	24
59	Hpdinosaur	23
60	GreedyFern8581	21
61	Mattesco	19
62	Blasterboy54	17
63	diamondgolem35	15
64	TheDankPlatypus	14
65	r123moore	12
65	Kubeusz2010	12
67	tsitrawhy	11
68	pumpfonzo	10
69	eitanzaki	9
69	Awyrlas	9
71	luseis	8
71	mihimihimihi	8
73	eclipseboi	7
74	_witch_craft_	6
74	SuperPooch06	6
74	Spacewardharpy7	6
74	Soplight	6
78	bl1ss0	5
78	diggydog67	5
80	Historical_Sand	4
80	IgnoredBee	4
80	Blackberry1310	4
80	RebytreGT	4
84	_Huge_Male_	3
84	Frozil20	3
84	podduszenie	3
84	LexMakesHistory	3
84	Shogunite	3
84	Yamdalorian	3
90	Niklas20114552	2
90	myaccountwasgone	2
90	Lez_	2
90	BobDeBouwer1337	2
90	CarltheCuck	2
90	Di_infiri	2
90	lunkuku	2
90	ZoharGoldMine	2
98	PazinGaming	1
98	KarlKaek	1
98	set67	1
98	trixterrx	1
98	Snowflowe	1
98	ooga47	1
98	Kokeech	1
98	FiguraDei	1
98	cichy096	1
98	skitzxo	1
