rank	username	minecraft:picked_up/minecraft:stone_shovel
1	noam464	895
2	m_be9	153
3	El_Jalapeno	53
4	EcksD	51
5	rarrq	28
6	stahouo	21
7	Akoot_	17
8	PigDab	16
9	Covalents	13
10	cedric72	12
10	Kferno	12
12	firesgal3116	10
12	MonitorLizards	10
12	rotten_mango	10
15	chlorinex	9
16	Smoke____	8
17	Blackberry1310	7
17	LordSpeed37	7
17	Nicserso	7
17	FGamerJ	7
21	Winklepicker279	6
21	ThatMan_Dave	6
23	_Virify_	5
23	ShedJr_	5
23	Khelvoryk	5
23	himak1	5
23	intropass	5
23	benediktine1	5
23	Dan_Scha	5
23	Juh1s	5
31	dabloons	4
31	eitanzaki	4
31	TinMaster	4
31	Bumpy419	4
31	CaptainAvenger7	4
31	MrButterscotch	4
31	PartyPhoenix	4
31	Freak_Genius	4
31	lcvezra	4
31	Western_1	4
31	PlzNoBM	4
31	Drawgirll	4
43	Mahoose	3
43	dopplexd	3
43	SteveCraftBlocks	3
43	Kamflame10	3
43	2Stout	3
43	breadbowlgamer	3
43	Karetoko	3
43	ooga47	3
43	aa2x_	3
43	privatemeekly	3
43	chipklip	3
43	Universz	3
43	Powowowow	3
56	soundad	2
56	BigBootyHudge	2
56	Merv__	2
56	elleparo	2
56	ChampPog_	2
56	InfernalMound	2
56	Comma__	2
56	ashetrays	2
56	bloodbiter	2
56	ABUSNA1996	2
56	MattieHD	2
56	emrekn	2
56	UncleDanDan	2
56	SHAOBADMAN	2
56	loveseeker	2
56	Di_infiri	2
56	Hyp3rion_	2
56	calajimi	2
56	The_Fulgurator	2
56	Rebytre	2
56	Hiryu27	2
56	BlossomOwO	2
56	fred870d	2
56	_Cloverbelle_	2
56	Kim_Jong_eel	2
56	Drewen24	2
56	Katsuragi0243218	2
56	kiluaemc	2
56	claivin	2
56	fluddd	2
56	layabout100	2
56	felincaus	2
56	Devouching	2
56	xorompole	2
56	mountaingirl311	2
56	Legendosh	2
56	jnp_gaming	2
56	CrazyPotater	2
56	DkansK	2
95	Groovy_MoonBird	1
95	PhantomsGhost_	1
95	Jalvajar	1
95	squigglybones	1
95	FujiBS	1
95	Azorathum	1
95	6king6colt6	1
95	diamondgolem35	1
95	Iagoku	1
95	ssleepless	1
95	ImpavidArcher	1
95	Hashinshin69	1
95	tuckerdoodle	1
95	Batman922	1
95	Vincent________	1
95	Swexti	1
95	TheMaster972	1
95	tramizu	1
95	FirsTimeGamingTV	1
95	heckface	1
95	Gooberkid223	1
95	ratglock	1
95	MrExplorer	1
95	kekhon	1
95	ProfessorBee	1
95	Megarboh	1
95	_Dean_123	1
95	BreadFruggis	1
95	Nab3rius	1
95	thebest_daniela	1
95	Cambo5000	1
95	Gingayy	1
95	mwrty	1
95	thescout7	1
95	__TheNorseMan__	1
95	xxPipperDipperxx	1
95	hcb238	1
95	VanJosh	1
95	ItzYaBoiPicard	1
95	ehunt54	1
95	Zaridey	1
95	FennYuzuna	1
95	fallingemma	1
95	BlueZabu	1
95	ImDisconnected_	1
95	faulder	1
95	CarltheCuck	1
95	gabriels543	1
95	Jackattack53	1
95	SuperPooch06	1
95	mick407	1
95	AJplaysMC_	1
95	mexicancharlie	1
95	RyuNeko932000	1
95	CasperHxly	1
95	regulator75	1
95	DAD_1996	1
95	CaptainDeadBread	1
95	N7November	1
95	Mattesco	1
95	MinerDec	1
95	epiksk8erduck	1
95	sitrollover	1
95	victorLIE	1
95	TheShyPig	1
95	aec9	1
95	_naturell	1
95	CarryLine	1
95	NormanFetus	1
95	HolyVenom	1
95	lizardfightclub	1
95	Leyna3	1
95	RodSerlingCringe	1
95	Negriuke	1
95	FreddyFart	1
95	SpouHn	1
95	DTwenty	1
95	sufjanlover	1
95	Mr_Gulle	1
95	Captain_Nasty	1
95	Toiton	1
95	DrGrant	1
95	Karbl	1
95	elijahmaroney	1
95	dogvis	1
95	JESS_THE_RERE	1
95	KermitTheKripple	1
95	DarlaMeow	1
95	_Karmaa	1
95	DASH_X7	1
95	The_Skramz	1
95	TiborSterle	1
95	OreoPenguin_	1
95	GeromeMerris	1
95	iGotUrHost	1
95	LordAurum	1
95	XenoWolf_ITA	1
95	Toriankel	1
95	Warlord324	1
95	Vorlice	1
95	IAmTheWalrus910	1
95	OG_Songsee	1
95	sp00ky_ghost977	1
95	Momomia1997	1
95	toos1esl1de	1
95	legoclone09	1
95	PabloGonza02	1
95	07shiny	1
95	Poppy235	1
95	ProbsNotNova	1
95	CalebDHawk	1
95	Soffbord	1
95	Steelynan	1
95	bitsplease	1
95	Kubeusz2010	1
95	SirBreadward	1
95	OfficerAnvil	1
95	HuangMeiHua	1
95	Miko_Fullbuster	1
95	smogfrog	1
95	Smaldo	1
95	OnlyOfficial	1
95	SirDodgyBob	1
95	Benrouge	1
95	TechnoNinja64	1
95	PlasticOtari	1
95	JayToe	1
95	MelodyGaysharks	1
95	Freedrik	1
95	00000000-0000-0000-0009-01f898304150	1
