rank	username	minecraft:picked_up/minecraft:nether_brick
1	Frozil12	93256
2	thewindmillman	87275
3	noam464	35290
4	Hyp3rion_	21597
5	Blaiku	19053
6	Legendosh	8379
7	Freak_Genius	8157
8	lordpipe	4726
9	Snowflowe	3165
10	lizardfightclub	1676
11	Zythose	1616
12	eitanzaki	1599
13	HellsSponge	1322
14	fffMike	1146
15	PigDab	1144
16	joethahobo	1091
17	Di_infiri	1071
18	ApophisNova	1053
18	MyNamaSheff	1053
20	YungMaki	970
21	yulgur1	954
22	Smoke____	853
23	Fullut	839
24	diggydog67	822
25	Kakolbus	784
26	KartivGal	743
27	gcaisawesome	738
28	Spacewardharpy7	705
29	mwrty	667
30	TheShyPig	590
31	Aezekial	510
32	Vorlice	484
33	trixterrx	449
34	beeperbeeper5	406
35	EcksDofficial	399
36	KG1999	385
37	lillips	359
38	jacxhadow	321
39	The_SlideV5	320
40	ProfessorBee	317
41	Mahoose	309
42	Lord_Jord	294
43	starbits140	280
44	Jackattack53	258
45	EcksD	254
46	sadvavilloso	251
47	RobotMinion101	198
48	egglapras	183
48	audiocracked	183
50	Eraxa	168
51	_Virify_	161
52	Winklepicker279	145
53	__tomato	130
54	MakeHistory157	129
55	NotMeanttoChange	128
55	LotusProject	128
55	Kijiki	128
58	Rebytre	127
59	EMC_	124
60	CliffEmAll	121
61	12Magner05	118
61	lcvezra	118
63	pintsizedrogue	86
64	oxfordschool	83
65	Groovy_MoonBird	79
66	rarrq	75
67	Dusk_95	74
68	Deathkob	73
69	Blu3beast	72
70	SuperPooch06	69
70	CalebDHawk	69
72	Powowowow	66
73	Paint	65
74	livingdaydreams	64
74	PegLegPete93	64
74	Lutres_Torane	64
74	Shogunite	64
74	GravitySaint	64
74	kyouma777	64
80	BlancoFlaco	62
80	Jiminie	62
82	ADEXTV	61
83	Kowcio_	59
84	IvarEXE	58
84	jnp_gaming	58
86	Cowison	55
86	Scathra	55
88	T045RTY	52
88	SammiWolfGirl	52
90	ShedJr_	47
91	lotarp	42
92	JitteryJared2	38
93	TheSecondLord	36
94	LexMakesHistory	34
94	00000000-0000-0000-0009-01ff0c3e5e4f	34
96	Luigipunch989	33
97	CharlieButt	28
98	ooga47	27
99	500am	24
100	athereall	23
101	Segotep999	21
102	r123moore	19
103	Master_Kol	18
103	_Magdo_	18
105	fanofbands101	17
105	TheDankPlatypus	17
107	_Boipl_	16
107	EveryonesUncle	16
109	RebelAndroid	13
109	MineMaster0012	13
111	Travasaur	12
112	wobn	11
112	Sral7	11
114	I_Am_Mushkin	10
114	thescout7	10
114	stellarjay	10
114	DennyKai	10
114	Kubeusz2010	10
119	Blackberry1310	9
119	__TheNorseMan__	9
119	ImDisconnected_	9
119	Miko_Fullbuster	9
123	Alteriity	8
123	surfinggiraffejp	8
123	Hylo482y	8
126	xxPipperDipperxx	7
126	ReverendSmith	7
126	AuroraSkies	7
126	PlasticOtari	7
130	Historical_Sand	6
130	_Nuf	6
132	Ardennes	5
133	Bandito_Roamer	4
133	error10101	4
133	CollinMH06	4
133	gabriels543	4
133	SvenskaHugo	4
133	cichy096	4
139	PhantomsGhost_	3
139	Hpdinosaur	3
139	_Razar	3
139	Reamdin	3
139	Myszoaz	3
139	tramizu	3
139	m_be9	3
139	KingEgg1	3
139	Marbz_	3
139	fred870d	3
139	Ezekson	3
150	Sleek_Storm_721	2
150	kekhon	2
150	Kamflame10	2
150	ciemacigans	2
150	Eon_57	2
150	pixelviolin	2
150	UCP_TheKingK	2
150	PortlyPete69	2
150	jcool7	2
150	Steelynan	2
160	Yatitay	1
160	Natty	1
160	Vizzoid	1
160	CyrusIsTired	1
160	The11thDoctor	1
160	Moofyman	1
160	cedric72	1
160	LilLizardWizard	1
160	HoldThatPee	1
160	Akoot_	1
160	420BreadLizard	1
160	Njensen7	1
160	ZeroKraken	1
