rank	username	minecraft:picked_up/minecraft:apple
1	Freak_Genius	7987
2	Spacewardharpy7	3953
3	Hyp3rion_	3507
4	Blackberry1310	1581
5	SammiWolfGirl	1340
6	eitanzaki	1227
7	Smoke____	1218
8	Di_infiri	1054
9	noam464	877
10	Legendosh	777
11	thescout7	708
12	EveryonesUncle	703
13	Frozil12	658
14	jnp_gaming	636
15	TheShyPig	628
16	El_Jalapeno	556
17	HesDemonPants	548
18	Mahoose	457
19	thewindmillman	449
20	kekhon	444
21	m_be9	436
22	Blaiku	389
23	_Virify_	386
24	ROY4LE	381
25	gcaisawesome	379
26	HellsSponge	371
27	CoffeeNoir	340
28	Werbe	339
29	oxfordschool	338
30	TheTrueClipse	337
30	Ezekson	337
32	AssEatrAndLicker	333
33	PhantomsGhost_	320
34	Snowflowe	295
35	PlasticOtari	277
36	Akoot_	275
37	set67	272
38	Onennon	270
39	lillips	268
40	pintsizedrogue	263
41	MyNameIsJobo	249
42	SullyhS	247
43	lordpipe	240
44	joethahobo	238
45	Kakolbus	234
46	Euclidoris	223
46	bloodbiter	223
48	Jovaphobic	212
49	ImpavidArcher	207
50	TechnoNinja64	196
51	CG_xRAMPAGEx	192
52	rarrq	190
52	YungMaki	190
54	2Stout	184
55	LordSpeed37	176
56	Arceus1975	171
57	Hermanni__	170
58	MightyWertu	169
59	fkGrim	161
60	Winklepicker279	160
61	Dogcorn69420	158
62	EcksDofficial	153
63	xxPipperDipperxx	152
64	ooga47	151
65	burbankbuilder28	148
66	NotMeanttoChange	144
66	PigDab	144
68	Bumpy419	137
69	NomadicRobin_	134
69	Eraxa	134
71	Hisiste	132
71	LeeMcGee30	132
71	Enderslayerxz3	132
74	CharlieButt	131
75	Quotary	129
76	RebelAndroid	128
76	Wowful	128
78	beeperbeeper5	125
79	MilleGrug	119
80	Mr_Byzantine	117
81	fffMike	116
82	Wooptey	114
82	Nicserso	114
84	KingMatthew506	113
85	EMC_	112
85	Lord_Jord	112
87	cowgirlkasia	108
88	Fullut	105
89	eiC_	103
90	Marbz_	101
91	Kouridragon	98
92	Inbefour	97
93	anbbang	93
94	Miko_Fullbuster	90
95	EcksD	89
96	Zythose	88
97	awesomeoneme	86
97	The_slideV3	86
99	Malorn_Aetherius	85
99	AlphaWolfPlaysMC	85
101	DarlaMeow	84
102	censorsheep	83
103	XboxPanda	80
103	SlayerCrypto	80
103	_Karmaa	80
103	Racengan	80
107	mariominejedi	79
107	BumbleBeever	79
109	Skylord_Luke	78
110	Kyrum2169	77
111	TheThomas69	75
112	Bandito_Roamer	74
113	Prodiginus	73
113	Kowcio_	73
115	TheSecondLord	72
115	jacxhadow	72
117	FishisTTV	71
118	Ssor69	69
118	MineMaster0012	69
118	djancak	69
121	youhjjhhhjj	68
122	ProfessorBee	67
122	Groundler	67
124	Katsuragi0243218	66
124	sp00ky_ghost977	66
124	Cocoamallows	66
127	MunkaKris	65
127	M_Patata	65
127	PortlyPete69	65
130	TastyPorkchop	64
130	WavyGravy_	64
130	hcb238	64
130	Lil_Breadboy	64
130	HolyVenom	64
130	TheTommyGun63	64
136	500am	62
137	Cowison	61
137	Inchef	61
137	Darkgon	61
137	Blu3beast	61
137	MasterNueve	61
137	Luigipunch989	61
143	IWorkAtIkea	60
144	WyngGoy	59
145	teslawolf38	57
146	Cryptacity	56
146	PlzNoBM	56
148	chipklip	55
149	SuperPooch06	54
149	RadarHz	54
151	TheDankPlatypus	53
151	claivin	53
151	DanTheBuilderino	53
154	Skippeh	52
155	Megarboh	51
155	crying_wolf_13	51
157	Jiminie	48
158	ssleepless	47
158	_Cloverbelle_	47
158	Meatlaugh	47
158	WYFYoyo	47
162	Matemaks2137	46
162	TheFlfthHorseman	46
164	Russiancat1	45
165	Paleshield	44
165	ewsophie	44
165	titanlax	44
165	GingerNeutron	44
169	SteveCraftBlocks	43
169	PeteO1995	43
169	ApophisNova	43
169	selectrix	43
169	Soplight	43
169	MyNamaSheff	43
175	Groovy_MoonBird	42
175	ratglock	42
175	wezzzi	42
178	mwrty	40
178	Drewen24	40
178	avalan64	40
178	Warlord324	40
182	Merv__	39
182	Natofthese	39
182	SpaceGrenadier	39
182	07shiny	39
186	paranoid_plant	38
186	RodSerlingCringe	38
186	OfficerAnvil	38
189	ThePoliteG	37
189	Zaridey	37
189	sebastiensaborio	37
192	ShedJr_	36
192	Historical_Sand	36
192	TableTim	36
192	CollinMH06	36
192	Truckoss	36
197	livingdaydreams	35
197	Hoid_the_Roamer	35
197	masskedman	35
197	DemTechAlpha	35
197	Dusk_95	35
202	ExtraDumb	34
202	Rumpletaezer	34
202	Deathkob	34
205	6king6colt6	33
205	MattieHD	33
205	WET_WET_WET	33
205	Rebytre	33
205	seramalen	33
205	cedric72	33
205	DTwenty	33
205	Xclax101	33
205	Kijiki	33
205	__tomato	33
205	Njensen7	33
216	_Nuf	32
216	2blox	32
218	_Dean_123	31
218	wiqor	31
218	Sral7	31
221	fanofbands101	30
221	Vizzoid	30
221	PegLegPete93	30
221	ReyTheLegend	30
221	lcvezra	30
226	RobotMinion101	29
226	master9067	29
226	MakeHistory157	29
229	Comma__	28
229	Hiryu27	28
229	Nycteus_	28
229	laron58	28
229	Smaldo	28
234	The11thDoctor	27
234	mobunni	27
236	_Razar	26
236	Awyrlas	26
236	CarltheCuck	26
239	_NieToksikpl_	25
239	KarlKaek	25
239	oreee	25
239	Guillemet	25
239	Sky_light_KING	25
239	TheEnderman548	25
245	MixerDixer	24
245	q_wq	24
245	SaucyDark	24
245	BobDeBouwer1337	24
245	r123moore	24
245	gabriels543	24
245	RefluxRatio	24
245	Soap_Bender	24
245	EfficientC52	24
245	SexcMf	24
245	SvenskaHugo	24
245	TheOnlyRake	24
257	SyK7	23
257	Ardennes	23
257	ImDisconnected_	23
257	whoaluv	23
257	Leyna3	23
257	LexMakesHistory	23
257	Lutres_Torane	23
257	Typadopoulos	23
265	T045RTY	22
265	Lumien_	22
265	slkiey	22
265	Nicky19	22
265	jaimshae	22
270	moertymoertan	21
270	Karetoko	21
270	AnnieBathory	21
270	TahkoLive	21
270	_naturell	21
270	brycepants	21
270	Kim_Jong_eel	21
270	wobn	21
270	smogfrog	21
279	Sleek_Storm_721	20
279	TheDefiantDragon	20
279	Ecplosive	20
279	MehmetLeo	20
279	Skomo	20
279	Fuhrer_Teemo	20
279	MissCeleste7	20
286	Nicky_H225	19
286	sufjanlover	19
286	_Bguette_	19
286	ori0le	19
286	Fildyr	19
286	mawileite	19
286	alderban107	19
293	Ailmast	18
293	ColeSnyder	18
293	TooManyDuck	18
293	RatatJuice	18
293	fr0stss	18
293	Jokerman369	18
293	ehunt54	18
293	Purplehere	18
