rank	username	minecraft:picked_up/minecraft:birch_stairs
1	Lez_	1074
2	SuperPooch06	1064
3	EveryonesUncle	998
4	Legendosh	966
5	TheShyPig	853
6	pintsizedrogue	734
7	Freak_Genius	525
8	Smoke____	459
9	rarrq	436
10	Blackberry1310	406
11	Mahoose	333
12	Simon_Lowell	281
13	Russiancat1	228
14	Stiar	225
15	lordpipe	208
16	Dedalus36	206
17	xxPipperDipperxx	186
18	joethahobo	185
19	_Karmaa	175
20	egglapras	171
21	beeperbeeper5	161
22	Akoot_	154
23	El_Jalapeno	152
24	PabloGonza02	148
25	_Cloverbelle_	146
25	Soplight	146
27	phomic	141
28	Wooptey	139
29	Blu3beast	135
30	KarlKaek	134
30	MyNameIsJobo	134
32	Diavri	130
32	BumbleBeever	130
34	_Dean_123	129
35	SkyHighSkier	126
36	lillips	124
37	Eczbek	122
37	Faart	122
39	The11thDoctor	121
40	2Stout	116
41	500am	115
42	EMC_	97
43	kekhon	94
44	Lord_Jord	92
45	Skyler_Diablo	91
46	Ezekson	89
47	IAmTheWalrus910	88
48	Arceus1975	87
49	heckface	86
50	MakeHistory157	84
51	parodypatient	82
52	Ssor69	81
53	ItzYaBoiPicard	79
54	The_slideV3	74
55	Malorn_Aetherius	72
56	ImpavidArcher	71
57	Nicky_H225	70
58	Hoid_the_Roamer	69
59	12Magner05	68
59	h2p_emrld	68
61	ProfessorDiaper	67
61	RoboTramp7865	67
63	ROY4LE	64
63	Rebytre	64
63	TechnoNinja64	64
66	Megarboh	61
66	ooga47	61
68	InfernalMound	60
68	MonitorLizards	60
70	Kryktal	59
71	Jackattack53	58
71	dendydoom	58
73	ApophisNova	56
73	MyNamaSheff	56
75	OnlyOfficial	55
76	Smashic	54
77	Jokerman369	53
77	intropass	53
79	Racengan	52
80	angwla	51
80	Steelynan	51
82	Snowflowe	50
83	Onennon	49
83	MangoSalad316	49
83	cichy096	49
83	EcksDofficial	49
87	CoffeeNoir	47
87	SingedBread	47
87	Eraxa	47
90	Merv__	46
90	Inbefour	46
92	LeauVox4921	45
92	Spacewardharpy7	45
92	anbbang	45
95	SyntheticSurgeon	44
95	bloodbiter	44
95	YungMaki	44
98	LexMakesHistory	43
98	Optiprimus	43
100	jacxhadow	42
101	Vetral1	41
102	SirMinza	40
102	UncreativeArtist	40
102	mwrty	40
105	PlasticOtari	39
106	Yatitay	38
106	titanlax	38
108	smarticuno	37
109	BreadBacon	35
110	PhantomsGhost_	34
111	WET_WET_WET	32
111	Kokeech	32
113	MangoTheFish	31
113	seramalen	31
113	Nicserso	31
116	DBoydart303	29
116	cowgirlkasia	29
118	Austinizzle	28
119	dudcreeper	27
119	Adlair	27
119	NYJ	27
122	littlesophiagirl	26
122	chipklip	26
124	NotTrixi	25
124	Wowful	25
124	jnp_gaming	25
127	TheTrueClipse	24
127	oxfordschool	24
129	diamondgolem35	23
129	Di_infiri	23
129	ChocolatePepsi	23
129	fffMike	23
133	SaucyDark	22
133	Myszoaz	22
133	Frozil12	22
133	MelodyGaysharks	22
137	livingdaydreams	21
137	surfinggiraffejp	21
139	SteveCraftBlocks	20
139	Awyrlas	20
139	Skylord_Luke	20
139	Jiminie	20
139	little_dUki	20
144	swag_bro2004	19
145	pr33tu	18
145	Dali1465	18
145	Inchef	18
145	Werbe	18
145	Deathkob	18
145	560cool	18
145	stahouo	18
152	6king6colt6	17
152	XboxPanda	17
152	RodSerlingCringe	17
152	StinkyDiplomat	17
152	stavgod	17
152	jcool7	17
158	MrBeesMan	16
158	Ryker	16
158	ormkel	16
158	ReverendSmith	16
158	CollinMH06	16
158	NameGenerat0r	16
158	Groundler	16
158	AltnumberF4	16
166	thewindmillman	15
166	07shiny	15
166	SammiWolfGirl	15
169	IWorkAtIkea	14
169	Mariopreeet	14
169	Myhym	14
169	Kubeusz2010	14
169	CattSoup	14
174	thescout7	13
174	YahooScreen9000	13
174	wwwwinnebagoooo	13
174	PortlyPete69	13
178	picardred	12
178	Drewen24	12
178	yulgur1	12
178	fkGrim	12
178	fluddd	12
178	SvenskaHugo	12
178	potatocan	12
185	CaptainSteve345	11
185	CowOfTheNile	11
185	DC_XII	11
185	PuFY	11
185	LilLizardWizard	11
185	420BreadLizard	11
185	stellarjay	11
185	diggydog67	11
193	MinttyFressh	10
193	Nostrom	10
193	LotusProject	10
193	Kubelz	10
193	funnyblitz123	10
193	Hyp3rion_	10
199	bigstankyy	9
199	DukBob	9
199	LetsDoItLive	9
199	NebulousBadger	9
203	The_Great_Jake	8
203	NibPicker	8
203	AnnieBathory	8
203	Zielo2017PL	8
203	KeruNatsema	8
203	BlankityMcBlank	8
209	Iagoku	7
209	TheSecondLord	7
209	Kkanot	7
209	FlashMigma	7
209	561cool	7
214	Sleek_Storm_721	6
214	Sabby65	6
214	tuckerdoodle	6
214	dopplexd	6
214	Motsaro	6
214	AJplaysMC_	6
214	epiksk8erduck	6
214	_Bguette_	6
214	Matorz	6
214	Enderslayerxz3	6
224	NoraTheYandere	5
224	himak1	5
224	CharlieButt	5
224	Chromary	5
224	Maenara	5
224	Blamphe	5
224	monky_irl	5
224	ReyTheLegend	5
224	djancak	5
224	EcksD	5
234	Tommhh	4
234	jimbo61101jr	4
234	awesomeoneme	4
234	CompoundMedic	4
234	ashetrays	4
234	crying_wolf_13	4
234	loveseeker	4
234	fred870d	4
234	lizardfightclub	4
234	tyraxxx	4
234	privatemeekly	4
234	JESS_THE_RERE	4
234	KermitTheKripple	4
234	Garrulous	4
234	SUN_DREAM	4
234	radioactv_jelly	4
234	Nagasaki_Riku	4
234	The_SlideV5	4
252	hollowww	3
252	BlancoFlaco	3
252	Historical_Sand	3
252	Swalt	3
252	Atroxes	3
252	Zedducius	3
252	ChillenChiggen	3
252	burbankbuilder28	3
252	Hiryu27	3
252	Kynigito	3
252	_bruhhhhh	3
252	victorLIE	3
252	brycepants	3
252	Blaiku	3
252	Jij0	3
252	Winston_Ingram	3
252	ScarmedLeft	3
252	Sral7	3
252	Umbreon900	3
271	Tobinator_007	2
271	Mr_Byzantine	2
271	HollieDaNugget	2
271	jimintyy	2
271	Jackster03	2
271	ccormacs	2
271	Otto_chan	2
271	BilboBaggins23	2
271	Frach23	2
271	paranoid_plant	2
271	noam464	2
271	RustyKedel	2
271	BlueZabu	2
271	Bazongoman	2
271	JitteryJared2	2
271	_Buffo	2
271	pappaberg	2
271	Parcc	2
271	regulator75	2
271	Bumpy419	2
271	MustardDrinker	2
271	RobotMinion101	2
271	thgrocks	2
271	stuy9	2
271	Gryglu583	2
271	Quinasin	2
271	Fuhrer_Teemo	2
271	voiding_	2
271	bloomkieren	2
271	Phoenix_Diacou	2
