rank	username	minecraft:picked_up/minecraft:blue_shulker_box
1	thewindmillman	2961
2	Snowflowe	2443
3	Skippeh	971
4	12Magner05	838
5	Soplight	792
6	kekhon	767
7	Blaiku	716
8	vandmanden	650
9	HellsSponge	622
10	thescout7	616
11	pintsizedrogue	572
12	EcksD	567
13	Shogunite	338
14	jcool7	335
15	TheShyPig	316
16	EveryonesUncle	312
17	Jovaphobic	311
18	Hyp3rion_	309
19	Ezekson	306
20	Di_infiri	303
21	Blackberry1310	285
22	Enderxz3	281
23	YungMaki	280
24	claivin	269
25	pixelviolin	257
26	gusstationwerker	256
27	Kyrum2169	241
28	lordpipe	238
29	Zythose	232
30	PlasticOtari	215
31	_Virify_	208
32	Spacewardharpy7	195
33	ConnorDanky_	187
34	fr_ser	182
34	MustaLoordi	182
36	joethahobo	178
36	F_Uhre	178
38	beeperbeeper5	174
38	Bumpy419	174
40	TheDankPlatypus	173
41	set67	172
42	Groundler	170
43	Jimb0nat0r	168
44	DarlaMeow	167
44	Powowowow	167
46	Megarboh	164
47	TheSecondLord	149
47	Mattesco	149
49	Lez_	146
50	Frozil20	141
51	MyNameIsJobo	136
51	fluddd	136
53	__tomato	133
54	Xclax101	124
55	DemTechAlpha	122
56	Awyrlas	116
57	Deathkob	110
58	little_dUki	108
59	fade_emerge78823	107
60	rarrq	106
60	Steelynan	106
62	KarlKaek	105
63	diggydog67	99
64	WyngGoy	98
65	CornOnTheCobalt	92
66	PhantomsGhost_	91
66	mwrty	91
66	MAns_44	91
69	lorpus	89
69	TechnoNinja64	89
71	noam464	88
71	1442	88
73	Jackster03	87
74	T045RTY	86
74	Werbe	86
74	luseis	86
77	teslawolf38	83
78	Warlord324	82
79	ImpavidArcher	81
80	gcaisawesome	79
80	Legendosh	79
82	Winklepicker279	78
82	Fuhrer_Teemo	78
84	Lord_Jord	73
85	Ecplosive	72
85	wezzzi	72
87	TheSeismicDuck	71
87	Nicserso	71
89	eitanzaki	70
90	500am	69
90	Jackattack53	69
92	Froste131	68
92	Z3braYTIL	68
92	bladeefan2009	68
95	jnp_gaming	67
96	Kubeusz2010	66
97	ZeroKraken	65
98	Huwulling	64
98	Tyrannosplart	64
98	NameGenerat0r	64
101	RoofTyler	62
101	MS_Pryxx	62
103	GlitchyPlate810	57
104	surfinggiraffejp	56
105	r123moore	55
105	The_Quack_Dealer	55
107	Quincannon	53
107	Blu3beast	53
109	eviltunix	50
109	sp00ky_ghost977	50
111	NinjaKnifeKill	46
111	H72l9w	46
111	brofrickcheaters	46
114	XboxPanda	43
114	Chromary	43
114	ClemenPine	43
114	SammiWolfGirl	43
118	ayamefag	42
119	_Nuf	41
119	Voxin2K	41
119	OffWithTheirHead	41
119	Eraxa	41
123	Hpdinosaur	40
123	Fullut	40
123	obzii	40
126	RealGroot	39
127	Kowcio_	37
127	fffMike	37
129	Merv__	36
129	bpmm	36
129	lillips	36
129	Airem_Core	36
133	soundad	35
133	07shiny	35
135	_8man	34
136	Myszoaz	33
136	ogoa	33
138	Hiryu27	32
139	mariominejedi	31
140	FreakGenius	30
141	Smashic	29
141	The_slideV3	29
141	tsitrawhy	29
144	Lukeee33	28
144	ApophisNova	28
144	GoofySilly	28
144	Fizznut909	28
144	MyNamaSheff	28
149	jushykins	27
150	voiding_	26
151	CadenSteele	25
151	Jakobo1337	25
151	OG_Songsee	25
154	chipklip	24
154	redikul	24
154	Zaridey	24
154	cedric72	24
154	Akoot_	24
154	Dreamdbr14	24
160	the__Reaper4999	23
161	SaucyDark	22
161	titanlax	22
