rank	username	minecraft:picked_up/minecraft:blue_shulker_box
1	thewindmillman	2961
2	Snowflowe	2443
3	Skippeh	971
4	12Magner05	842
5	Soplight	792
6	kekhon	767
7	Blaiku	716
8	vandmanden	650
9	HellsSponge	622
10	thescout7	616
11	pintsizedrogue	592
12	EcksD	568
13	Hyp3rion_	350
14	Shogunite	338
15	jcool7	335
16	TheShyPig	316
17	EveryonesUncle	312
18	Jovaphobic	311
19	Ezekson	309
20	Di_infiri	303
21	Enderxz3	287
22	Blackberry1310	285
23	YungMaki	281
24	pixelviolin	273
25	claivin	269
26	gusstationwerker	256
27	Kyrum2169	241
28	lordpipe	238
29	Zythose	232
30	PlasticOtari	215
31	_Virify_	208
32	Spacewardharpy7	195
33	ConnorDanky_	187
34	fr_ser	182
34	MustaLoordi	182
36	Jimb0nat0r	181
37	joethahobo	179
38	beeperbeeper5	178
38	F_Uhre	178
40	Bumpy419	174
41	TheDankPlatypus	173
42	set67	172
43	Groundler	170
44	DarlaMeow	167
44	Powowowow	167
46	Megarboh	164
47	Lez_	160
48	TheSecondLord	152
49	Mattesco	150
50	Frozil20	141
51	MyNameIsJobo	136
51	fluddd	136
53	__tomato	133
54	Xclax101	124
55	DemTechAlpha	122
56	Awyrlas	116
57	Deathkob	110
58	little_dUki	108
59	fade_emerge78823	107
60	rarrq	106
60	Steelynan	106
62	KarlKaek	105
63	diggydog67	99
64	WyngGoy	98
65	MAns_44	96
66	CornOnTheCobalt	92
67	PhantomsGhost_	91
67	mwrty	91
69	lorpus	89
69	TechnoNinja64	89
71	noam464	88
71	luseis	88
71	1442	88
74	Jackster03	87
75	T045RTY	86
75	Werbe	86
77	teslawolf38	83
78	Warlord324	82
79	ImpavidArcher	81
79	Legendosh	81
81	gcaisawesome	79
82	Winklepicker279	78
82	Fuhrer_Teemo	78
84	Lord_Jord	73
85	Ecplosive	72
85	wezzzi	72
87	TheSeismicDuck	71
87	Nicserso	71
89	eitanzaki	70
89	Jackattack53	70
91	500am	69
92	Froste131	68
92	Z3braYTIL	68
92	bladeefan2009	68
95	jnp_gaming	67
96	Kubeusz2010	66
97	ZeroKraken	65
98	Huwulling	64
98	Tyrannosplart	64
98	NameGenerat0r	64
101	RoofTyler	63
102	MS_Pryxx	62
103	GlitchyPlate810	57
104	surfinggiraffejp	56
105	r123moore	55
105	The_Quack_Dealer	55
107	Quincannon	53
107	Blu3beast	53
109	eviltunix	50
109	sp00ky_ghost977	50
111	NinjaKnifeKill	46
111	H72l9w	46
111	brofrickcheaters	46
114	Kowcio_	45
115	XboxPanda	43
115	Chromary	43
115	ClemenPine	43
115	SammiWolfGirl	43
119	ayamefag	42
120	_Nuf	41
120	Voxin2K	41
120	OffWithTheirHead	41
120	Eraxa	41
124	Hpdinosaur	40
124	Fullut	40
124	RealGroot	40
124	obzii	40
128	fffMike	37
129	Merv__	36
129	bpmm	36
129	lillips	36
129	Airem_Core	36
133	soundad	35
133	07shiny	35
135	_8man	34
136	Myszoaz	33
136	ogoa	33
138	Hiryu27	32
139	mariominejedi	31
140	Smashic	30
140	FreakGenius	30
142	The_slideV3	29
142	tsitrawhy	29
144	Lukeee33	28
144	ApophisNova	28
144	GoofySilly	28
144	Fizznut909	28
144	MyNamaSheff	28
149	jushykins	27
150	voiding_	26
151	CadenSteele	25
151	Jakobo1337	25
151	OG_Songsee	25
154	chipklip	24
154	redikul	24
154	Zaridey	24
154	cedric72	24
154	Akoot_	24
154	Dreamdbr14	24
160	the__Reaper4999	23
161	SaucyDark	22
161	titanlax	22
