rank	username	minecraft:picked_up/minecraft:golden_leggings
1	Hyp3rion_	206
2	thewindmillman	124
3	joethahobo	57
4	FreakGenius	55
5	Smoke____	53
6	Mahoose	49
7	TechnoNinja64	47
8	Fullut	42
8	Spacewardharpy7	42
10	Blackberry1310	40
11	PigDab	34
11	Ezekson	34
13	luseis	33
13	PlasticOtari	33
15	Blaiku	32
16	Akoot_	31
17	EveryonesUncle	29
18	kekhon	27
18	TheShyPig	27
20	beeperbeeper5	26
20	noam464	26
20	Kakolbus	26
20	Kowcio_	26
20	RealGroot	26
25	eviltunix	24
26	pintsizedrogue	23
27	rarrq	22
27	TheSecondLord	22
27	HellsSponge	22
27	Enderxz3	22
31	SingedBread	21
32	Di_infiri	20
32	YungMaki	20
32	djancak	20
35	ShedJr_	18
36	Historical_Sand	16
36	ConnorDanky_	16
38	jacxhadow	15
38	El_Jalapeno	15
40	RebelAndroid	14
40	eitanzaki	14
40	Kamflame10	14
40	selectrix	14
40	censorsheep	14
40	bloomkieren	14
46	Tommhh	13
46	Awyrlas	13
46	whoaluv	13
46	NomadicRobin_	13
46	Racengan	13
46	Eraxa	13
46	Steelynan	13
53	KarlKaek	12
53	ImpavidArcher	12
53	Deathkob	12
53	lillips	12
53	sp00ky_ghost977	12
58	thescout7	11
58	Jackattack53	11
58	pixelviolin	11
58	Njensen7	11
58	Legendosh	11
63	Cowison	10
63	EMC_	10
63	Lez_	10
63	500am	10
63	Yirtle	10
63	himak1	10
63	lordpipe	10
63	SammiWolfGirl	10
63	laron58	10
63	RadarHz	10
63	diggydog67	10
74	Sleek_Storm_721	9
74	12Magner05	9
74	Smashic	9
74	gcaisawesome	9
74	Arceus1975	9
74	Zythose	9
74	NoChumpChange	9
74	Deerfoot	9
82	Frozil20	8
82	livingdaydreams	8
82	MyNameIsJobo	8
82	aec9	8
82	_Bguette_	8
82	ebanana	8
82	StinkyDiplomat	8
82	MAns_44	8
82	monky_irl	8
82	gusstationwerker	8
82	fffMike	8
82	Iamthejo	8
82	jnp_gaming	8
95	Groovy_MoonBird	7
95	BlancoFlaco	7
95	set67	7
95	4774	7
95	gabriels543	7
95	ApophisNova	7
95	SaintJosie	7
95	binman420	7
95	Inbefour	7
95	Katsuragi0243218	7
95	Blu3beast	7
95	ProfessorDiaper	7
95	Warlord324	7
95	mihimihimihi	7
95	ItsDeltaMC	7
95	KingMatthew506	7
95	Hermanni__	7
95	Skippeh	7
95	MyNamaSheff	7
95	00000000-0000-0000-0009-01ff0c3e5e4f	7
115	Merv__	6
115	Ryker	6
115	CoffeeNoir	6
115	_Dean_123	6
115	slkiey	6
115	xxPipperDipperxx	6
115	platinumzero	6
115	Winklepicker279	6
115	Snowflowe	6
115	Werbe	6
115	GoofySilly	6
115	SkateboardR6	6
115	Kura2218	6
115	Luigipunch989	6
115	LeeMcGee30	6
115	tartanboy	6
115	h2p_emrld	6
132	Bandito_Roamer	5
132	NatalieTW	5
132	fanofbands101	5
132	q_wq	5
132	I_Am_Mushkin	5
132	ExtraDumb	5
132	SquadMonster	5
132	CliffEmAll	5
132	jushykins	5
132	BilboBaggins23	5
132	r123moore	5
132	fr_ser	5
132	_Boipl_	5
132	F_Uhre	5
132	Lord_Jord	5
132	fw3xywashere	5
132	Tyrannosplart	5
132	MyNameIsDakar	5
132	NameGenerat0r	5
132	Groundler	5
132	Fildyr	5
132	Hisiste	5
132	NotMeowMix	5
132	kyouma777	5
132	07shiny	5
132	Kijiki	5
132	lcvezra	5
132	SpacesickPrism	5
132	Kferno	5
132	Rainaldus	5
132	Kubeusz2010	5
132	Quotary	5
132	smogfrog	5
132	xolstoi	5
166	Jovaphobic	4
166	SmashingPump	4
166	Killercatty78	4
166	tuckerdoodle	4
166	T045RTY	4
166	Myszoaz	4
166	fr0stss	4
166	TheMaster972	4
166	cheerytomato	4
166	zorin123	4
166	UncreativeArtist	4
166	mimbo1211	4
166	TheDankPlatypus	4
166	burbankbuilder28	4
166	CrateOfBoxes	4
166	Hiryu27	4
166	ougstur	4
166	KeruNatsema	4
166	Leyna3	4
166	420BreadLizard	4
166	Lord_Zacler	4
166	LexMakesHistory	4
166	Quincannon	4
166	Shogunite	4
166	claivin	4
166	DanTheBuilderino	4
166	Xclax101	4
166	wwwwinnebagoooo	4
166	Soplight	4
166	Nekomin0	4
166	MilleGrug	4
166	Eczbek	4
166	EcksD	4
166	Lowjinx	4
166	2bolx_	4
201	MunkaKris	3
201	Paint	3
201	dimondking777	3
201	teslawolf38	3
201	Yatitay	3
201	KingFaenor	3
201	diamondgolem35	3
201	Creativebuilder2	3
201	SaucyDark	3
201	Wooptey	3
201	youhjjhhhjj	3
201	SyntheticSurgeon	3
201	Huwulling	3
201	NinjaKnifeKill	3
201	NieToksikpl	3
201	bloodbiter	3
201	m_be9	3
201	MinttyFressh	3
201	corvidpartyfor6	3
201	shyshyannne	3
201	Kkanot	3
201	orxngejuice	3
201	Inchef	3
201	Xalithia	3
201	ROY4LE	3
201	CharlieButt	3
201	M_Patata	3
201	ReverendSmith	3
201	nitram49b	3
201	SuperPooch06	3
201	Rumpletaezer	3
201	Nope______	3
201	DaviusMaximoose	3
201	LAVA129	3
201	andy_rex	3
201	RyuNeko932000	3
201	MangoTheFish	3
201	WarMachina	3
201	Bumpy419	3
201	TheWildMateo	3
201	ooga47	3
201	Mattesco	3
201	AlexxO_o	3
201	zToasty69z	3
201	Kim_Jong_eel	3
201	AuroraSkies	3
201	AlphaWolfPlaysMC	3
201	ogoa	3
201	XxCookiequeenxX	3
201	rotten_mango	3
201	KlausVonStiglitz	3
201	DarkS0L	3
201	Darkgon	3
201	DarlaMeow	3
201	Cyntrical	3
201	Barlycorn	3
201	MS_Pryxx	3
201	lolpoottoot	3
201	Dusk_95	3
201	NebulousBadger	3
201	brofrickcheaters	3
201	tsitrawhy	3
201	DennyKai	3
201	Dreamdbr14	3
201	EngagedGrub41	3
201	cichy096	3
201	FishisTTV	3
268	TheBiggestFeller	2
268	RosaDoesMC	2
268	seanitoo	2
268	_Virify_	2
268	Mr_Byzantine	2
268	RoskobiOne	2
268	soundad	2
268	Wolf_Mauler_73	2
268	Jindong	2
268	bigstankyy	2
268	Hyugo	2
268	DinoDoctor_	2
268	Hpdinosaur	2
268	Flores991	2
268	openatheclose	2
268	Alteriity	2
268	Natty	2
268	TAKrules	2
268	Jackster03	2
268	Prismyst	2
268	MrKrabOnCoke	2
268	EliteTrashPanda_	2
268	Cartoonmaniac	2
268	Da_Boss_Rani	2
268	Ssor69	2
268	Ozixar	2
268	Crowman1	2
268	Auseawesome	2
268	ratglock	2
268	NasdaqCrash	2
268	Comma__	2
268	Nicky_H225	2
268	Ravenbie	2
