rank	username	minecraft:picked_up/minecraft:golden_boots
1	thewindmillman	139
2	joethahobo	84
3	Hyp3rion_	79
4	Mahoose	67
5	TechnoNinja64	63
6	Smoke____	57
7	Fullut	46
8	rarrq	40
8	Akoot_	40
10	kekhon	39
10	Spacewardharpy7	39
12	Freak_Genius	38
13	Ezekson	37
14	beeperbeeper5	36
14	PlasticOtari	36
16	pintsizedrogue	35
17	Di_infiri	33
18	Blackberry1310	29
19	RebelAndroid	28
19	SingedBread	28
21	eviltunix	27
22	censorsheep	26
23	PigDab	25
24	eitanzaki	23
24	TheSecondLord	23
26	ShedJr_	22
26	thescout7	22
26	YungMaki	22
26	djancak	22
30	TheShyPig	21
30	Jiminie	21
32	Enderslayerxz3	20
33	Blaiku	19
34	gcaisawesome	18
34	EveryonesUncle	18
34	HellsSponge	18
34	fffMike	18
38	Jovaphobic	17
38	Deathkob	17
38	El_Jalapeno	17
38	Frozil12	17
38	lordpipe	17
43	Historical_Sand	16
43	Zythose	16
43	Segotep999	16
43	SammiWolfGirl	16
47	noam464	15
47	Kowcio_	15
49	PhantomsGhost_	14
49	Tommhh	14
49	Jackattack53	14
49	Eraxa	14
53	xxPipperDipperxx	13
53	Kakolbus	13
53	monky_irl	13
53	pixelviolin	13
53	bloomkieren	13
53	oxfordschool	13
59	Kamflame10	12
59	set67	12
59	himak1	12
59	M_Patata	12
59	Winklepicker279	12
59	MyNameIsJobo	12
59	NomadicRobin_	12
59	EcksD	12
59	h2p_emrld	12
68	soundad	11
68	teslawolf38	11
68	T045RTY	11
68	whoaluv	11
68	Snowflowe	11
68	selectrix	11
68	RodSerlingCringe	11
68	Lord_Jord	11
68	Njensen7	11
68	Steelynan	11
78	EMC_	10
78	Sleek_Storm_721	10
78	Katsuragi0243218	10
78	MasterNueve	10
82	Wooptey	9
82	Inchef	9
82	platinumzero	9
82	ebanana	9
82	Hisiste	9
82	MilleGrug	9
82	Kubeusz2010	9
82	laron58	9
82	Skippeh	9
82	Miko_Fullbuster	9
82	Quotary	9
82	jnp_gaming	9
94	KarlKaek	8
94	bloodbiter	8
94	12Magner05	8
94	BilboBaggins23	8
