rank	username	minecraft:picked_up/minecraft:golden_boots
1	thewindmillman	138
2	joethahobo	84
3	Hyp3rion_	79
4	Mahoose	64
5	TechnoNinja64	63
6	Smoke____	57
7	Fullut	46
8	rarrq	40
9	Spacewardharpy7	39
10	kekhon	38
10	Freak_Genius	38
12	Akoot_	37
12	Ezekson	37
14	beeperbeeper5	36
15	pintsizedrogue	35
16	Di_infiri	33
17	PlasticOtari	30
18	Blackberry1310	29
19	RebelAndroid	28
19	SingedBread	28
21	eviltunix	27
22	censorsheep	26
23	PigDab	25
24	eitanzaki	23
24	TheSecondLord	23
26	ShedJr_	22
26	thescout7	22
26	djancak	22
29	TheShyPig	21
30	YungMaki	20
30	Enderslayerxz3	20
32	Jiminie	19
32	Blaiku	19
34	gcaisawesome	18
34	EveryonesUncle	18
34	HellsSponge	18
34	fffMike	18
38	Jovaphobic	17
38	Deathkob	17
38	El_Jalapeno	17
38	Frozil12	17
38	lordpipe	17
43	Historical_Sand	16
43	Zythose	16
43	Segotep999	16
43	SammiWolfGirl	16
47	noam464	15
47	Kowcio_	15
49	PhantomsGhost_	14
49	Tommhh	14
49	Jackattack53	14
49	Eraxa	14
53	xxPipperDipperxx	13
53	Kakolbus	13
53	monky_irl	13
53	pixelviolin	13
53	bloomkieren	13
53	oxfordschool	13
59	Kamflame10	12
59	set67	12
59	himak1	12
59	M_Patata	12
59	Winklepicker279	12
59	MyNameIsJobo	12
59	NomadicRobin_	12
59	EcksD	12
59	h2p_emrld	12
68	soundad	11
68	teslawolf38	11
68	T045RTY	11
68	whoaluv	11
68	Snowflowe	11
68	selectrix	11
68	RodSerlingCringe	11
68	Lord_Jord	11
68	Steelynan	11
77	EMC_	10
77	Sleek_Storm_721	10
77	Katsuragi0243218	10
77	MasterNueve	10
77	Njensen7	10
82	Wooptey	9
82	Inchef	9
82	platinumzero	9
82	ebanana	9
82	Hisiste	9
82	MilleGrug	9
82	Kubeusz2010	9
82	laron58	9
82	Skippeh	9
82	Miko_Fullbuster	9
82	Quotary	9
82	jnp_gaming	9
94	KarlKaek	8
94	bloodbiter	8
94	12Magner05	8
94	BilboBaggins23	8
94	Kkanot	8
94	2Stout	8
94	Rebytre	8
94	Lord_Zacler	8
94	Xclax101	8
94	Racengan	8
94	NotMeowMix	8
94	Spenduh	8
106	fanofbands101	7
106	ExtraDumb	7
106	ImpavidArcher	7
106	Cambo5000	7
106	Awyrlas	7
106	gabriels543	7
106	Rumpletaezer	7
106	Arceus1975	7
106	Bumpy419	7
106	ApophisNova	7
106	aec9	7
106	sp00ky_ghost977	7
106	stahouo	7
106	Kferno	7
106	MyNamaSheff	7
106	Legendosh	7
122	Groovy_MoonBird	6
122	Bandito_Roamer	6
122	_Virify_	6
122	Cowison	6
122	_stets	6
122	Drlzyy	6
122	Merv__	6
122	diamondgolem35	6
122	Ryker	6
122	titanlax	6
122	_Dean_123	6
122	500am	6
122	egglapras	6
122	fr_ser	6
122	SuperPooch06	6
122	Chromary	6
122	fred870d	6
122	ToastedGamingYT	6
122	masskedman	6
122	Meatlaugh	6
122	Shogunite	6
122	Blu3beast	6
122	Fildyr	6
122	CalebDHawk	6
122	Hermanni__	6
122	tartanboy	6
122	RadarHz	6
122	diggydog67	6
122	00000000-0000-0000-0009-01f898304150	6
