rank	username	minecraft:picked_up/minecraft:blackstone
1	thewindmillman	74868
2	Smoke____	32884
3	Blaiku	31967
4	lizardfightclub	29246
5	Snowflowe	23347
6	TheSecondLord	21522
7	Zythose	20874
8	NomadicRobin_	19713
9	RebelAndroid	19470
10	noam464	18981
11	Enderslayerxz3	17088
12	EveryonesUncle	13477
13	beeperbeeper5	12879
14	EcksD	12819
15	Winklepicker279	11540
16	Cowison	10947
17	rarrq	10783
18	Deathkob	10488
19	Strangemonkey71	10298
20	pintsizedrogue	9742
21	Legendosh	8937
22	Kakolbus	8647
23	eitanzaki	8394
24	mwrty	8159
25	himak1	7931
26	ogoa	7372
27	12Magner05	6769
28	Freak_Genius	6582
29	gcaisawesome	6406
30	Spacewardharpy7	6377
31	Fullut	5970
32	Blackberry1310	5871
33	PigDab	5754
34	set67	5588
35	Dedalus36	5127
36	500am	4899
37	Dusk_95	4837
38	SingedBread	4657
39	TheShyPig	4534
40	YungMaki	4530
41	Werbe	4405
41	AssEatrAndLicker	4405
43	Kowcio_	4236
44	kekhon	4121
45	Yatitay	3815
46	OtariCharlie	3414
47	lillips	3404
48	Awyrlas	3292
49	joethahobo	3111
50	Eraxa	2774
51	FishyBoy3811	2750
52	CoffeeNoir	2577
53	ApophisNova	2516
53	MyNamaSheff	2516
55	Natofthese	2343
56	Ezekson	2222
57	SkateboardR6	2189
58	Di_infiri	2176
59	CalebDHawk	2174
60	gustarbite	2163
61	Lord_Jord	2116
62	burbankbuilder28	2073
63	Shogunite	2008
64	KeruNatsema	1797
65	djancak	1729
66	T045RTY	1708
67	Hermanni__	1657
68	fffMike	1610
69	BobDeBouwer1337	1528
70	XboxPanda	1505
71	r123moore	1448
72	RadarHz	1411
73	jacxhadow	1347
74	Miko_Fullbuster	1329
75	Kubeusz2010	1275
76	_Virify_	1265
77	fanofbands101	1229
78	ProfessorDiaper	1219
79	benediktine1	1162
80	jnp_gaming	1153
81	Mahoose	1109
82	CliffEmAll	1103
83	Groovy_MoonBird	1090
83	NameGenerat0r	1090
85	Hiryu27	1081
86	BlancoFlaco	1072
87	MSK__	1043
88	SuperPooch06	1004
89	monky_irl	981
90	bigstankyy	962
91	Akoot_	938
92	KartivGal	883
93	DemTechAlpha	857
94	livingdaydreams	792
95	Wooptey	790
96	Spenduh	770
97	Paint	767
98	07shiny	744
99	soundad	720
100	Nycteus_	707
101	Hpdinosaur	704
102	ooga47	681
103	_NieToksikpl_	677
104	Xalithia	670
105	PhantomsGhost_	666
106	IvarEXE	665
107	Racengan	661
108	theonlymagikarp	655
109	SammiWolfGirl	653
110	Frozil12	649
111	LotusProject	635
112	KG1999	622
113	The_Fulgurator	607
113	_Karmaa	607
115	hm947	582
116	Ze_BaronKrigler	570
117	EcksDofficial	562
118	MissCeleste7	535
119	Hyp3rion_	530
120	Merv__	528
121	NoChumpChange	510
122	PortlyPete69	509
123	whoaluv	506
124	fred870d	497
125	MAns_44	486
126	Luigipunch989	485
127	6king6colt6	483
128	HellsSponge	481
128	sebastiensaborio	481
130	Historical_Sand	469
131	ShedJr_	458
132	Razzgriz	450
133	nataliecool	429
134	_Boipl_	427
135	xxPipperDipperxx	416
136	Inchef	412
137	Chromary	405
138	Kegradigm	401
139	King_Pancake1	388
140	titanlax	379
141	sp00ky_ghost977	373
142	_Yonk_	369
143	masskedman	368
144	Arceus1975	367
144	tartanboy	367
146	HolyVenom	361
147	GlitchyPlate810	350
148	Soplight	343
149	NinjaKnifeKill	341
150	ReverendSmith	336
151	HesDemonPants	333
152	Erased_Identity	327
153	DarlaMeow	326
154	oxfordschool	325
155	mimbo1211	324
156	Myszoaz	315
157	thescout7	312
158	ImpavidArcher	309
159	noodlepack	308
160	brofrickcheaters	307
161	bloodbiter	304
162	JEWISHBadenBeele	301
163	obzii	287
164	GravitySaint	285
165	Myrlewen	283
166	anbbang	280
167	KliBeast21	277
168	M_Patata	271
168	MasterNueve	271
170	pixelviolin	269
171	SteveCraftBlocks	267
172	q_wq	265
173	trixterrx	258
174	MightyWertu	257
175	diggydog67	254
176	AltnumberF4	251
177	NotMeowMix	246
178	KnightmareD	244
179	egglapras	242
180	Decaying_Lotus	240
181	teslawolf38	232
182	ROY4LE	230
183	pumpfonzo	229
184	_Razar	224
184	MinttyFressh	224
184	Truckoss	224
187	MyNameIsDakar	214
188	trexgb	212
189	I_Am_Mushkin	210
190	Gab4101	207
191	PuFY	200
192	Windo_licker	192
193	TheEnderman548	188
194	UltraZombie	182
195	MixerDixer	178
195	Sleek_Storm_721	178
197	Kossac	168
198	Njensen7	165
199	Skylord_Luke	164
200	DanTheBuilderino	162
201	SvenskaHugo	160
202	censorsheep	158
203	Wolf_Mauler_73	157
203	IdeallyGrey	157
205	Sheldor097	154
205	Eczbek	154
207	tramizu	153
208	_Dean_123	147
209	Rocco_Lane	146
210	AuroraValkyrie	144
211	CACTUSLAD	142
212	TheTommyGun63	141
213	fluddd	134
214	SquadMonster	133
215	Dreamdbr14	130
216	gabriels543	129
217	HAIRYCLOUD626	128
218	ExtraDumb	126
219	DeGodz4life	120
220	PegLegPete93	115
221	MangoTheFish	113
222	jushykins	112
223	Jackattack53	111
223	Quotary	111
223	2blox	111
226	striker90333	110
227	Lumien_	109
228	WyngGoy	107
229	gaziter10	105
230	Flores991	102
230	CharlieButt	102
230	VentiHilton	102
233	Ardennes	100
234	Nesquiczek	98
235	ratglock	97
236	m_be9	93
237	HyperCave	89
237	MineMaster0012	89
239	mariominejedi	87
239	AssFullaCum	87
241	EfficientC52	86
242	Swexti	84
243	h2p_emrld	81
244	EMC_	79
244	LexMakesHistory	79
246	YoshikageBites	77
247	YungJakobo	76
247	CollinMH06	76
247	Lil_Breadboy	76
250	JohnnyFyes	75
250	Chuvacevedo	75
252	MeetTheWollo	71
253	FishisTTV	70
254	orxngejuice	69
254	ItzWqlfy	69
254	remmisrat	69
257	Steven1282598	67
258	Drlzyy	66
258	Z3braYTIL	66
260	bpmm	64
260	Syropatathe	64
260	Vorlice	64
263	Covalents	63
263	fxiryglitch	63
263	Maenara	63
266	JingleLizi	62
267	Jovaphobic	60
267	NotTrixi	60
269	ZeroKraken	57
270	diamondgolem35	55
270	RodSerlingCringe	55
272	4383	54
273	lotarp	53
273	CyrusIsTired	53
273	crying_wolf_13	53
273	yulgur1	53
277	chimpmunker	51
277	bee_gorl	51
279	Zoeyfortnite	50
280	SlayerCrypto	47
281	Travasaur	44
281	tortillatitan	44
283	pappaberg	43
283	Jordan_R	43
285	__TheNorseMan__	42
286	breadbowlgamer	40
286	GlitchMixed	40
286	MilleGrug	40
289	Billious	39
290	Krasnal1337	38
291	lordpipe	37
292	mobunni	36
293	TheFlfthHorseman	34
293	Chickenchaser2	34
295	SirBreadward	33
296	ebanana	32
296	bluefragmentt	32
296	Nagasaki_Riku	32
299	jiggywraps	31
299	Optiprimus	31
