rank	username	minecraft:picked_up/minecraft:leather_chestplate
1	Mahoose	52
2	thewindmillman	46
3	joethahobo	43
4	Smashic	42
5	AdmiralSmoke	40
6	kekhon	36
7	beeperbeeper5	35
8	pintsizedrogue	32
8	FreakGenius	32
10	PlasticOtari	31
11	luseis	29
11	Kowcio_	29
13	Ezekson	28
14	Blackberry1310	27
15	Fullut	26
15	Di_infiri	26
15	Akoot_	26
15	Soplight	26
15	TechnoNinja64	26
20	Lez_	25
20	TheSecondLord	25
20	Xclax101	25
23	Spacewardharpy7	23
24	4774	21
24	TheShyPig	21
24	El_Jalapeno	21
27	Jackattack53	20
27	SingedBread	20
27	djancak	20
27	Kubeusz2010	20
31	noam464	18
31	MyNameIsJobo	18
31	YungMaki	18
34	_Virify_	17
34	Hyp3rion_	17
34	ConnorDanky_	17
34	Enderxz3	17
38	Eraxa	16
38	SvenskaHugo	16
40	eitanzaki	15
40	Blaiku	15
40	pixelviolin	15
43	PigDab	14
43	Lord_Jord	14
43	Segotep999	14
46	SteveCraftBlocks	13
46	EveryonesUncle	13
46	HellsSponge	13
46	StinkyDiplomat	13
46	lordpipe	13
51	rarrq	12
51	500am	12
51	himak1	12
51	Kakolbus	12
51	Chromary	12
51	Legendosh	12
57	Frozil20	11
57	Winklepicker279	11
57	Zythose	11
57	Rebytre	11
57	selectrix	11
57	Deathkob	11
63	EMC_	10
63	ShedJr_	10
63	Snowflowe	10
63	Werbe	10
63	Tyrannosplart	10
63	Steelynan	10
69	Huwulling	9
69	fr0stss	9
69	12Magner05	9
69	thescout7	9
69	oscminus	9
69	ooga47	9
69	claivin	9
69	EcksD	9
69	xolstoi	9
78	CLG_Kata	8
78	Merv__	8
78	Sleek_Storm_721	8
78	ImpavidArcher	8
78	RebelAndroid	8
78	fr_ser	8
78	SammiWolfGirl	8
78	MilleGrug	8
78	jnp_gaming	8
87	PhantomsGhost_	7
87	teslawolf38	7
87	T045RTY	7
87	jessewegottacook	7
87	H72l9w	7
87	Kamflame10	7
87	censorsheep	7
87	sp00ky_ghost977	7
87	UCP_TheKingK	7
87	_i_ERROR_i_	7
87	Hermanni__	7
87	laron58	7
99	jacxhadow	6
99	excelsionprime	6
99	Kkanot	6
99	IforgotCS_Source	6
99	xxPipperDipperxx	6
99	platinumzero	6
99	M_Patata	6
99	mariominejedi	6
99	Onennon	6
99	Mattesco	6
99	lizardfightclub	6
99	lillips	6
99	Manaateee	6
99	Deerfoot	6
99	MAns_44	6
99	Blu3beast	6
99	Warlord324	6
99	monky_irl	6
99	MasterNueve	6
99	Njensen7	6
119	MunkaKris	5
119	SmashingPump	5
119	BlancoFlaco	5
119	shdesolt	5
119	m_be9	5
119	fade_emerge78823	5
119	eviltunix	5
119	gcaisawesome	5
119	hanaryheatwave	5
119	420BreadLizard	5
119	Racengan	5
119	bloomkieren	5
119	Kyrum2169	5
119	tsitrawhy	5
119	PortlyPete69	5
119	Nicserso	5
119	Kateesaur	5
119	diggydog67	5
137	Jovaphobic	4
137	Mr_Byzantine	4
137	_stets	4
137	soundad	4
137	q_wq	4
137	I_Am_Mushkin	4
137	diamondgolem35	4
137	livingdaydreams	4
137	CoffeeNoir	4
137	Jackster03	4
137	Historical_Sand	4
137	SquadMonster	4
137	_Dean_123	4
137	BilboBaggins23	4
137	Mewar	4
137	r123moore	4
137	ARandomHedge	4
137	XboxPanda	4
137	Karetoko	4
137	SuperPooch06	4
137	_Boipl_	4
137	SvenskaAlvar	4
137	aec9	4
137	FishyBoy3811	4
137	Kim_Jong_eel	4
137	fw3xy74	4
137	ogoa	4
137	LeonelSalamanca	4
137	NomadicRobin_	4
137	Katsuragi0243218	4
137	NoChumpChange	4
137	Fuhrer_Teemo	4
137	JESS_THE_RERE	4
137	NameGenerat0r	4
137	Fildyr	4
137	Toriankel	4
137	Hisiste	4
137	_Meow_Mix	4
137	Ze_BaronKrigler	4
137	Spenduh	4
137	SpacesickPrism	4
137	obzii	4
137	zOnlyKroks	4
137	skrongus	4
137	00000000-0000-0000-0009-01ff0c3e5e4f	4
182	seanitoo	3
182	NatalieTW	3
182	_Huge_Male_	3
182	Apollo_993	3
182	dudcreeper	3
182	ECstardust	3
182	KarlKaek	3
182	Creativebuilder2	3
182	youhjjhhhjj	3
182	Prismyst	3
182	Myszoaz	3
