rank	username	minecraft:picked_up/minecraft:leather_chestplate
1	Mahoose	52
2	thewindmillman	46
3	joethahobo	43
4	Smashic	42
5	AdmiralSmoke	40
6	kekhon	36
7	beeperbeeper5	35
8	pintsizedrogue	32
8	FreakGenius	32
10	PlasticOtari	31
11	Kowcio_	30
12	luseis	29
13	Ezekson	28
14	Blackberry1310	27
15	Fullut	26
15	Di_infiri	26
15	Akoot_	26
15	Soplight	26
15	TechnoNinja64	26
20	Lez_	25
20	TheSecondLord	25
20	Xclax101	25
23	Spacewardharpy7	23
24	4774	21
24	TheShyPig	21
24	El_Jalapeno	21
27	Jackattack53	20
27	SingedBread	20
27	djancak	20
27	Kubeusz2010	20
31	noam464	18
31	MyNameIsJobo	18
31	Hyp3rion_	18
31	YungMaki	18
35	_Virify_	17
35	ConnorDanky_	17
35	Enderxz3	17
38	Eraxa	16
38	SvenskaHugo	16
38	pixelviolin	16
41	eitanzaki	15
41	Blaiku	15
43	PigDab	14
43	Lord_Jord	14
43	Segotep999	14
46	SteveCraftBlocks	13
46	EveryonesUncle	13
46	HellsSponge	13
46	StinkyDiplomat	13
46	lordpipe	13
51	rarrq	12
51	500am	12
51	himak1	12
51	Kakolbus	12
51	Chromary	12
51	Legendosh	12
57	EMC_	11
57	Frozil20	11
57	Winklepicker279	11
57	Zythose	11
57	Rebytre	11
57	selectrix	11
57	Deathkob	11
64	Huwulling	10
64	ShedJr_	10
64	Snowflowe	10
64	Werbe	10
64	Tyrannosplart	10
64	Steelynan	10
70	jessewegottacook	9
70	fr0stss	9
70	12Magner05	9
70	thescout7	9
70	oscminus	9
70	ooga47	9
70	claivin	9
70	EcksD	9
70	xolstoi	9
79	CLG_Kata	8
79	Merv__	8
79	Sleek_Storm_721	8
79	ImpavidArcher	8
79	RebelAndroid	8
79	fr_ser	8
79	SammiWolfGirl	8
79	MilleGrug	8
79	jnp_gaming	8
88	PhantomsGhost_	7
88	teslawolf38	7
88	T045RTY	7
88	H72l9w	7
88	excelsionprime	7
88	Kamflame10	7
88	MAns_44	7
88	censorsheep	7
88	sp00ky_ghost977	7
88	UCP_TheKingK	7
88	_i_ERROR_i_	7
88	Hermanni__	7
88	laron58	7
88	Nicserso	7
102	jacxhadow	6
102	Kkanot	6
102	IforgotCS_Source	6
102	xxPipperDipperxx	6
102	platinumzero	6
102	M_Patata	6
102	mariominejedi	6
102	Onennon	6
102	Mattesco	6
102	lizardfightclub	6
102	lillips	6
102	Manaateee	6
102	Deerfoot	6
102	Blu3beast	6
102	Warlord324	6
102	monky_irl	6
102	MasterNueve	6
102	Njensen7	6
120	MunkaKris	5
120	SmashingPump	5
120	BlancoFlaco	5
120	shdesolt	5
120	m_be9	5
120	fade_emerge78823	5
120	eviltunix	5
120	gcaisawesome	5
120	hanaryheatwave	5
120	420BreadLizard	5
120	Racengan	5
120	bloomkieren	5
120	Kyrum2169	5
120	tsitrawhy	5
120	PortlyPete69	5
120	fffMike	5
120	Kateesaur	5
120	diggydog67	5
138	Jovaphobic	4
138	Mr_Byzantine	4
138	_stets	4
138	soundad	4
138	q_wq	4
138	I_Am_Mushkin	4
138	diamondgolem35	4
138	livingdaydreams	4
138	CoffeeNoir	4
138	Jackster03	4
138	Historical_Sand	4
138	SquadMonster	4
138	_Dean_123	4
138	BilboBaggins23	4
138	Mewar	4
138	r123moore	4
138	ARandomHedge	4
138	XboxPanda	4
138	Karetoko	4
138	SuperPooch06	4
138	_Boipl_	4
138	SvenskaAlvar	4
138	aec9	4
138	FishyBoy3811	4
138	Kim_Jong_eel	4
138	fw3xy74	4
138	ogoa	4
138	LeonelSalamanca	4
138	NomadicRobin_	4
138	Katsuragi0243218	4
138	NoChumpChange	4
138	Fuhrer_Teemo	4
138	JESS_THE_RERE	4
138	NameGenerat0r	4
138	Fildyr	4
138	Toriankel	4
138	Hisiste	4
138	_Meow_Mix	4
138	Ze_BaronKrigler	4
138	Spenduh	4
138	SpacesickPrism	4
138	obzii	4
138	zOnlyKroks	4
138	skrongus	4
138	00000000-0000-0000-0009-01ff0c3e5e4f	4
183	k_ce	3
183	seanitoo	3
183	NatalieTW	3
183	_Huge_Male_	3
183	Apollo_993	3
183	dudcreeper	3
183	Napoleonpancake	3
183	ECstardust	3
183	KarlKaek	3
183	Creativebuilder2	3
