rank	username	minecraft:picked_up/minecraft:flint
1	pintsizedrogue	18160
2	HellsSponge	7833
3	EveryonesUncle	6791
4	Enderslayerxz3	5572
5	PhantomsGhost_	5279
6	Zythose	5134
7	Frozil12	4321
8	beeperbeeper5	3911
9	Spacewardharpy7	3736
10	lordpipe	3655
11	EcksD	3492
12	BobDeBouwer1337	3310
13	kekhon	3215
14	m_be9	3207
15	PigDab	3037
16	joethahobo	2736
17	Miko_Fullbuster	2604
18	thescout7	2584
19	Jovaphobic	2574
20	Smoke____	2517
21	TheShyPig	2459
22	Natofthese	2376
23	Kubelz	2349
24	mwrty	2286
25	Maenara	2285
26	Franco093	2228
27	PlzNoBM	2206
28	eitanzaki	2081
29	ROY4LE	2046
30	error10101	2028
31	Dedalus36	2017
32	stahouo	2015
33	CyrusIsTired	1851
34	Lord_Jord	1752
35	T045RTY	1749
36	El_Jalapeno	1731
37	h2p_emrld	1725
38	CharlieButt	1657
39	eviltunix	1586
40	oxfordschool	1516
41	q_wq	1467
42	Blu3beast	1424
43	Bandito_Roamer	1337
44	Shogunite	1308
45	rarrq	1303
46	TheSecondLord	1164
47	YungMaki	1161
48	obzii	1147
49	Legendosh	1116
50	Di_infiri	1057
51	Kubeusz2010	1056
52	audiocracked	1030
53	CalebDHawk	1024
54	chipklip	1019
55	LordSpeed37	1002
56	Inbefour	998
57	KarlKaek	972
58	Chromary	925
59	Dogcorn69420	914
60	_Karmaa	903
61	Racengan	897
62	gabriels543	890
63	Fullut	875
64	cwartzo	846
65	Airem_Core	845
66	bigstankyy	842
67	ImpavidArcher	836
68	theonlymagikarp	829
69	SSytex_X	828
70	__tomato	823
71	andy_rex	820
72	Merv__	818
73	picardred	810
74	Onennon	798
75	SuperPooch06	766
75	sp00ky_ghost977	766
77	SuperStreetCat	764
78	_8man	758
79	Euclidoris	749
80	Spenduh	748
81	Kouridragon	746
82	Vetral1	739
83	Hiryu27	737
84	Sral7	736
85	Historical_Sand	733
85	Bumpy419	733
87	BlancoFlaco	732
88	Groovy_MoonBird	718
88	Inchef	718
90	claremackie	716
91	Tobinator_007	712
92	Wolf_Mauler_73	711
93	Skippeh	687
94	djancak	684
95	Quotary	681
96	RodSerlingCringe	674
97	Covalents	671
98	500am	657
99	Kakolbus	652
100	CoryJJ	643
101	TechnoNinja64	637
102	SaucyDark	618
103	Kynigito	602
104	Freak_Genius	585
105	sebastiensaborio	576
106	fffMike	575
107	monky_irl	565
108	Rasmanden	562
109	gcaisawesome	557
109	victorLIE	557
111	alderban107	551
112	set67	541
113	Snowflowe	529
114	_TCARREIRA_	522
115	Meatlaugh	521
116	Werbe	518
116	AssEatrAndLicker	518
118	Awyrlas	506
119	Winklepicker279	505
120	Njensen7	504
121	noam464	486
122	loveseeker	484
123	the__Reaper4999	470
124	ExtraDumb	465
125	Cowison	462
126	Cyntrical	458
127	livingdaydreams	454
128	thewindmillman	449
129	mariominejedi	436
130	the_fireminer	434
131	12Magner05	421
132	SingedBread	411
133	ThePoliteG	394
134	Jackattack53	393
135	Xclax101	389
136	ProfessorBee	384
137	Truckoss	367
138	BumbleBeever	363
139	PortlyPete69	356
140	lcvezra	352
141	teslawolf38	342
141	xxPipperDipperxx	342
143	SammiWolfGirl	338
144	I_Am_Mushkin	332
144	SvenskaHugo	332
146	wezzzi	330
146	Hermanni__	330
148	scarletwarrior1	325
149	KG1999	322
150	Groundler	320
151	OtariCharlie	315
152	AuroraValkyrie	313
153	Comma__	312
154	cedric72	309
154	claivin	309
156	RadarHz	307
156	Zoeyfortnite	307
158	Hisiste	304
159	Seyaboy	302
160	hcb238	301
161	Nycteus_	299
162	DolphinLaugh	297
162	FelixPSY375	297
164	himak1	290
165	King_Pancake1	285
166	_Nuf	280
166	OG_Songsee	280
168	MyNameIsJobo	273
169	Windo_licker	266
170	censorsheep	264
171	Kowcio_	263
172	M_Patata	258
173	lizardfightclub	256
174	MightyWertu	255
175	Deodorante	254
176	Steven1282598	253
177	Hyp3rion_	252
178	jnp_gaming	251
179	MasterNueve	249
179	Ezekson	249
181	Ssor69	247
181	lillips	247
183	Typadopoulos	245
184	vandmanden	244
185	ATrojansLegend	242
185	Rainaldus	242
187	Nicserso	240
188	Optiprimus	239
189	LilyNova	236
190	Notta	234
190	Kim_Jong_eel	234
192	fkGrim	232
193	soundad	229
194	trexgb	228
195	CrateOfBoxes	227
196	CollinMH06	224
197	anbbang	220
198	Rumpletaezer	219
199	Barlycorn	218
200	Blaiku	217
201	Nicky_H225	215
202	Strangemonkey71	212
203	Tjhodskins19	211
204	Akoot_	210
205	Xovalt_	209
206	Mewar	206
206	TheDankPlatypus	206
208	Hpdinosaur	201
208	CoffeeNoir	201
210	awesomeoneme	198
210	Skylord_Luke	198
210	GravitySaint	198
213	Kyrum2169	197
