rank	username	minecraft:picked_up/minecraft:mossy_cobblestone_slab
1	pintsizedrogue	291
2	Jiminie	238
3	Legendosh	174
4	EveryonesUncle	142
5	500am	88
6	EMC_	84
7	groofles	51
8	Blackberry1310	47
9	MyNameIsJobo	40
10	seramalen	39
11	SuperPooch06	37
12	Cryptacity	28
12	PlasticOtari	28
12	Sral7	28
15	burbankbuilder28	27
15	Soplight	27
17	MyNameIsDakar	23
18	Nycteus_	18
19	Maenara	17
20	SquadMonster	16
20	Eraxa	16
22	SaltineDream	12
22	BlancoFlaco	12
24	NieToksikpl	11
25	surfinggiraffejp	10
26	Powowowow	9
27	Lord_Zacler	8
27	Enderslayerxz3	8
27	diggydog67	8
30	Mahoose	7
30	Onennon	7
30	fkGrim	7
33	_Tilariel_	6
33	Kowcio_	6
35	Rebytre	5
35	Smoke____	5
37	soundad	4
37	Fullut	4
37	RobotMinion101	4
37	_Bguette_	4
41	killmeiamtraitor	3
41	PuFY	3
41	godipose	3
44	Merv__	2
44	joethahobo	2
44	M_Patata	2
44	thewindmillman	2
44	Frozil12	2
44	MasterNueve	2
44	Razzgriz	2
44	jcool7	2
52	Groovy_MoonBird	1
52	Notta	1
52	MattieHD	1
52	Smashic	1
52	set67	1
52	Marbz_	1
52	Arceus1975	1
52	LeGold	1
