rank	username	minecraft:picked_up/minecraft:smithing_table
1	Hyp3rion_	307
2	pintsizedrogue	132
3	jnp_gaming	105
4	Racengan	89
5	TheSecondLord	77
6	HellsSponge	52
7	Kowcio_	51
8	PlasticOtari	44
9	Blaiku	37
10	kekhon	35
11	emrekn	34
11	EveryonesUncle	34
13	diamondgolem35	33
14	NameGenerat0r	32
15	m_be9	30
15	Solar_Power	30
17	Historical_Sand	27
18	noam464	24
19	TheShyPig	22
20	FishyBoy3811	21
21	HesDemonPants	20
22	Smashic	18
23	Mahoose	17
23	12Magner05	17
23	legal_tax_evader	17
26	ROY4LE	16
27	diggydog67	15
28	SmashingPump	13
28	eitanzaki	13
28	Blackberry1310	13
28	thescout7	13
32	gren_ben	12
32	XboxPanda	12
32	FreakGenius	12
35	Bandito_Roamer	11
35	CLG_Kata	11
35	gcaisawesome	11
35	JESS_THE_RERE	11
35	AdmiralSmoke	11
40	ActualPatbaf	10
40	joethahobo	10
40	Ssor69	10
40	Bucscw24	10
40	Hisiste	10
40	SpacesickPrism	10
40	obzii	10
47	mwrty	9
47	ARandomHedge	9
47	SHAOBADMAN	9
47	Fast_Turtle	9
47	Werbe	9
47	Kim_Jong_eel	9
47	MirielThePastor	9
54	SaucyDark	8
54	Ryker	8
54	Ozixar	8
54	ProfessorBee	8
54	Jackattack53	8
54	F_Uhre	8
54	luseis	8
54	YungMaki	8
54	Luigipunch989	8
54	Quotary	8
64	thewindmillman	7
64	Snowflowe	7
64	Rebytre	7
64	Skippeh	7
64	Ezekson	7
69	EMC_	6
69	Frozil20	6
69	Ryan_GEMS	6
69	ITDV	6
69	jacxhadow	6
69	500am	6
69	set67	6
69	Rumpletaezer	6
69	ItsMrRamen	6
69	MAns_44	6
79	Mr_Byzantine	5
79	teslawolf38	5
79	RatatJuice	5
79	Dblikstad	5
79	UncreativeArtist	5
79	Eraza	5
79	Kubelz	5
79	TheDankPlatypus	5
79	Kakolbus	5
79	pappaberg	5
79	PigDab	5
79	Manaateee	5
79	Soplight	5
79	stellarjay	5
79	fffMike	5
79	Kubeusz2010	5
79	xorompole	5
96	hm947	4
96	Flores991	4
96	RebelAndroid	4
96	youhjjhhhjj	4
96	Winklepicker279	4
96	mariominejedi	4
96	Marbz_	4
96	SuperPooch06	4
96	LAVA129	4
96	jewbacaman	4
96	CarryLine	4
96	Maenara	4
96	Wowful	4
96	dankxing	4
96	Lutres_	4
96	Avocadogerms	4
96	El_Jalapeno	4
96	Cyntrical	4
96	fluddd	4
96	LordAurum	4
96	ProfessorDiaper	4
96	Vicemaniac	4
96	IAmTheWalrus910	4
96	pixelviolin	4
96	UltraZombie	4
96	TheALV	4
122	Jovaphobic	3
122	fanofbands101	3
122	soundad	3
122	Merv__	3
122	MoistMicrowave	3
122	NinjaKnifeKill	3
122	Alphanzt99	3
122	uhm__okay	3
122	Xalithia	3
122	Di_infiri	3
122	Chromary	3
122	Arceus1975	3
122	Zythose	3
122	ApophisNova	3
122	Mattesco	3
122	Akoot_	3
122	wezzzi	3
122	fw3xy74	3
122	Airem_Core	3
122	lordpipe	3
122	MakeHistory157	3
122	Ze_BaronKrigler	3
122	_Mythic____	3
122	Kyrum2169	3
122	brofrickcheaters	3
122	NATE_the_HALO	3
122	Sheldor097	3
122	Steelynan	3
122	Eczbek	3
122	CattSoup	3
122	MyNamaSheff	3
122	Enderxz3	3
122	skrongus	3
155	H0UNDFRMH3LL	2
155	Badenbeele	2
155	Creativebuilder2	2
155	TooManyDuck	2
155	Zippyzam	2
155	Huwulling	2
155	beeperbeeper5	2
155	Euclidoris	2
155	NieToksikpl	2
155	Comma__	2
155	BobDeBouwer1337	2
155	bloodbiter	2
155	Megarboh	2
155	corvidpartyfor6	2
155	Sloths_Ender	2
155	crying_wolf_13	2
155	Kkanot	2
155	_Magdo_	2
155	__TheNorseMan__	2
155	M_Patata	2
155	Mobstr	2
155	CaptainSteve345	2
155	ImDisconnected_	2
155	burbankbuilder28	2
155	King_Pancake1	2
155	SpaggeDR	2
155	Truckoss	2
155	skelctal	2
155	Jonte0599	2
155	Shavrin	2
155	victorLIE	2
155	PaperCanvas	2
155	zToasty69z	2
155	Hail_the_wombat	2
155	AuroraSkies	2
155	NoChumpChange	2
155	MinuteMira	2
155	balin55	2
155	Dakar_	2
155	_Karmaa	2
155	AstreaTSS	2
155	Quaintster	2
155	wwwwinnebagoooo	2
155	Druid95	2
155	MasterNueve	2
155	sp00ky_ghost977	2
155	Eraxa	2
155	Segotep999	2
155	Nekomin0	2
155	Heisenbberrg	2
155	DennyKai	2
155	Hermanni__	2
155	alderban107	2
155	EngagedGrub41	2
155	RadarHz	2
155	TechnoNinja64	2
155	xolstoi	2
