rank	username	minecraft:picked_up/minecraft:pumpkin_pie
1	TechnoNinja64	17589
2	Frozil20	4805
3	_Bguette_	3585
4	Mohawkfalco	2744
5	Nagasaki_Riku	2325
6	Mahoose	2092
7	YungMaki	2013
8	censorsheep	1869
9	rocklobster2012	1580
10	kekhon	1535
11	pintsizedrogue	1504
12	KarlKaek	1371
13	6king6colt6	1342
14	cedric72	1299
15	PhantomsGhost_	1274
16	BruhM0mnt	1258
17	Akoot_	1233
18	eitanzaki	1133
19	DarlaMeow	1130
20	surfinggiraffejp	1006
21	Jackattack53	991
22	hollowww	916
23	kinas45y5	894
24	Blu3beast	858
25	oxfordschool	839
26	The_SlideV5	832
27	Kateesaur	829
28	TheShyPig	822
29	KlausVonStiglitz	782
30	Ender_Souls	776
31	Aiko_Kawashima	768
32	TheDumbHuman	750
33	Zoeyfortnite	744
34	vampgey	705
35	Blackberry1310	704
36	cowgirlkasia	690
37	RobotMinion101	688
38	Cambo5000	654
39	Deodorante	642
40	The_slideV3	620
40	CSG_Haru	620
42	Parcc	582
43	JollyDroopy52	577
44	vietsmith	576
45	Skylorabell	566
46	lcvezra	562
47	brrh	560
48	Hyp3rion_	537
49	stahouo	535
50	Astrofizzy	523
51	chipklip	513
52	richerbat	512
52	YourPersonalChef	512
54	TheSecondLord	492
55	Nicserso	483
56	Robby_Cream	479
57	Uzbeki_John	477
58	Soplight	469
59	Avermu	464
60	potato292	459
61	BigPure	449
61	dark279_	449
61	yoyoYoloMonke	449
64	UnrustledJimmys	448
64	Hameous	448
64	Houstonion	448
64	KeithMc	448
64	SeaCatSnake_	448
64	PresFromEarth	448
64	ALegendsTale	448
64	Fergusoncurly	448
64	_aperson1	448
64	ImWhiteJesus	448
64	Elephant_Parade	448
64	ThatBurritoTh0	448
76	LordAurum	435
77	Meepcraft	426
77	YungWali	426
79	Oliver_Frost	416
79	Steelynan	416
81	rarrq	412
82	_naturell	407
83	LilyNova	401
84	potatocan	397
85	Stiar	396
86	AvaRosey	393
87	ssleepless	386
