rank	username	minecraft:picked_up/minecraft:kelp
1	Fuhrer_Teemo	204399
2	himak1	162707
3	TechnoNinja64	157226
4	Blu3beast	152224
5	calamariclam_I	129623
6	PhantomsGhost_	108759
7	thewindmillman	108598
8	TheShyPig	58358
9	BumbleBeever	47577
10	Comma__	44819
11	joethahobo	39177
12	ImpavidArcher	37827
13	Skippeh	36159
14	Ezekson	33381
15	Spacewardharpy7	27176
16	SlayerCrypto	26992
17	Smoke____	23376
18	Hyp3rion_	22928
19	fluddd	21961
20	Snowflowe	21939
21	MightyWertu	18129
22	WyngGoy	17877
23	bigstankyy	12769
24	EveryonesUncle	12368
25	Enderxz3	11848
26	HellsSponge	11753
27	eitanzaki	11716
28	pintsizedrogue	11162
29	Blaiku	11131
30	robotemo	10972
31	YungMaki	10816
32	Mahoose	10344
33	Touched_Bread	10205
34	DemTechAlpha	9729
35	obzii	9092
36	H72l9w	8536
37	beeperbeeper5	8186
38	Drawgirl	7756
39	Di_infiri	7569
40	AuroraValkyrie	7487
41	Steelynan	7264
42	EngagedGrub41	7163
43	RadarHz	6898
44	jcool7	6831
45	EcksD	6795
46	FishyBoy3811	6707
47	noam464	6631
48	Mewar	6525
49	12Magner05	6507
50	Arceus1975	6186
51	Kakolbus	6147
52	djancak	5997
53	Lord_Jord	5992
54	Soplight	5914
55	picardred	5402
56	El_Jalapeno	5248
57	Jackattack53	5211
58	thescout7	5127
59	sandmire	5106
60	EMC_	5060
61	_TCARREIRA_	4585
62	TheSecondLord	4449
63	MilleGrug	4374
64	eviltunix	4339
65	Bumpy419	4254
66	PlasticOtari	4203
67	Zythose	3819
68	FreakGenius	3548
69	_Dean_123	3516
70	ItsColin11	3478
71	NoChumpChange	3411
72	Blackberry1310	3258
73	xDraggin	3150
74	MonitorLizards	3117
75	Hyugo	3039
76	Fuad_R	2944
77	Legendosh	2835
78	LetsDoItLive	2764
79	Chromary	2759
80	Strangemonkey71	2755
81	Huwulling	2727
82	heckface	2693
83	KingFaenor	2623
84	500am	2611
85	Powowowow	2530
86	Franco093	2524
87	IamCL4SSY	2512
88	Frozil20	2506
89	RealGroot	2452
90	Zoeyfortnite	2435
91	spencersolberg	2316
92	_Karmaa	2314
93	Da_Boss_Rani	2272
94	ThiccExotic	2252
95	MattieHD	2211
95	lordpipe	2211
97	Groovy_MoonBird	2147
98	ConnorDanky_	2050
99	Seyaboy	2037
100	Awyrlas	2020
101	Cocoamallows	1910
102	Xalithia	1888
103	mwrty	1824
104	RebelAndroid	1802
105	Fullut	1761
106	Werbe	1750
107	moertymoertan	1696
108	KingMatthew506	1689
109	F_Uhre	1664
110	NomadicRobin_	1662
111	2xil2	1642
112	pixelviolin	1634
113	ayamefag	1620
114	IdeallyGrey	1616
115	SpacesickPrism	1589
116	NarwhalTaco	1582
117	ReyTheLegend	1565
118	Teebone15	1556
119	Optiprimus	1546
120	wezzzi	1510
121	cedric72	1503
122	Dogcorn69420	1448
123	fffMike	1431
124	PortlyPete69	1429
125	MirielThePastor	1425
126	Ssor69	1388
127	diggydog67	1375
128	censorsheep	1362
129	diamondgolem35	1349
130	Maenara	1334
131	Purplehere	1325
132	xzvu	1315
133	jnp_gaming	1313
134	Racengan	1309
135	PigDab	1305
136	SuperPooch06	1304
137	Barlycorn	1284
138	Nicserso	1247
139	legal_tax_evader	1234
140	aldplaysmc	1221
141	T045RTY	1217
142	Rumpletaezer	1213
143	sq0id	1211
144	33sudo	1210
145	kekhon	1207
146	Groundler	1191
147	RocketRidge	1187
148	ooga47	1184
149	carloselpapii	1183
150	Jimi7hits	1174
151	geekbird	1171
152	Swexti	1170
153	07shiny	1145
154	Motsaro	1122
155	SammiWolfGirl	1110
156	Digcove	1103
157	Warlord324	1097
158	GLLogan2	1092
159	_Bguette_	1091
160	tuckerdoodle	1088
161	__tomato	1082
162	Marbz_	1060
163	Rebytre	1040
164	luseis	1013
165	thgrocks	992
166	ProfessorBee	987
167	claivin	973
168	malgosia14	964
169	stellarjay	963
170	DarlaMeow	957
171	SaucyDark	945
172	gustarlep	930
173	Esme_1	906
174	Notta	904
175	MyNameIsJobo	896
176	OG_Songsee	887
177	CliffEmAll	882
178	m_be9	869
179	AlexxO_o	859
180	ApophisNova	840
180	MyNamaSheff	840
182	CoffeeNoir	839
183	Quincannon	835
184	M_Patata	827
184	MasterNueve	827
186	Ryker	823
187	q_wq	818
188	yulgur1	812
188	UrbanPlanningEx	812
190	GravitySaint	804
191	featherflyy	797
191	set67	797
193	Hermanni__	791
194	Forcolp	780
195	mawileite	767
196	Inbefour	757
197	KomputerDude	753
198	NameGenerat0r	737
199	Professor_x8	736
200	KGTV	733
201	rarrq	725
202	lilsay	721
203	Jovaphobic	720
204	Alfman007	709
205	jimintyy	708
206	Kouridragon	706
207	Voxin2K	704
208	MakeHistory157	688
209	Fizznut909	687
210	gcaisawesome	686
211	CalebDHawk	681
212	Tobias0113	670
213	ExtraDumb	667
214	gren_ben	658
215	Darkgon	657
216	ROY4LE	656
