rank	username	minecraft:picked_up/minecraft:diamond_helmet
1	Hyp3rion_	78
2	TheSecondLord	73
3	Cruncy_	48
4	masskedman	43
5	FreakGenius	41
6	kekhon	39
7	eitanzaki	35
8	EcksD	34
9	joethahobo	27
10	rarrq	26
10	Di_infiri	26
10	Werbe	26
13	Akoot_	23
14	Jackattack53	22
15	jnp_gaming	21
16	SmashingPump	19
17	pintsizedrogue	18
17	KarlKaek	18
17	T045RTY	18
17	beeperbeeper5	18
17	Kowcio_	18
22	monky_irl	17
23	OreTheBear	16
24	Frozil20	15
25	TheShyPig	14
25	Blaiku	14
25	xzvu	14
28	Blackberry1310	13
28	mwrty	13
28	thescout7	13
28	Groundler	13
28	djancak	13
28	Soplight	13
34	ImpavidArcher	12
34	Mahoose	12
34	IamCL4SSY	12
34	El_Jalapeno	12
34	p4pillio	12
39	noam464	11
39	Mattesco	11
39	Enderxz3	11
39	skitzxo	11
43	CLG_Kata	10
43	Euclidoris	10
43	yheece	10
43	yulgur1	10
43	Tyrannosplart	10
43	Blu3beast	10
43	YungMaki	10
43	Kyrum2169	10
43	VentiHilton	10
43	TheBananaKat	10
43	TechnoNinja64	10
54	diamondgolem35	9
54	DinoDoctor_	9
54	_Dean_123	9
54	Smashic	9
54	emreknugrlu	9
54	Shogunite	9
60	Fullut	8
60	mimbo1211	8
60	oscminus	8
60	HellsSponge	8
60	Racengan	8
65	SaucyDark	7
65	WET_WET_WET	7
65	Arceus1975	7
65	Gryglu583	7
65	NameGenerat0r	7
65	Kura2218	7
65	laron58	7
65	Legendosh	7
65	annebolyn	7
74	Groovy_MoonBird	6
74	6king6colt6	6
74	Jackster03	6
74	ShedJr_	6
74	royal_2	6
74	titanlax	6
74	MinttyFressh	6
74	MattieHD	6
74	eclipseboi	6
74	gcaisawesome	6
74	imcombxt	6
74	SuperPooch06	6
74	hanaryheatwave	6
74	Boipl	6
74	fluddd	6
74	pixelviolin	6
74	hermmm_	6
74	Kubeusz2010	6
74	OfficerAnvil	6
74	ConnorDanky_	6
74	Jimb0nat0r	6
95	I_Am_Mushkin	5
95	_Razaria	5
95	Alteriity	5
95	Lez_	5
95	GingerNeutron	5
95	cyrusisntgay	5
95	Kkanot	5
95	ItsRyanM8	5
95	thewindmillman	5
95	wezzzi	5
95	Inbefour	5
95	DarlaMeow	5
95	censorsheep	5
95	MightyWertu	5
95	__tomato	5
95	Spenduh	5
95	Ezekson	5
95	Nicserso	5
113	PhantomsGhost_	4
113	BadenStayFly	4
113	AuroraValkyrie	4
113	teslawolf38	4
113	InfernalMound	4
113	fade_emerge78823	4
113	emrekn	4
113	ROY4LE	4
113	xxPipperDipperxx	4
113	Touched_Bread	4
113	XboxPanda	4
113	Ecplosive	4
113	mariominejedi	4
113	burbankbuilder28	4
113	Corbsman	4
113	ApophisNova	4
113	F_Uhre	4
113	sammidk	4
113	lizardfightclub	4
113	luseis	4
113	shrimp_flips	4
113	_Karmaa	4
113	claivin	4
113	pretty_pink_reno	4
113	Xclax101	4
113	MustardSquid	4
113	CalebDHawk	4
113	cichy096	4
113	MyNamaSheff	4
113	Powowowow	4
113	PlasticOtari	4
144	Bandito_Roamer	3
144	Mr_Byzantine	3
144	chipklip	3
144	TooPure2	3
144	fanofbands101	3
144	hollowww	3
144	Merv__	3
144	ECstardust	3
144	EMC_	3
144	77Holly7	3
144	Killercatty78	3
144	Incinere	3
144	Wooptey	3
144	Huwulling	3
144	gaziter10	3
144	oreee	3
144	FirsTimeGamingTV	3
144	NieToksikpl	3
144	jacxhadow	3
144	bloodbiter	3
144	Jakobo1337	3
144	cubecutter124	3
144	_Nuf	3
144	Z3braYTIL	3
144	Mewar	3
144	fr_ser	3
144	Lil_Breadboy	3
144	Rumpletaezer	3
144	2extreeme	3
144	k1ngGilgamesh	3
144	Onennon	3
144	Mr_Sun15	3
144	Luminad3	3
144	Bl1tzFX	3
144	Tiktola01	3
144	Manaateee	3
144	weabis	3
144	__Auspicious	3
144	Hisiste	3
144	Spacewardharpy7	3
144	lordpipe	3
144	MakeHistory157	3
144	Moss_2006	3
144	Pumpkin_P_Patch	3
144	Segotep999	3
144	stellarjay	3
144	ProbsNotNova	3
144	jcool7	3
144	11Brewer	3
144	Quotary	3
144	Zoeyfortnite	3
144	Yamdalorian	3
144	h2p_emrld	3
144	00000000-0000-0000-0009-01ff0c3e5e4f	3
198	H0UNDFRMH3LL	2
198	Jovaphobic	2
198	j5ylim	2
198	seanitoo	2
198	_Virify_	2
198	heysushii	2
198	Froste131	2
198	ProbablyNick	2
198	CloroxBleach385	2
198	BPTY4618	2
198	q_wq	2
198	Yatitay	2
198	Bad_At_Names_Guy	2
198	TooManyDuck	2
198	Batman922	2
198	Lazy_geniusig	2
198	Archsam	2
198	Crowman1	2
198	Nicky_H225	2
198	Secret_Canary	2
198	TheDiamondCG	2
198	FemboyFwuit	2
198	philandr	2
198	set67	2
198	Nach0Bear	2
198	Dali1465	2
198	himak1	2
198	intropass	2
198	Xalithia	2
198	NotKaden_	2
198	Paintz	2
198	ARandomHedge	2
198	SirSpace	2
198	Wotters7	2
198	juuustpeachy	2
198	ImDisconnected_	2
198	Marbz_	2
198	Chromary	2
198	corpsecity	2
198	AmitE1	2
198	guiltybastard	2
198	DAD_1996	2
198	CaptainDeadBread	2
198	The11thDoctor	2
198	Afinnity	2
198	RobotMinion101	2
198	AlexxO_o	2
198	KeruNatsema	2
198	groofles	2
198	TJawesome09	2
198	txxskx	2
198	stuy9	2
198	EdGalbraith	2
198	NomadicRobin_	2
198	gustarlep	2
198	FreddyFart	2
198	Cordicus	2
198	Russiancat1	2
198	JonnyBeesh	2
198	ebanana	2
198	OverallConcept	2
198	The_slideV3	2
198	QueenShuvi	2
198	bluefragmentt	2
198	TheImperial	2
198	SingedBread	2
198	3_Solar_3	2
198	Toriankel	2
198	technic_squirrel	2
198	MovingFish7	2
198	geekbird	2
198	IAmTheWalrus910	2
198	OG_Songsee	2
198	sp00ky_ghost977	2
198	ZoharGoldMine	2
198	Majonezzon	2
198	Burge_r	2
198	stavgod	2
198	StarCookiees_	2
198	Eraxa	2
198	Cliopatra	2
198	StarKillerzero_	2
198	Zetsey	2
198	underscore_2	2
198	miramyu	2
198	_i_ERROR_i_	2
198	obzii	2
198	HAruSAme14	2
198	Kferno	2
198	LeeMcGee30	2
198	MilleGrug	2
198	Njensen7	2
198	_3Stump_	2
198	KingMatthew506	2
198	ZoomieZoomie	2
198	Skippeh	2
198	FelixPSY375	2
198	Xannon232	2
198	Weepingbiel	2
198	UrbanPlanningEx	2
198	vandmanden	2
198	Sral7	2
198	JayToe	2
