rank	username	minecraft:picked_up/minecraft:jack_o_lantern
1	Jackattack53	954
2	eitanzaki	372
3	fffMike	321
4	Legendosh	273
5	HellsSponge	240
6	lillips	235
7	jacxhadow	163
8	noam464	156
9	ApophisNova	149
9	MyNamaSheff	149
11	MyNameIsJobo	137
12	Lord_Jord	131
13	_Bguette_	127
14	Historical_Sand	125
15	Akoot_	101
16	mariominejedi	98
17	Di_infiri	93
18	The_slideV3	91
19	pintsizedrogue	89
19	Mahoose	89
21	KG1999	82
22	burbankbuilder28	81
23	Lowjinx	75
24	TheSecondLord	66
25	beeperbeeper5	56
26	Soplight	49
27	Onennon	42
27	EcksD	42
29	cog	40
30	fluddd	36
31	Freak_Genius	33
32	Blackberry1310	32
33	Paintz	29
34	SSytex_X	27
34	2blox	27
36	teslawolf38	25
36	YungMaki	25
38	Merv__	24
38	lordpipe	24
40	Incinere	23
40	kekhon	23
42	PhantomsGhost_	22
43	thewindmillman	21
44	MyNameIsDakar	20
45	Arceus1975	19
45	djancak	19
45	EcksDofficial	19
48	Kowcio_	18
49	TechnoNinja64	16
50	lcvezra	15
51	XxCookiequeenxX	14
52	Lez_	13
53	slkiey	10
53	Kelloogs	10
55	_Dean_123	9
55	Spacewardharpy7	9
55	PlasticOtari	9
55	Smoke____	9
59	openatheclose	8
59	Cocoamallows	8
59	Luigipunch989	8
62	CoffeeNoir	7
62	roxycherry	7
64	500am	6
64	2Stout	6
64	TheShyPig	6
67	Hyp3rion_	5
67	CrateOfBoxes	5
67	Airem_Core	5
67	Eraxa	5
67	07shiny	5
72	Ailmast	4
72	KarlKaek	4
72	heckface	4
72	NieToksikpl	4
72	12Magner05	4
72	claivin	4
72	Blaiku	4
72	Spenduh	4
72	jnp_gaming	4
81	RosaDoesMC	3
81	H72l9w	3
81	DermeinUser	3
81	loveseeker	3
81	CarltheCuck	3
81	SuperPooch06	3
81	RobotMinion101	3
81	thgrocks	3
81	Sky_light_KING	3
81	ILoveCarrot	3
81	DTwenty	3
81	Blu3beast	3
81	ComplexSquirrel	3
81	Vorlice	3
81	stavgod	3
81	Jij0	3
81	Apicomplexa	3
81	diggydog67	3
99	numbra	2
99	diamondgolem35	2
99	joethahobo	2
99	TheDiamondCG	2
99	thescout7	2
99	Windo_licker	2
99	_Boipl_	2
99	Jonte0599	2
99	FishyBoy3811	2
99	wezzzi	2
99	Joestra	2
99	fkGrim	2
99	Jiminie	2
99	Lutres_Torane	2
99	MustaLoordi	2
99	Groundler	2
99	NotMeowMix	2
99	laron58	2
99	anbbang	2
99	BreadBacon	2
99	Enderslayerxz3	2
99	calamariclam_I	2
121	Drlzyy	1
121	Tommhh	1
121	EMC_	1
121	I_Am_Mushkin	1
121	livingdaydreams	1
121	oreee	1
121	rarrq	1
121	Sparky_KT	1
121	Frxnkz	1
121	noah_rubin	1
121	bloodbiter	1
121	corvidpartyfor6	1
121	TerraVl	1
121	UncleDanDan	1
121	__Fanda__	1
121	WET_WET_WET	1
121	Bumpy419	1
121	fred870d	1
121	NormanFetus	1
121	Maenara	1
121	TheTrueClipse	1
121	NomadicRobin_	1
121	Deodorante	1
121	Deathkob	1
121	DarlaMeow	1
121	Nycteus_	1
121	Toriankel	1
121	Dusk_95	1
121	stahouo	1
121	SammiWolfGirl	1
121	Poppy235	1
121	Dogcorn69420	1
121	Steelynan	1
121	erkada	1
121	zkum	1
121	Oxygen16	1
121	Powowowow	1
121	UrbanPlanner1978	1
121	The_SlideV5	1
121	Zoeyfortnite	1
121	Yahrto	1
