rank	username	minecraft:picked_up/minecraft:mossy_cobblestone
1	500am	2583
2	Enderslayerxz3	2129
3	kekhon	1865
4	EveryonesUncle	1703
5	MyNameIsJobo	993
6	pintsizedrogue	975
7	Maenara	895
8	seramalen	774
9	AlexStrange	752
10	Akoot_	627
11	Freak_Genius	488
12	Kubelz	445
13	RefluxRatio	440
14	Jovaphobic	434
15	joethahobo	405
15	HellsSponge	405
17	EMC_	390
18	diggydog67	352
19	Xalithia	343
20	Ecplosive	326
21	Fullut	305
22	SaltineDream	304
23	RoskobiOne	299
24	BlancoFlaco	289
25	El_Jalapeno	284
25	Xclax101	284
27	Jimi7hits	266
28	rarrq	260
29	MyNameIsDakar	257
30	gcaisawesome	248
31	lcvezra	240
32	Smoke____	239
33	CrateOfBoxes	215
34	Kowcio_	214
35	PigDab	211
35	layabout100	211
37	Skylord_Luke	195
38	Prodiginus	192
38	TechnoNinja64	192
40	Ripzch	190
41	chipklip	184
42	thewindmillman	174
43	Inbefour	171
44	OfficerAnvil	170
45	TooManyDuck	166
46	RodSerlingCringe	164
47	oxfordschool	159
48	Marbz_	153
48	Hyp3rion_	153
50	ooga47	152
51	Malorn_Aetherius	148
52	sufjanlover	147
53	surfinggiraffejp	146
54	KarlKaek	143
55	4774	139
56	BreadBacon	138
57	fkGrim	136
57	Racengan	136
59	Kakolbus	132
60	eviltunix	131
61	Jiminie	130
62	Kynigito	129
62	Nycteus_	129
64	Flores991	128
64	andy_rex	128
66	Eraxa	123
67	Mr_Byzantine	121
68	xxPipperDipperxx	120
69	mawileite	119
70	YungMaki	118
71	Ryker	116
72	RedcatVII	115
72	Vorlice	115
74	Bumpy419	111
74	fred870d	111
76	Cyntrical	109
77	ROY4LE	108
77	burbankbuilder28	108
77	rotten_mango	108
80	Di_infiri	107
81	Roikdean	106
82	Zythose	103
83	TheSecondLord	100
83	groofles	100
85	SingedBread	96
86	beeperbeeper5	93
87	Alteriity	91
87	bloodbiter	91
89	BobDeBouwer1337	90
89	Toiton	90
89	Barlycorn	90
89	PlasticOtari	90
93	fanofbands101	89
93	Scathra	89
95	__Fanda__	88
95	Frozil12	88
97	thescout7	87
98	Prismyst	86
98	Deathkob	86
100	Ezekson	85
101	WYFYoyo	84
102	Warlord324	83
103	mwrty	82
103	_Bguette_	82
105	Onennon	80
106	Meatlaugh	79
107	12Magner05	78
107	TheShyPig	78
109	Inchef	77
110	ese_wn_po	76
111	Mahoose	73
111	The_Quack_Dealer	73
113	q_wq	72
114	monky_irl	71
114	Erased_Identity	71
114	Weepingbiel	71
117	ShedJr_	70
118	Purplehere	69
119	Powowowow	68
120	CharlieButt	67
120	Rainaldus	67
122	Moofyman	66
123	TheSeismicDuck	65
123	Fuad_R	65
125	Pyrrhocococo	64
125	gaziter10	64
127	ivorico	63
127	CaptainDeadBread	63
127	Deodorante	63
130	SpicyMeatballs	62
130	AlexxO_o	62
132	lordofthelight95	61
132	killmeiamtraitor	61
134	slkiey	60
135	6king6colt6	59
136	Menthas	57
136	Wooptey	57
136	ImDisconnected_	57
136	kinas45y5	57
140	SaucyDark	56
140	Blu3beast	56
142	Snowflowe	55
143	MattieHD	54
143	SteveCraftBlocks	54
143	Winklepicker279	54
143	mobunni	54
147	Commander_Ange	53
147	Werbe	53
147	sp00ky_ghost977	53
147	Segotep999	53
151	RebelAndroid	52
151	Zaridey	52
153	The_Fulgurator	51
153	ThatBurritoTh0	51
155	selectrix	50
155	2blox	50
157	Cowison	49
157	ewsophie	49
157	Jackattack53	49
157	AJplaysMC_	49
157	Vetral1	49
157	lizardfightclub	49
157	HesDemonPants	49
164	Vollkommenheit	48
164	IWorkAtIkea	48
164	BasedEphex	48
164	_Tilariel_	48
164	pixelviolin	48
164	Kubeusz2010	48
164	UrbanPlanner1978	48
164	EcksDofficial	48
172	Froste131	47
172	Cryptacity	47
172	emrekn	47
172	stellarjay	47
176	T045RTY	46
176	wezzzi	46
176	Njensen7	46
179	Foof13	45
179	DinoDoctor_	45
179	G1ldor	45
179	PegLegPete93	45
179	wwwwinnebagoooo	45
184	ormr_kin	44
184	TJawesome09	44
184	audiocracked	44
184	Katsuragi0243218	44
184	DemTechAlpha	44
184	GravitySaint	44
184	ProfessorDiaper	44
191	The_Thund	43
191	gilesmcriles	43
191	TeenMomTom	43
191	PuFY	43
191	laron58	43
196	PhantomsGhost_	42
196	ratglock	42
196	StinkyDiplomat	42
196	Spacewardharpy7	42
200	BilboBaggins23	41
200	JohnPrice	41
202	Giannism	40
202	ChrisKyleST3	40
202	FlashMigma	40
202	SvenskaHugo	40
202	CACTUSLAD	40
207	Arceus1975	39
207	ToastedGamingYT	39
207	Russiancat1	39
207	Quaintster	39
207	PortlyPete69	39
212	SammiWolfGirl	38
213	NinjaKnifeKill	37
213	MissCeleste7	37
215	KingFaenor	36
215	TheMilkerOfCats	36
215	Natty	36
215	Ssor69	36
215	_8man	36
215	Soap_Bender	36
221	Sral7	35
222	Crowvens	34
222	LittleBug562	34
222	Nesquiczek	34
222	WarMachina	34
222	Hoid_the_Roamer	34
222	yulgur1	34
228	Ozixar	33
228	remmisrat	33
230	noam464	32
231	XeroByMyth	31
232	lOlmantschi	30
232	_TCARREIRA_	30
234	Rebytre	29
235	Matyyy15	28
235	Dusk_95	28
237	Groovy_MoonBird	27
237	CaptainSteve345	27
237	AnnieBathory	27
237	little_dUki	27
241	Fizznut909	26
241	Luigipunch989	26
241	MilleGrug	26
244	Yellowpowr	25
244	chlorinex	25
244	InfernalMound	25
244	Blackberry1310	25
248	benediktine1	24
248	ayamefag	24
250	Historical_Sand	23
250	impossibleteapot	23
250	Pickel_Lord	23
253	Sabby65	22
253	Guillemet	22
255	AuroraValkyrie	21
255	Sky_light_KING	21
255	JESS_THE_RERE	21
255	SUN_DREAM	21
255	UCP_TheKingK	21
260	FirsTimeGamingTV	20
260	kars0n	20
260	DTwenty	20
260	Juk3b0x	20
260	tsitrawhy	20
265	Lord_Jord	19
266	eitanzaki	18
266	Smashic	18
266	grislgrobl	18
266	adiccting01	18
270	Stynxy	17
270	MAns_44	17
270	jnp_gaming	17
273	Donutt	16
273	MonitorLizards	16
273	DarkS0L	16
273	The_Skramz	16
273	claivin	16
278	Bruh77	15
278	301851	15
278	Nyxiom_	15
278	The11thDoctor	15
278	Fuhrer_Teemo	15
278	Steelynan	15
284	MinttyFressh	14
284	Will_Bee	14
284	Airem_Core	14
284	lordpipe	14
288	Koffeeinz	13
288	HypixelForums	13
288	ayqq	13
288	LordSpeed37	13
292	diamondgolem35	12
292	Notta	12
292	hcb238	12
292	loveseeker	12
292	FishyBoy3811	12
292	Lord_Zacler	12
292	cytotoxaint	12
299	CruncyIsTaken	11
299	TTNG	11
