rank	username	minecraft:picked_up/minecraft:dark_prismarine
1	EcksD	26700
2	noam464	14202
3	CliffEmAll	3366
4	joethahobo	3284
5	Ezekson	2537
6	xolstoi	2415
7	Frozil20	2323
8	Enderxz3	2123
9	Fullut	1701
10	NameGenerat0r	1610
11	rarrq	1424
12	SingedBread	1377
13	12Magner05	1181
14	PigDab	1149
15	TheShyPig	1137
16	Bumpy419	1031
17	lizardfightclub	1025
18	Snowflowe	1010
19	Dusk_95	1002
20	Winklepicker279	966
21	Comma__	955
22	Spacewardharpy7	923
23	HellsSponge	910
24	xDraggin	899
25	Smoke____	846
26	beeperbeeper5	779
27	pintsizedrogue	731
28	EngagedGrub41	729
29	PhantomsGhost_	706
30	diamondgolem35	702
31	PlasticOtari	697
32	TheSecondLord	676
33	YungMaki	646
34	Legendosh	635
35	Iagoku	606
36	eitanzaki	553
37	Barlycorn	540
38	Marbz_	534
39	Cryptacity	516
40	Hyp3rion_	510
41	Maenara	505
42	livingdaydreams	458
43	KarlKaek	455
44	Merv__	433
45	Steelynan	397
46	MightyWertu	372
47	MilleGrug	371
48	SmashingPump	364
49	Lord_Jord	354
50	Blaiku	351
51	LeGold	348
52	voiding_	347
53	legal_tax_evader	346
54	EveryonesUncle	336
55	Vorlice	315
56	DarkS0L	296
57	Mahoose	289
58	RoofTyler	288
59	CaptainDeadBread	279
60	Rumpletaezer	276
61	EMC_	265
62	djancak	254
63	Eraxa	252
64	thewindmillman	251
65	Nycteus_	239
66	AuroraValkyrie	227
67	gcaisawesome	222
68	Tyrannosplart	220
68	Hermanni__	220
70	DarlaMeow	218
71	OfficerAnvil	216
72	MAns_44	211
73	titanlax	206
74	dimondking777	204
75	groofles	199
76	weabis	198
77	ImpavidArcher	192
77	set67	192
79	MakeHistory157	185
80	El_Jalapeno	184
81	Fuad_R	183
82	MattieHD	167
83	I_Am_Mushkin	160
84	Jimb0nat0r	157
85	Powowowow	155
86	Groundler	153
87	eiC_	151
88	LittleBug562	142
89	SammiWolfGirl	141
90	Paintz	137
91	Azmodan_246	120
92	Hiryu27	118
93	Z3braYTIL	114
94	Blu3beast	112
94	Skippeh	112
96	Kakolbus	111
97	Zythose	103
98	Chrisdeadeye	101
99	Apollo_993	96
100	_Karmaa	95
101	PazinGaming	93
102	PortlyPete69	88
103	claivin	85
104	master9067	84
105	thescout7	79
106	anbbang	76
107	LetsDoItLive	75
108	TechnoNinja64	74
109	Incinere	73
109	mihimihimihi	73
111	monky_irl	71
112	Blackberry1310	69
113	Zaridey	68
113	UrbanPlanningEx	68
115	fkGrim	65
116	_Huge_Male_	64
116	gren_ben	64
116	gabriels543	64
119	RealGroot	62
120	Lez_	61
120	Jackattack53	61
122	WyngGoy	59
123	shrimp_flips	52
124	Mr_Byzantine	51
125	audiocracked	44
125	stavgod	44
127	jnp_gaming	43
128	Bandito_Roamer	42
128	m_be9	42
130	FreakGenius	39
131	Jovaphobic	34
131	Avrelion	34
133	ougstur	33
133	MirielThePastor	33
135	Onennon	32
136	Historical_Sand	31
137	ShedJr_	30
137	iSammael	30
139	Notta	29
139	Arceus1975	29
139	BumbleBeever	29
142	ROY4LE	28
142	diggydog67	28
144	Soplight	26
144	calamariclam_I	26
146	obzii	25
147	Inbefour	24
147	Racengan	24
149	_Dean_123	23
149	ooga47	23
149	FishisTTV	23
152	Xalithia	22
153	M_Patata	21
153	MasterNueve	21
153	Iamthejo	21
156	Guillemet	20
156	Chromary	20
156	TheTrueClipse	20
156	SvenskaHugo	20
156	xzvu	20
156	Nicserso	20
162	Zoeyfortnite	19
163	whoaluv	18
163	SexcMf	18
163	gusstationwerker	18
166	1442	16
167	ratglock	15
167	J4ko8_	15
167	JESS_THE_RERE	15
167	jcool7	15
167	Eczbek	15
172	Di_infiri	14
172	Hisiste	14
172	vandmanden	14
175	ssleepless	13
175	500am	13
175	MangoTheFish	13
175	F_Uhre	13
175	QueenShuvi	13
175	2bolx_	13
181	Mattesco	12
181	ConnorDanky_	12
183	TheDankPlatypus	11
183	Fizznut909	11
185	Werbe	10
185	Dogcorn69420	10
187	thgrocks	9
187	TheSeismicDuck	9
189	NinjaKnifeKill	8
189	Mythic1130	8
191	_Virify_	7
191	Awyrlas	7
191	John6970	7
191	The_slideV3	7
191	Vellu21	7
196	masskedman	6
196	little_dUki	6
198	Moyd_	5
198	kekhon	5
198	SteveCraftBlocks	5
198	crying_wolf_13	5
198	NomadicRobin_	5
203	ZaneABrain	4
203	jessewegottacook	4
203	Sleepy_Time_	4
203	MinttyFressh	4
203	surfinggiraffejp	4
203	LazySupport00	4
209	Humpcat	3
209	Huwulling	3
209	MrKrabOnCoke	3
209	Euclidoris	3
209	Ardennes	3
209	Inchef	3
209	xambsam	3
209	Rocco_Lane	3
209	Skylord_Luke	3
209	Skomo	3
209	luseis	3
209	ItzWqlfy	3
209	_TCARREIRA_	3
209	Biites	3
223	LovelyDane	2
223	q_wq	2
223	bigstankyy	2
223	RebelAndroid	2
223	Alteriity	2
223	_Frepp_	2
223	drunkeeez	2
223	GOOBERGABE04	2
223	out1s	2
223	ApophisNova	2
223	RobotMinion101	2
223	HyperCave	2
223	The_Quack_Dealer	2
223	the__Reaper4999	2
223	lordpipe	2
223	IdeallyGrey	2
223	pixelviolin	2
223	__tomato	2
223	Kubeusz2010	2
223	TheOuterCore	2
223	Physics_Breaker	2
223	MyNamaSheff	2
223	HesDemonPants	2
246	elicobnoah	1
246	ECstardust	1
246	Sabby65	1
246	CoffeeNoir	1
246	Swexti	1
246	Da_Boss_Rani	1
246	Masssonnn	1
246	Scathra	1
246	NotTrixi	1
246	eviltunix	1
246	LittleIan365	1
246	platinumzero	1
246	IamCL4SSY	1
246	binman420	1
246	yulgur1	1
246	XxCookiequeenxX	1
246	CuzIm2Kev	1
246	jake314810	1
246	ATurtle4936	1
246	fluddd	1
246	Kura2218	1
246	TheEnderMan548	1
246	Kowcio_	1
246	non089	1
246	ProbsNotNova	1
246	y0shik	1
246	UltraZombie	1
246	TheALV	1
246	VentiHilton	1
246	nonotaddie	1
246	h2p_emrld	1
