rank	username	minecraft:picked_up/minecraft:granite_slab
1	Steelynan	924
2	HellsSponge	747
3	TheShyPig	573
4	Snowflowe	562
5	EMC_	385
6	Smoke____	331
7	2Stout	273
8	Blaiku	231
9	Hpdinosaur	212
10	_Bguette_	199
11	Stiar	180
12	Merv__	170
13	Mahoose	151
14	SingedBread	137
15	noam464	133
16	titanlax	127
17	radioactv_jelly	112
18	Enderslayerxz3	75
19	Frozil12	68
20	Legendosh	65
21	KarlKaek	61
22	Lord_Jord	54
23	YungMaki	48
24	SkateboardR6	47
25	jewbacaman	30
26	ImpavidArcher	26
26	PlasticOtari	26
28	Soplight	23
29	q_wq	18
29	eitanzaki	18
29	Vizzoid	18
29	Werbe	18
29	valkam13	18
34	Felenov	16
34	groofles	16
34	bruh072	16
37	kekhon	14
38	Malorn_Aetherius	12
38	GLLogan2	12
38	Inchef	12
38	Ajax6	12
38	NameGenerat0r	12
43	RodSerlingCringe	11
44	El_Jalapeno	10
44	SexcMf	10
44	FGamerJ	10
47	500am	8
47	Jiminie	8
47	PortlyPete69	8
50	Racengan	7
51	Menthas	6
51	BobDeBouwer1337	6
51	Smashic	6
51	91stCataclysm	6
51	Doom_melon	6
51	DanTheBuilderino	6
57	Meatlaugh	5
58	bigstankyy	4
58	fluddd	4
58	Eraxa	4
61	NomadicRobin_	3
61	MineMaster0012	3
61	stahouo	3
61	Nicserso	3
65	SteveCraftBlocks	2
65	Fullut	2
65	r123moore	2
65	Akoot_	2
65	UCP_TheKingK	2
65	EcksDofficial	2
71	Groovy_MoonBird	1
71	TheSecondLord	1
71	TerraVl	1
71	PegLegPete93	1
71	Di_infiri	1
71	Sky_light_KING	1
71	TiborSterle	1
71	tartanboy	1
71	vandmanden	1
