rank	username	minecraft:picked_up/minecraft:chiseled_stone_bricks
1	beeperbeeper5	2729
2	Freak_Genius	2272
3	TheShyPig	1267
4	EveryonesUncle	1236
5	Ezekson	964
6	El_Jalapeno	914
7	Smoke____	813
8	Hisiste	798
9	OG_Songsee	780
10	diamondgolem35	618
11	lordpipe	497
12	HellsSponge	489
13	Blu3beast	464
14	Legendosh	436
15	chipklip	413
16	cog	399
17	M_Patata	374
18	eitanzaki	373
19	MasterNueve	369
20	m_be9	339
21	joethahobo	330
22	kekhon	322
23	TechnoNinja64	310
24	Lord_Jord	305
25	Shogunite	278
26	Inbefour	277
27	ROY4LE	266
28	Kakolbus	261
29	Maenara	250
30	Werbe	246
30	AssEatrAndLicker	246
32	gabriels543	228
33	VentiHilton	211
34	Nicserso	210
35	EcksDofficial	206
36	sebastiensaborio	205
37	Drlzyy	203
38	noam464	196
38	seramalen	196
40	Xclax101	195
41	Comma__	182
42	benediktine1	175
43	lcvezra	170
44	rarrq	169
45	NameGenerat0r	167
46	Akoot_	143
46	Kferno	143
48	Sral7	141
49	Kubelz	140
50	PhantomsGhost_	133
51	2blox	132
52	Ailmast	129
53	FishisTTV	128
54	egglapras	127
55	_stets	126
55	Z3braYTIL	126
55	OtariCharlie	126
55	madderfall	126
59	Merv__	124
60	Di_infiri	118
61	DemTechAlpha	116
62	ThePoliteG	112
63	Skylord_Luke	110
64	NotMeanttoChange	107
65	RoyalDorrr	105
66	_Dean_123	104
67	Winklepicker279	99
68	Doom_melon	97
69	Leyna3	94
70	himak1	93
71	EcksD	90
72	thescout7	88
73	littlesophiagirl	84
73	Enderslayerxz3	84
75	Warlord324	79
76	dudcreeper	78
77	07shiny	76
77	alderban107	76
79	TheSecondLord	75
80	Nagasaki_Riku	70
81	PncakeUniverse	69
82	The_SlideV5	66
83	Kubeusz2010	65
84	SquadMonster	64
84	AssFullaCum	64
84	RoboTramp7865	64
87	Jokerman369	63
88	BumbleBeever	58
89	SuperPooch06	56
89	RefluxRatio	56
91	Groovy_MoonBird	55
92	ImpavidArcher	54
93	Toiton	53
94	Jackattack53	52
95	Kamflame10	51
96	SyK7	50
96	Natty	50
96	500am	50
99	burbankbuilder28	49
99	pappaberg	49
101	cichy096	48
102	Mewar	47
103	Frozil12	45
104	BlueZabu	43
105	Wooptey	41
105	Rumpletaezer	41
107	Nesquiczek	38
107	Dusk_95	38
109	paranoid_plant	36
109	impossibleteapot	36
109	RaahLowe	36
109	jnp_gaming	36
113	Cortexia	35
113	Wolverine4302	35
115	Gundam_Steven	34
116	purpolepickle	33
117	fkGrim	31
117	Quincannon	31
119	Mahoose	30
119	12Magner05	30
119	FlashMigma	30
119	Soplight	30
119	KingMatthew506	30
124	ApophisNova	29
124	Zetsey	29
124	MyNamaSheff	29
127	ProfessorBee	27
127	Snowflowe	27
127	zielkairos	27
130	wrinkledpiglet	26
131	YungMaki	25
132	SteveCraftBlocks	24
132	eviltunix	24
132	Arceus1975	24
132	K_a__a_n	24
136	6king6colt6	23
136	Myszoaz	23
138	fred870d	22
138	DC_XII	22
138	Katthaj	22
138	Nycteus_	22
142	NoxxxxiS	21
142	CollinMH06	21
142	Leithz6	21
145	Donutt	20
145	Toasty_Tom	20
145	Racengan	20
145	stavgod	20
149	pintsizedrogue	19
149	Guillemet	19
149	xxPipperDipperxx	19
149	Kowcio_	19
153	TooManyDuck	18
153	BodaciousCake	18
153	Deathkob	18
153	Typadopoulos	18
157	__tomato	17
158	Tobinator_007	16
158	NoChumpChange	16
158	kinas45y5	16
161	Jovaphobic	15
161	titanlax	15
161	brycepants	15
161	FishyBoy3811	15
161	Skippeh	15
166	H72l9w	14
166	MyNameIsDakar	14
166	_Karmaa	14
166	GlitchyPlate810	14
166	Dogcorn69420	14
171	crying_wolf_13	13
171	Wowful	13
171	Fuhrer_Teemo	13
174	_Virify_	12
174	Blackberry1310	12
174	killmeiamtraitor	12
174	Soap_Bender	12
174	BlankityMcBlank	12
174	CalebDHawk	12
180	Alphanzt99	11
180	pumpfonzo	11
180	SkateboardR6	11
183	KarlKaek	10
183	FennYuzuna	10
183	Karetoko	10
183	MonitorLizards	10
183	LordSpeed37	10
183	SSytex_X	10
183	oxfordschool	10
190	Nicky_H225	9
190	MrExplorer	9
190	KlausVonStiglitz	9
190	Blaiku	9
190	CLUBN2	9
190	PortlyPete69	9
196	Incinere	8
196	MinttyFressh	8
196	Bumpy419	8
196	The_slideV3	8
196	DASH_X7	8
196	fluddd	8
196	Quotary	8
196	trexgb	8
204	ItsColin11	7
204	thewindmillman	7
206	Froste131	6
206	FujiBS	6
