rank	username	minecraft:picked_up/minecraft:chiseled_stone_bricks
1	beeperbeeper5	2729
2	Freak_Genius	2272
3	TheShyPig	1267
4	EveryonesUncle	1236
5	Ezekson	964
6	El_Jalapeno	914
7	Smoke____	864
8	Hisiste	798
9	OG_Songsee	780
10	diamondgolem35	618
11	lordpipe	497
12	HellsSponge	489
13	Blu3beast	464
14	Legendosh	436
15	chipklip	413
16	cog	399
17	M_Patata	374
18	eitanzaki	373
19	MasterNueve	369
20	m_be9	339
21	joethahobo	330
22	kekhon	322
23	TechnoNinja64	310
24	Lord_Jord	305
25	Shogunite	278
26	Inbefour	277
27	ROY4LE	266
28	Kakolbus	261
29	Maenara	250
30	Werbe	246
30	AssEatrAndLicker	246
32	gabriels543	228
33	VentiHilton	211
34	Nicserso	210
35	EcksDofficial	206
36	sebastiensaborio	205
37	Drlzyy	203
38	noam464	196
38	seramalen	196
40	Xclax101	195
41	Comma__	182
42	benediktine1	175
43	lcvezra	170
44	rarrq	169
45	NameGenerat0r	167
46	_stets	150
47	Akoot_	143
47	Kferno	143
49	Sral7	141
50	Kubelz	140
51	PhantomsGhost_	133
52	2blox	132
53	Ailmast	129
54	FishisTTV	128
55	egglapras	127
56	Z3braYTIL	126
56	OtariCharlie	126
56	madderfall	126
59	Merv__	124
60	Di_infiri	118
61	DemTechAlpha	116
62	ThePoliteG	112
63	Skylord_Luke	110
64	NotMeanttoChange	107
65	RoyalDorrr	105
66	_Dean_123	104
67	Winklepicker279	99
68	Doom_melon	97
69	Leyna3	94
70	himak1	93
71	EcksD	90
72	thescout7	88
73	pintsizedrogue	85
74	littlesophiagirl	84
74	Enderslayerxz3	84
76	Warlord324	79
77	dudcreeper	78
78	07shiny	76
78	alderban107	76
80	TheSecondLord	75
81	Nagasaki_Riku	70
82	PncakeUniverse	69
83	The_SlideV5	66
84	Kubeusz2010	65
85	SquadMonster	64
85	AssFullaCum	64
85	RoboTramp7865	64
88	Jokerman369	63
89	BumbleBeever	58
90	SuperPooch06	56
90	RefluxRatio	56
92	Groovy_MoonBird	55
93	ImpavidArcher	54
94	Toiton	53
95	Jackattack53	52
96	Kamflame10	51
97	SyK7	50
97	Natty	50
97	500am	50
100	burbankbuilder28	49
100	pappaberg	49
102	cichy096	48
103	Mewar	47
104	Frozil12	45
105	BlueZabu	43
106	Wooptey	41
106	Rumpletaezer	41
108	Nesquiczek	38
108	Dusk_95	38
110	paranoid_plant	36
110	impossibleteapot	36
110	RaahLowe	36
110	jnp_gaming	36
114	Cortexia	35
114	Wolverine4302	35
116	Gundam_Steven	34
117	purpolepickle	33
118	fkGrim	31
118	Quincannon	31
120	Mahoose	30
120	12Magner05	30
120	FlashMigma	30
120	Soplight	30
120	KingMatthew506	30
125	ApophisNova	29
125	Zetsey	29
125	MyNamaSheff	29
128	ProfessorBee	27
128	Snowflowe	27
128	zielkairos	27
131	wrinkledpiglet	26
132	YungMaki	25
133	SteveCraftBlocks	24
133	eviltunix	24
133	Arceus1975	24
133	K_a__a_n	24
137	6king6colt6	23
137	Myszoaz	23
139	fred870d	22
139	DC_XII	22
139	Katthaj	22
139	Nycteus_	22
143	NoxxxxiS	21
143	CollinMH06	21
143	Leithz6	21
146	Donutt	20
146	Toasty_Tom	20
146	Racengan	20
146	stavgod	20
150	Guillemet	19
150	xxPipperDipperxx	19
150	Kowcio_	19
153	TooManyDuck	18
153	BodaciousCake	18
153	Deathkob	18
153	Typadopoulos	18
157	__tomato	17
158	Tobinator_007	16
158	NoChumpChange	16
158	kinas45y5	16
161	Jovaphobic	15
161	titanlax	15
161	MinttyFressh	15
161	brycepants	15
161	FishyBoy3811	15
161	Skippeh	15
167	H72l9w	14
167	MyNameIsDakar	14
167	_Karmaa	14
167	GlitchyPlate810	14
167	Dogcorn69420	14
172	crying_wolf_13	13
172	Wowful	13
172	Fuhrer_Teemo	13
175	_Virify_	12
175	Blackberry1310	12
175	killmeiamtraitor	12
175	Soap_Bender	12
175	BlankityMcBlank	12
175	CalebDHawk	12
181	Alphanzt99	11
181	pumpfonzo	11
181	SkateboardR6	11
184	KarlKaek	10
184	FennYuzuna	10
184	Karetoko	10
184	MonitorLizards	10
184	LordSpeed37	10
184	SSytex_X	10
184	oxfordschool	10
191	Nicky_H225	9
191	MrExplorer	9
191	KlausVonStiglitz	9
191	Blaiku	9
191	pixelviolin	9
191	CLUBN2	9
191	PortlyPete69	9
198	Incinere	8
198	Bumpy419	8
198	The_slideV3	8
198	DASH_X7	8
198	fluddd	8
198	Quotary	8
198	trexgb	8
205	ItsColin11	7
205	thewindmillman	7
207	Froste131	6
