rank	username	minecraft:picked_up/minecraft:vine
1	cedric72	7220
2	wezzzi	3358
3	lordpipe	3344
4	TechnoNinja64	3054
5	500am	2385
6	Zythose	2358
7	EveryonesUncle	2217
8	layabout100	2124
9	El_Jalapeno	2109
10	Blackberry1310	1991
11	beeperbeeper5	1935
12	Di_infiri	1876
13	Eraxa	1746
14	HellsSponge	1627
15	TheShyPig	1462
16	Akoot_	1335
17	pintsizedrogue	1321
18	Hyp3rion_	1092
19	Werbe	1003
20	Kakolbus	981
21	AssEatrAndLicker	973
22	Notta	960
23	Fuhrer_Teemo	914
24	Historical_Sand	910
25	Freak_Genius	870
26	kekhon	818
27	Onennon	739
28	thescout7	711
29	KarlKaek	692
30	noam464	643
31	Sral7	641
32	Kubelz	628
33	Smoke____	590
34	impossibleteapot	580
35	TheSecondLord	574
36	Tommhh	571
37	Malorn_Aetherius	570
38	Merv__	569
38	DemTechAlpha	569
40	thewindmillman	551
41	sebastiensaborio	529
42	_Dean_123	510
43	ApophisNova	501
43	MyNamaSheff	501
45	MissCeleste7	479
46	SuperPooch06	465
47	Legendosh	417
48	MyNameIsJobo	392
49	Xalithia	389
50	ogoa	384
51	Mahoose	381
52	Cryptacity	376
53	Inchef	360
54	Jiminie	354
55	ProfessorBee	352
56	RefluxRatio	348
57	Frozil12	329
58	PegLegPete93	310
59	XxCookiequeenxX	308
59	SvenskaHugo	308
61	Barlycorn	307
62	123louis456	302
63	UrbanPlanner1978	301
64	PeteO1995	299
65	_Bguette_	292
66	Bandito_Roamer	290
67	Blaiku	289
68	Houstonion	287
69	hollowww	285
70	titanlax	259
70	Maenara	259
72	Xclax101	258
73	burbankbuilder28	257
74	Euclidoris	256
74	himak1	256
76	Comma__	252
77	SaucyDark	244
78	GravitySaint	241
79	Hermanni__	236
80	kinas45y5	230
81	MineMaster0012	229
82	YungMaki	226
83	EMC_	219
84	Reamdin	216
85	eitanzaki	208
86	Bumpy419	199
87	bloodbiter	197
88	eiC_	192
89	Winklepicker279	191
89	avalan64	191
91	smogfrog	176
92	CalebDHawk	164
93	_stets	162
93	heckface	162
95	TheSeismicDuck	157
95	SammiWolfGirl	157
97	killmeiamtraitor	154
98	BilboBaggins23	149
99	xxPipperDipperxx	136
100	T045RTY	135
100	AlexStrange	135
102	vandmanden	132
103	stahouo	131
104	ShedJr_	128
104	set67	128
104	Avrelion	128
104	annoyingenderman	128
108	Rumpletaezer	127
109	Deguns123	125
110	OtariCharlie	123
110	yulgur1	123
112	__tomato	121
113	Fullut	119
114	Toiton	113
115	soundad	112
116	Skippeh	110
117	NotMeowMix	105
118	godipose	103
119	Batoser	102
119	joethahobo	102
121	claivin	99
122	BlueZabu	98
123	m_be9	96
123	WyngGoy	96
125	DarlaMeow	95
126	BronkerBrum	94
126	Optiprimus	94
128	ROY4LE	90
128	KeruNatsema	90
128	Soplight	90
131	Nach0Bear	89
131	Ezekson	89
131	FGamerJ	89
134	ImpavidArcher	88
135	rarrq	87
135	Factoroni	87
137	CoffeeNoir	85
137	LotusProject	85
139	Stiar	84
139	M_Patata	84
139	MasterNueve	84
142	whoaluv	83
143	Gamergirl420628	79
143	_3Stump_	79
145	PhantomsGhost_	73
145	Fildyr	73
147	Razzgriz	69
147	ediballbearings	69
149	CarbonatedCola	68
150	pi_E_	66
150	Cocoamallows	66
152	Stynxy	65
152	2Stout	65
152	Soap_Bender	65
152	JayToe	65
156	Adlair	64
157	cowgirlkasia	63
158	MelodyGaysharks	62
159	6king6colt6	56
159	Vellu21	56
159	anbbang	56
162	fkndweeb	55
163	Quotary	54
164	oxfordschool	53
165	seramalen	52
165	bloomkieren	52
167	__hinterland__	51
168	KingMatthew506	50
169	actuallysadie	49
169	Shiirazuku	49
169	PortlyPete69	49
172	Karetoko	48
172	RodSerlingCringe	48
172	djancak	48
175	QueenHearts	47
176	Drlzyy	44
176	WET_WET_WET	44
176	Meatlaugh	44
176	Deerfoot	44
180	Airem_Core	43
180	OfficerAnvil	43
182	NormanFetus	42
183	ColeSnyder	41
184	RebelAndroid	40
184	Rich_Kat	40
184	Ecplosive	40
184	Kubeusz2010	40
188	Quaintster	39
189	Arceus1975	38
189	xo_Marren_xo	38
191	Ailmast	37
191	epiksk8erduck	37
191	Russiancat1	37
194	Chromary	36
194	Kyrum2169	36
196	mwrty	35
196	LilLizardWizard	35
196	IAmTheWalrus910	35
196	2blox	35
200	KlausVonStiglitz	34
201	Ozixar	33
201	AlphaWolfPlaysMC	33
203	_Tilariel_	32
204	Wowful	31
205	Ravenbie	30
205	pixelviolin	30
207	PartyPhoenix	29
208	NNikitas	28
208	Xovalt_	28
210	gabriels543	26
210	CACTUSLAD	26
210	starbits140	26
213	theofiel	25
213	_Karmaa	25
215	Kokeech	24
216	Lukeee33	23
216	Armattillo	23
216	Flucxks	23
216	CookTheChef3	23
216	WhyTho_1	23
221	teslawolf38	22
221	Hoid_the_Roamer	22
221	ItsAki_	22
221	Kowcio_	22
225	Dusk_95	21
226	ivorico	20
226	Awyrlas	20
226	DarkS0L	20
229	PigDab	19
229	PabloGonza02	19
229	SirBreadward	19
232	pappaberg	18
232	ElectricDragon81	18
234	Myszoaz	17
234	eclipseboi	17
234	dezxalo	17
234	Vorlice	17
234	Sheldor097	17
239	Natty	16
239	RoyalDorrr	16
239	natajimi	16
239	ese_wn_po	16
239	Lowjinx	16
239	Enderslayerxz3	16
245	Nagasaki_Riku	15
245	camando92	15
247	nocturne78	14
247	MindyDooWho	14
247	Marbz_	14
247	MinerDec	14
247	Jonte0599	14
252	ratglock	13
252	Blu3beast	13
254	Dedalus36	12
254	_Razar	12
254	Kamflame10	12
254	The11thDoctor	12
254	Chrisdeadeye	12
259	AvaRosey	11
259	LordSpeed37	11
259	LeeMcGee30	11
259	EcksDofficial	11
263	H72l9w	10
263	UncleDanDan	10
265	Big_Bad_Will	9
265	Hiryu27	9
265	Ernnous	9
265	RadarHz	9
269	Sleek_Storm_721	8
269	Nicky_H225	8
269	SteveCraftBlocks	8
269	Luigipunch989	8
273	abramgray	7
273	ewsophie	7
273	KomputerDude	7
273	TheDiamondCG	7
273	Motsaro	7
273	tobinwilliams	7
273	gustarbite	7
273	SpouHn	7
273	Deathkob	7
273	MADDMASTA	7
283	Groovy_MoonBird	6
283	Froste131	6
283	SidorAlex	6
283	Doom_melon	6
283	CaptainDeadBread	6
283	Shavrin	6
283	MangoSalad316	6
283	sp00ky_ghost977	6
291	Sky_light_KING	5
292	Lord_Jord	4
292	Blamphe	4
292	lillips	4
292	chipklip	4
292	jcool7	4
297	bigstankyy	3
297	IWorkAtIkea	3
297	Ardennes	3
297	CollinMH06	3
