rank	username	minecraft:picked_up/minecraft:chainmail_chestplate
1	Hyp3rion_	22
2	pixelviolin	21
3	diamondgolem35	16
3	beeperbeeper5	16
3	thewindmillman	16
6	censorsheep	13
7	joethahobo	12
7	Blackberry1310	12
9	Freak_Genius	11
9	Smoke____	11
11	Drlzyy	10
11	kekhon	10
11	Di_infiri	10
11	SingedBread	10
11	TechnoNinja64	10
16	pintsizedrogue	9
16	TheSecondLord	9
16	TheShyPig	9
19	H72l9w	8
20	Jovaphobic	7
20	ShedJr_	7
20	SquadMonster	7
20	500am	7
20	himak1	7
20	Arceus1975	7
20	Rebytre	7
20	stavgod	7
20	Kowcio_	7
20	SammiWolfGirl	7
30	RebelAndroid	6
30	whoaluv	6
30	Spacewardharpy7	6
30	sp00ky_ghost977	6
30	djancak	6
30	fffMike	6
36	Menthas	5
36	T045RTY	5
36	Mahoose	5
36	jacxhadow	5
36	Fullut	5
36	PigDab	5
36	chipklip	5
36	fluddd	5
36	Eraxa	5
36	Ezekson	5
36	oxfordschool	5
36	Kateesaur	5
48	Dedalus36	4
48	Historical_Sand	4
48	ROY4LE	4
48	CollinMH06	4
48	Chromary	4
48	fred870d	4
48	HellsSponge	4
48	El_Jalapeno	4
48	KG1999	4
48	YungMaki	4
48	stahouo	4
48	LeeMcGee30	4
60	q_wq	3
60	KarlKaek	3
60	CoffeeNoir	3
60	TheMaster972	3
60	rarrq	3
60	12Magner05	3
60	set67	3
60	thescout7	3
60	UncleDanDan	3
60	Kakolbus	3
60	Doom_melon	3
60	cedric72	3
60	_naturell	3
60	KeruNatsema	3
60	Maenara	3
60	Lord_Jord	3
60	EveryonesUncle	3
60	Deathkob	3
60	Ze_BaronKrigler	3
60	Fizznut909	3
60	Dreamdbr14	3
60	Quotary	3
60	Lowjinx	3
60	Enderslayerxz3	3
60	HesDemonPants	3
60	diggydog67	3
86	Groovy_MoonBird	2
86	Cowison	2
86	Gundam_Steven	2
86	eitanzaki	2
86	livingdaydreams	2
86	Swexti	2
86	picardred	2
86	BobDeBouwer1337	2
86	MattieHD	2
86	TheThomas69	2
86	egglapras	2
86	Awyrlas	2
86	emrekn	2
86	PegLegPete93	2
86	Inchef	2
86	Mewar	2
86	Diavri	2
86	gcaisawesome	2
86	Covalents	2
86	noam464	2
86	John6970	2
86	M_Patata	2
86	SeverianTheLame	2
86	Winklepicker279	2
86	loveseeker	2
86	gabriels543	2
86	mick407	2
86	WET_WET_WET	2
86	CrateOfBoxes	2
86	Corbsman	2
86	ooga47	2
86	RodSerlingCringe	2
86	_Bguette_	2
86	ebanana	2
86	Deerfoot	2
86	DanTheBuilderino	2
86	Frozil12	2
86	GravitySaint	2
86	Fildyr	2
86	g0rr1lla	2
86	Airem_Core	2
86	layabout100	2
86	Soplight	2
86	Spenduh	2
86	PortlyPete69	2
86	SunsetwolfGG	2
86	CalebDHawk	2
86	TheALV	2
86	Steelynan	2
86	Eczbek	2
86	Kubeusz2010	2
86	laron58	2
86	tartanboy	2
86	Skippeh	2
86	xorompole	2
86	Legendosh	2
86	h2p_emrld	2
143	TheBiggestFeller	1
143	rats_life	1
143	SugarMyNuggets	1
143	nataliecool	1
143	_NieToksikpl_	1
143	RoskobiOne	1
143	soundad	1
143	NibPicker	1
143	Yatitay	1
143	KingFaenor	1
